,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
2230,"Mount Vernon-Anacortes, WA Metro Area-Bus",2005,0,33,269052.9999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269052.9999999999,269052.9999999999,269052.9999999999,269052.9999999999,269052.9999999999,269052.9999999999,269052.9999999999,269052.9999999999,269052.9999999999,269052.9999999999,269052.9999999999,269052.9999999999,269052.9999999999
2231,"Mount Vernon-Anacortes, WA Metro Area-Bus",2006,0,33,372485.99999999977,41826.43013583725,0.0,6722.849502488638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372485.99999999977,372485.99999999977,372485.99999999977,372485.99999999977,372485.99999999977,372485.99999999977,372485.99999999977,372485.99999999977,372485.99999999977,372485.99999999977,372485.99999999977,372485.99999999977,372485.99999999977
2232,"Mount Vernon-Anacortes, WA Metro Area-Bus",2007,0,33,422257.9999999999,23865.60771076763,0.0,-32590.5410529025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422257.9999999999,422257.9999999999,422257.9999999999,422257.9999999999,422257.9999999999,422257.9999999999,422257.9999999999,422257.9999999999,422257.9999999999,422257.9999999999,422257.9999999999,422257.9999999999,422257.9999999999
2233,"Mount Vernon-Anacortes, WA Metro Area-Bus",2008,0,33,503321.0000000004,-1.15510921696817,0.0,-8802.664606654333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503321.0000000004,503321.0000000004,503321.0000000004,503321.0000000004,503321.0000000004,503321.0000000004,503321.0000000004,503321.0000000004,503321.0000000004,503321.0000000004,503321.0000000004,503321.0000000004,503321.0000000004
2234,"Mount Vernon-Anacortes, WA Metro Area-Bus",2009,0,33,508211.9999999999,16304.076504780884,0.0,-16631.486951043564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508211.9999999999,508211.9999999999,508211.9999999999,508211.9999999999,508211.9999999999,508211.9999999999,508211.9999999999,508211.9999999999,508211.9999999999,508211.9999999999,508211.9999999999,508211.9999999999,508211.9999999999
2235,"Mount Vernon-Anacortes, WA Metro Area-Bus",2010,0,33,554280.9999999995,8876.548063026115,0.0,1426.554299247112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554280.9999999995,554280.9999999995,554280.9999999995,554280.9999999995,554280.9999999995,554280.9999999995,554280.9999999995,554280.9999999995,554280.9999999995,554280.9999999995,554280.9999999995,554280.9999999995,554280.9999999995
2236,"Mount Vernon-Anacortes, WA Metro Area-Bus",2011,0,33,624704.0000000005,30716.820083835926,0.0,7038.623727745608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624704.0000000005,624704.0000000005,624704.0000000005,624704.0000000005,624704.0000000005,624704.0000000005,624704.0000000005,624704.0000000005,624704.0000000005,624704.0000000005,624704.0000000005,624704.0000000005,624704.0000000005
2237,"Mount Vernon-Anacortes, WA Metro Area-Bus",2012,0,33,697473.0,30084.64109163609,0.0,3101.516751649383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697473.0,697473.0,697473.0,697473.0,697473.0,697473.0,697473.0,697473.0,697473.0,697473.0,697473.0,697473.0,697473.0
2238,"Mount Vernon-Anacortes, WA Metro Area-Bus",2013,0,33,754864.9999999995,60576.95153987657,0.0,13121.946130955428,0.0,796.524637352436,209.7631776354668,-4045.154456042408,861.8049555234439,-27.933770526468567,1602.1778019629064,0.0,0.0,0.0,0.0,0.0,0.0,-16763.277482531616,60576.95153987657,13121.946130955428,0.0,0.0,796.524637352436,209.7631776354668,-4045.154456042408,861.8049555234439,-27.933770526468567,1602.1778019629064,0.0,0.0,-16763.277482531616,60576.95153987657,13121.946130955428,0.0,0.0,754068.4753626471,754655.236822364,758910.154456042,754003.1950444761,754892.933770526,753262.8221980366,754864.9999999995,754864.9999999995,771628.2774825311,694288.048460123,741743.0538690441,754864.9999999995,754864.9999999995
2239,"Mount Vernon-Anacortes, WA Metro Area-Bus",2014,0,33,835739.0000000007,31671.458537149425,0.0,14401.150696026749,0.0,1966.837941293146,735.5892971098114,-4368.365987547301,2736.755515689398,1043.7568058502738,-9751.27994696419,0.0,0.0,0.0,0.0,0.0,0.0,42354.29554913295,31671.458537149425,14401.150696026749,0.0,0.0,2763.3625786455823,945.3524747452782,-8413.52044358971,3598.560471212842,1015.8230353238052,-8149.102145001284,0.0,0.0,25591.018066601333,92248.410077026,27523.096826982175,0.0,0.0,832975.6374213551,834793.6475252555,844152.5204435904,832140.4395287879,834723.1769646769,843888.102145002,835739.0000000007,835739.0000000007,810147.9819333993,743490.5899229747,808215.9031730185,835739.0000000007,835739.0000000007
2240,"Mount Vernon-Anacortes, WA Metro Area-Bus",2015,0,33,810724.0000000006,4492.380885908523,0.0,5229.882425357962,0.0,2019.974519777301,-185.46583913571524,-18713.546293306365,-6440.663209581636,-4173.542873356917,1919.7911231469584,0.0,0.0,0.0,0.0,0.0,0.0,-9037.41158253038,4492.380885908523,5229.882425357962,0.0,0.0,4783.337098422883,759.886635609563,-27127.066736896075,-2842.102738368794,-3157.719838033112,-6229.311021854326,0.0,0.0,16553.60648407095,96740.79096293452,32752.979252340137,0.0,0.0,805940.6629015777,809964.113364391,837851.0667368966,813566.1027383694,813881.7198380337,816953.3110218549,810724.0000000006,810724.0000000006,794170.3935159296,713983.2090370661,777971.0207476604,810724.0000000006,810724.0000000006
