,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
2244,"Muncie, IN Metro Area-Bus",2004,0,31,1279846.9999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1279846.9999999998,1279846.9999999998,1279846.9999999998,1279846.9999999998,1279846.9999999998,1279846.9999999998,1279846.9999999998,1279846.9999999998,1279846.9999999998,1279846.9999999998,1279846.9999999998,1279846.9999999998,1279846.9999999998
2245,"Muncie, IN Metro Area-Bus",2005,0,31,1488253.0,31062.71382340237,0.0,19709.07125129887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1488253.0,1488253.0,1488253.0,1488253.0,1488253.0,1488253.0,1488253.0,1488253.0,1488253.0,1488253.0,1488253.0,1488253.0,1488253.0
2246,"Muncie, IN Metro Area-Bus",2006,0,31,1948936.0000000007,12367.55381559296,0.0,23685.25215228084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1948936.0000000007,1948936.0000000007,1948936.0000000007,1948936.0000000007,1948936.0000000007,1948936.0000000007,1948936.0000000007,1948936.0000000007,1948936.0000000007,1948936.0000000007,1948936.0000000007,1948936.0000000007,1948936.0000000007
2247,"Muncie, IN Metro Area-Bus",2007,0,31,1922247.9999999984,-14486.120573107291,0.0,86074.78542335228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1922247.9999999984,1922247.9999999984,1922247.9999999984,1922247.9999999984,1922247.9999999984,1922247.9999999984,1922247.9999999984,1922247.9999999984,1922247.9999999984,1922247.9999999984,1922247.9999999984,1922247.9999999984,1922247.9999999984
2248,"Muncie, IN Metro Area-Bus",2008,0,31,1927959.0000000007,-16313.650427664965,0.0,-83078.92011537451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1927959.0000000007,1927959.0000000007,1927959.0000000007,1927959.0000000007,1927959.0000000007,1927959.0000000007,1927959.0000000007,1927959.0000000007,1927959.0000000007,1927959.0000000007,1927959.0000000007,1927959.0000000007,1927959.0000000007
2249,"Muncie, IN Metro Area-Bus",2009,0,31,1779921.0000000012,-56324.97468974021,0.0,8514.575827232058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779921.0000000012,1779921.0000000012,1779921.0000000012,1779921.0000000012,1779921.0000000012,1779921.0000000012,1779921.0000000012,1779921.0000000012,1779921.0000000012,1779921.0000000012,1779921.0000000012,1779921.0000000012,1779921.0000000012
2250,"Muncie, IN Metro Area-Bus",2010,0,31,1819733.0,1419.2165701595068,0.0,7703.817161925858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1819733.0,1819733.0,1819733.0,1819733.0,1819733.0,1819733.0,1819733.0,1819733.0,1819733.0,1819733.0,1819733.0,1819733.0,1819733.0
2251,"Muncie, IN Metro Area-Bus",2011,0,31,1859702.000000001,-7038.0846227137245,0.0,-5242.383560384052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1859702.000000001,1859702.000000001,1859702.000000001,1859702.000000001,1859702.000000001,1859702.000000001,1859702.000000001,1859702.000000001,1859702.000000001,1859702.000000001,1859702.000000001,1859702.000000001,1859702.000000001
2252,"Muncie, IN Metro Area-Bus",2012,0,31,1836874.0000000007,-6410.092459365257,0.0,7100.738507930148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1836874.0000000007,1836874.0000000007,1836874.0000000007,1836874.0000000007,1836874.0000000007,1836874.0000000007,1836874.0000000007,1836874.0000000007,1836874.0000000007,1836874.0000000007,1836874.0000000007,1836874.0000000007,1836874.0000000007
2253,"Muncie, IN Metro Area-Bus",2013,0,31,1815943.0000000007,4313.870350930334,0.0,-11672.520788159043,0.0,-334.3185274975868,1405.729444590782,-7196.376909229986,10181.171565065037,2208.3729202374334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19750.86460651741,4313.870350930334,-11672.520788159043,0.0,0.0,-334.3185274975868,1405.729444590782,-7196.376909229986,10181.171565065037,2208.3729202374334,0.0,0.0,0.0,-19750.86460651741,4313.870350930334,-11672.520788159043,0.0,0.0,1816277.3185274983,1814537.2705554098,1823139.3769092306,1805761.8284349358,1813734.6270797632,1815943.0000000007,1815943.0000000007,1815943.0000000007,1835693.864606518,1811629.1296490703,1827615.5207881597,1815943.0000000007,1815943.0000000007
