,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
2288,"New Haven-Milford, CT Metro Area-Bus",2002,0,21,9.26656300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.26656300000001,9.26656300000001,9.26656300000001,9.26656300000001,9.26656300000001,9.26656300000001,9.26656300000001,9.26656300000001,9.26656300000001,9.26656300000001,9.26656300000001,9.26656300000001
2289,"New Haven-Milford, CT Metro Area-Bus",2003,0,21,8.855730000000005,-114583.62120673826,0.0,85321.38939416778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.855730000000005,8.855730000000005,8.855730000000005,8.855730000000005,8.855730000000005,8.855730000000005,8.855730000000005,8.855730000000005,8.855730000000005,8.855730000000005,8.855730000000005,8.855730000000005
2290,"New Haven-Milford, CT Metro Area-Bus",2004,0,21,8.496175,-87760.93724151555,0.0,-76804.2111420206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.496175,8.496175,8.496175,8.496175,8.496175,8.496175,8.496175,8.496175,8.496175,8.496175,8.496175,8.496175
2291,"New Haven-Milford, CT Metro Area-Bus",2005,0,21,8.837644999999998,-49147.88422071484,0.0,287742.0052235804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.837644999999998,8.837644999999998,8.837644999999998,8.837644999999998,8.837644999999998,8.837644999999998,8.837644999999998,8.837644999999998,8.837644999999998,8.837644999999998,8.837644999999998,8.837644999999998
2292,"New Haven-Milford, CT Metro Area-Bus",2006,0,21,9.373906000000002,60634.11240117129,0.0,-379174.1245867369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.373906000000002,9.373906000000002,9.373906000000002,9.373906000000002,9.373906000000002,9.373906000000002,9.373906000000002,9.373906000000002,9.373906000000002,9.373906000000002,9.373906000000002,9.373906000000002
2293,"New Haven-Milford, CT Metro Area-Bus",2007,0,21,9.381737000000006,210297.3114312928,0.0,99483.72073509892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.381737000000006,9.381737000000006,9.381737000000006,9.381737000000006,9.381737000000006,9.381737000000006,9.381737000000006,9.381737000000006,9.381737000000006,9.381737000000006,9.381737000000006,9.381737000000006
2294,"New Haven-Milford, CT Metro Area-Bus",2008,0,21,10.050123000000001,140910.8403831915,0.0,90860.958009985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.050123000000001,10.050123000000001,10.050123000000001,10.050123000000001,10.050123000000001,10.050123000000001,10.050123000000001,10.050123000000001,10.050123000000001,10.050123000000001,10.050123000000001,10.050123000000001
2295,"New Haven-Milford, CT Metro Area-Bus",2009,0,21,9.709769000000005,16391.08312929863,0.0,-147840.9566667572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.709769000000005,9.709769000000005,9.709769000000005,9.709769000000005,9.709769000000005,9.709769000000005,9.709769000000005,9.709769000000005,9.709769000000005,9.709769000000005,9.709769000000005,9.709769000000005
2296,"New Haven-Milford, CT Metro Area-Bus",2010,0,21,9.788605000000011,67386.75147150092,0.0,122133.36189105688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.788605000000011,9.788605000000011,9.788605000000011,9.788605000000011,9.788605000000011,9.788605000000011,9.788605000000011,9.788605000000011,9.788605000000011,9.788605000000011,9.788605000000011,9.788605000000011
2297,"New Haven-Milford, CT Metro Area-Bus",2011,0,21,10.176933,65574.73698851508,0.0,14715.304844063545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.176933,10.176933,10.176933,10.176933,10.176933,10.176933,10.176933,10.176933,10.176933,10.176933,10.176933,10.176933
