,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,New_Reporter_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,Others_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,Others_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_Others_FAC_cumsum
2438,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2002,0,24,21.052567999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21052567.999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.052567999999997,21.052567999999997,21.052567999999997,21.052567999999997,21.052567999999997,21.052567999999997,21.052567999999997,21.052567999999997,21.052567999999997,21.052567999999997,21.052567999999997,21.052567999999997,21.052567999999997
2439,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2003,0,24,21.867796000000023,114118.83283237608,0.0,-1425389.873714155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1743988.2696510474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.867796000000023,21.867796000000023,21.867796000000023,21.867796000000023,21.867796000000023,21.867796000000023,21.867796000000023,21.867796000000023,21.867796000000023,21.867796000000023,21.867796000000023,21.867796000000023,21.867796000000023
2440,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2004,0,24,23.118059,221366.46843909603,0.0,942512.7310197768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-359390.7414399029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.118059,23.118059,23.118059,23.118059,23.118059,23.118059,23.118059,23.118059,23.118059,23.118059,23.118059,23.118059,23.118059
2441,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2005,0,24,23.74800900000004,210918.0388877316,0.0,-795516.6997040458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,463224.45836548816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.74800900000004,23.74800900000004,23.74800900000004,23.74800900000004,23.74800900000004,23.74800900000004,23.74800900000004,23.74800900000004,23.74800900000004,23.74800900000004,23.74800900000004,23.74800900000004,23.74800900000004
2442,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2006,0,24,24.50648800000003,52921.74490316627,0.0,-547777.367422058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976821.0489878756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.50648800000003,24.50648800000003,24.50648800000003,24.50648800000003,24.50648800000003,24.50648800000003,24.50648800000003,24.50648800000003,24.50648800000003,24.50648800000003,24.50648800000003,24.50648800000003,24.50648800000003
2443,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2007,0,24,26.03644699999997,664687.6980709316,0.0,1016884.1349754464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-200907.8303330629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.03644699999997,26.03644699999997,26.03644699999997,26.03644699999997,26.03644699999997,26.03644699999997,26.03644699999997,26.03644699999997,26.03644699999997,26.03644699999997,26.03644699999997,26.03644699999997,26.03644699999997
2444,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2008,0,24,26.201053000000037,645437.1891226168,0.0,-928249.6479111828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-187645.99505360884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.201053000000037,26.201053000000037,26.201053000000037,26.201053000000037,26.201053000000037,26.201053000000037,26.201053000000037,26.201053000000037,26.201053000000037,26.201053000000037,26.201053000000037,26.201053000000037,26.201053000000037
2445,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2009,0,24,23.530787000000036,-606362.1701536241,0.0,-1270882.451243675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85652.55383591726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.530787000000036,23.530787000000036,23.530787000000036,23.530787000000036,23.530787000000036,23.530787000000036,23.530787000000036,23.530787000000036,23.530787000000036,23.530787000000036,23.530787000000036,23.530787000000036,23.530787000000036
2446,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2010,0,24,25.56915600000002,566846.850806784,0.0,625091.5366545167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55799.66833905224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.56915600000002,25.56915600000002,25.56915600000002,25.56915600000002,25.56915600000002,25.56915600000002,25.56915600000002,25.56915600000002,25.56915600000002,25.56915600000002,25.56915600000002,25.56915600000002,25.56915600000002
2447,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2011,0,24,27.70439600000003,-104852.58986046683,0.0,1281649.986182906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139296.7465928297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.70439600000003,27.70439600000003,27.70439600000003,27.70439600000003,27.70439600000003,27.70439600000003,27.70439600000003,27.70439600000003,27.70439600000003,27.70439600000003,27.70439600000003,27.70439600000003,27.70439600000003
2448,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2012,0,24,28.789748,663669.0594789817,0.0,-232869.9005375949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,661443.7923925279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.789748,28.789748,28.789748,28.789748,28.789748,28.789748,28.789748,28.789748,28.789748,28.789748,28.789748,28.789748,28.789748
2449,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2013,0,24,29.25994799999997,-484765.1611065815,0.0,-50598.30357168138,0.0,144583.94235492573,-37659.23580904561,-112624.37866570006,-2076.698524062056,3459.3624497851447,-109885.76865063544,0.0,0.0,0.0,0.0,0.0,0.0,1117371.4959100806,0.0,0.0,0.0,-484765.1611065815,-50598.30357168138,0.0,0.0,1117371.4959100806,0.14458394235492572,-0.03765923580904561,-0.11262437866570006,-0.002076698524062056,0.0034593624497851446,-0.10988576865063544,0.0,0.0,-0.4847651611065815,-0.05059830357168138,0.0,0.0,1.1173714959100807,29.115364057645042,29.297607235809014,29.37257237866567,29.26202469852403,29.256488637550184,29.369833768650604,29.25994799999997,29.25994799999997,29.74471316110655,29.310546303571652,29.25994799999997,29.25994799999997,28.142576504089888
2450,"Orlando-Kissimmee-Sanford, FL Metro Area-Bus",2014,0,24,29.365783000000043,280252.52172829374,0.0,354426.0202700015,0.0,164754.2506321152,-22134.97122915945,-175515.90716687377,21031.848014623392,8790.445782625091,-111680.44529801444,0.0,0.0,0.0,0.0,0.0,0.0,-413967.35969006346,0.0,0.0,0.0,280252.52172829374,354426.0202700015,0.0,0.0,-413967.35969006346,0.30933819298704096,-0.05979420703820506,-0.28814028583257384,0.018955149490561336,0.012249808232410236,-0.22156621394864986,0.0,0.0,-0.20451263937828776,0.3038277166983201,0.0,0.0,0.7034041362200172,29.056444807013,29.42557720703825,29.653923285832615,29.34682785050948,29.35353319176763,29.58734921394869,29.365783000000043,29.365783000000043,29.57029563937833,29.061955283301725,29.365783000000043,29.365783000000043,28.662378863780027
