,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
2533,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Bus",2002,0,10,171.747077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.747077,171.747077,171.747077,171.747077,171.747077,171.747077,171.747077,171.747077,171.747077,171.747077,171.747077,171.747077
2534,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Bus",2003,0,10,172.955412,286843.5210134645,0.0,495993.997303157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.955412,172.955412,172.955412,172.955412,172.955412,172.955412,172.955412,172.955412,172.955412,172.955412,172.955412,172.955412
2535,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Bus",2004,0,10,195.0847509999997,-285373.294331922,0.0,8212631.210141804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0847509999997,195.0847509999997,195.0847509999997,195.0847509999997,195.0847509999997,195.0847509999997,195.0847509999997,195.0847509999997,195.0847509999997,195.0847509999997,195.0847509999997,195.0847509999997
2536,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Bus",2005,0,10,189.96320799999992,261695.99183939528,0.0,350827.73195560067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.96320799999992,189.96320799999992,189.96320799999992,189.96320799999992,189.96320799999992,189.96320799999992,189.96320799999992,189.96320799999992,189.96320799999992,189.96320799999992,189.96320799999992,189.96320799999992
2537,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Bus",2006,0,10,183.97454700000026,591931.2298516392,0.0,870137.4843712875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.97454700000026,183.97454700000026,183.97454700000026,183.97454700000026,183.97454700000026,183.97454700000026,183.97454700000026,183.97454700000026,183.97454700000026,183.97454700000026,183.97454700000026,183.97454700000026
2538,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Bus",2007,0,10,173.58195699999976,-180338.2186680968,0.0,-3802480.3737335145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.58195699999976,173.58195699999976,173.58195699999976,173.58195699999976,173.58195699999976,173.58195699999976,173.58195699999976,173.58195699999976,173.58195699999976,173.58195699999976,173.58195699999976,173.58195699999976
2539,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Bus",2008,0,10,177.09324699999976,1980571.4731542985,0.0,-891601.4364711762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.09324699999976,177.09324699999976,177.09324699999976,177.09324699999976,177.09324699999976,177.09324699999976,177.09324699999976,177.09324699999976,177.09324699999976,177.09324699999976,177.09324699999976,177.09324699999976
2540,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Bus",2009,0,10,170.83785999999975,1287198.141292486,0.0,-3903759.7810261175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.83785999999975,170.83785999999975,170.83785999999975,170.83785999999975,170.83785999999975,170.83785999999975,170.83785999999975,170.83785999999975,170.83785999999975,170.83785999999975,170.83785999999975,170.83785999999975
2541,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Bus",2010,0,10,176.7244429999999,1752620.2262829838,0.0,5003074.89773155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.7244429999999,176.7244429999999,176.7244429999999,176.7244429999999,176.7244429999999,176.7244429999999,176.7244429999999,176.7244429999999,176.7244429999999,176.7244429999999,176.7244429999999,176.7244429999999
2542,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Bus",2011,0,10,178.07378199999988,-1775245.0414464802,0.0,-3070393.856521058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.07378199999988,178.07378199999988,178.07378199999988,178.07378199999988,178.07378199999988,178.07378199999988,178.07378199999988,178.07378199999988,178.07378199999988,178.07378199999988,178.07378199999988,178.07378199999988
