,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,New_Reporter_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,Others_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,Others_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_Others_FAC_cumsum
2550,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Rail",2002,1,10,140.711405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140711405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.711405,140.711405,140.711405,140.711405,140.711405,140.711405,140.711405,140.711405,140.711405,140.711405,140.711405,140.711405,140.711405
2551,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Rail",2003,1,10,141.54029500000016,0.0,4274456.706983605,0.0,981487.8265209284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6301083.845052073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.54029500000016,141.54029500000016,141.54029500000016,141.54029500000016,141.54029500000016,141.54029500000016,141.54029500000016,141.54029500000016,141.54029500000016,141.54029500000016,141.54029500000016,141.54029500000016,141.54029500000016
2552,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Rail",2004,1,10,151.84420199999985,0.0,-1243828.2959549846,0.0,2665247.4761427883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6362357.498337736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.84420199999985,151.84420199999985,151.84420199999985,151.84420199999985,151.84420199999985,151.84420199999985,151.84420199999985,151.84420199999985,151.84420199999985,151.84420199999985,151.84420199999985,151.84420199999985,151.84420199999985
2553,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Rail",2005,1,10,154.05914600000014,0.0,1152433.4574031031,0.0,835109.9581618655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3819940.127812555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.05914600000014,154.05914600000014,154.05914600000014,154.05914600000014,154.05914600000014,154.05914600000014,154.05914600000014,154.05914600000014,154.05914600000014,154.05914600000014,154.05914600000014,154.05914600000014,154.05914600000014
2554,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Rail",2006,1,10,158.32259100000013,0.0,814416.1055111976,0.0,1035037.07570874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1141030.1763186324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.32259100000013,158.32259100000013,158.32259100000013,158.32259100000013,158.32259100000013,158.32259100000013,158.32259100000013,158.32259100000013,158.32259100000013,158.32259100000013,158.32259100000013,158.32259100000013,158.32259100000013
2555,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Rail",2007,1,10,162.85795200000027,0.0,4465300.806018423,0.0,427026.3361808944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292394.84205113444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.85795200000027,162.85795200000027,162.85795200000027,162.85795200000027,162.85795200000027,162.85795200000027,162.85795200000027,162.85795200000027,162.85795200000027,162.85795200000027,162.85795200000027,162.85795200000027,162.85795200000027
2556,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Rail",2008,1,10,170.04664100000008,0.0,2615510.7169841137,0.0,-3328519.175875505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5413992.348593097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.04664100000008,170.04664100000008,170.04664100000008,170.04664100000008,170.04664100000008,170.04664100000008,170.04664100000008,170.04664100000008,170.04664100000008,170.04664100000008,170.04664100000008,170.04664100000008,170.04664100000008
2557,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Rail",2009,1,10,165.86497299999985,0.0,1987134.091858912,0.0,-2042060.4183622585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1876888.5174392012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.86497299999985,165.86497299999985,165.86497299999985,165.86497299999985,165.86497299999985,165.86497299999985,165.86497299999985,165.86497299999985,165.86497299999985,165.86497299999985,165.86497299999985,165.86497299999985,165.86497299999985
2558,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Rail",2010,1,10,172.91283600000023,0.0,2593803.3770123147,0.0,2351906.338052997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1196548.72158946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.91283600000023,172.91283600000023,172.91283600000023,172.91283600000023,172.91283600000023,172.91283600000023,172.91283600000023,172.91283600000023,172.91283600000023,172.91283600000023,172.91283600000023,172.91283600000023,172.91283600000023
2559,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area-Rail",2011,1,10,176.6902180000001,0.0,-1155004.9150678655,0.0,-2374470.827713117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3259363.5682453127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.6902180000001,176.6902180000001,176.6902180000001,176.6902180000001,176.6902180000001,176.6902180000001,176.6902180000001,176.6902180000001,176.6902180000001,176.6902180000001,176.6902180000001,176.6902180000001,176.6902180000001
