,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
2643,"Portland-South Portland-Biddeford, ME Metro Area-Bus",2002,0,23,1306123.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306123.9999999995,1306123.9999999995,1306123.9999999995,1306123.9999999995,1306123.9999999995,1306123.9999999995,1306123.9999999995,1306123.9999999995,1306123.9999999995,1306123.9999999995,1306123.9999999995,1306123.9999999995,1306123.9999999995
2644,"Portland-South Portland-Biddeford, ME Metro Area-Bus",2003,0,23,1317167.0000000002,-2765.147829490354,0.0,-8462.932809904722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1317167.0000000002,1317167.0000000002,1317167.0000000002,1317167.0000000002,1317167.0000000002,1317167.0000000002,1317167.0000000002,1317167.0000000002,1317167.0000000002,1317167.0000000002,1317167.0000000002,1317167.0000000002,1317167.0000000002
2645,"Portland-South Portland-Biddeford, ME Metro Area-Bus",2004,0,23,1347651.9999999995,22422.7035971924,0.0,8363.673009586497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347651.9999999995,1347651.9999999995,1347651.9999999995,1347651.9999999995,1347651.9999999995,1347651.9999999995,1347651.9999999995,1347651.9999999995,1347651.9999999995,1347651.9999999995,1347651.9999999995,1347651.9999999995,1347651.9999999995
2646,"Portland-South Portland-Biddeford, ME Metro Area-Bus",2005,0,23,1360010.0,36372.75183104513,0.0,-631661.92580336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360010.0,1360010.0,1360010.0,1360010.0,1360010.0,1360010.0,1360010.0,1360010.0,1360010.0,1360010.0,1360010.0,1360010.0,1360010.0
2647,"Portland-South Portland-Biddeford, ME Metro Area-Bus",2006,0,23,1379443.999999999,-3940.389280829595,0.0,178027.51275292737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379443.999999999,1379443.999999999,1379443.999999999,1379443.999999999,1379443.999999999,1379443.999999999,1379443.999999999,1379443.999999999,1379443.999999999,1379443.999999999,1379443.999999999,1379443.999999999,1379443.999999999
2648,"Portland-South Portland-Biddeford, ME Metro Area-Bus",2007,0,23,1429809.0,-4743.032708533976,0.0,190408.32751261813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1429809.0,1429809.0,1429809.0,1429809.0,1429809.0,1429809.0,1429809.0,1429809.0,1429809.0,1429809.0,1429809.0,1429809.0,1429809.0
2649,"Portland-South Portland-Biddeford, ME Metro Area-Bus",2008,0,23,1501242.0000000007,5019.345716839127,0.0,-20414.502872291792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1501242.0000000007,1501242.0000000007,1501242.0000000007,1501242.0000000007,1501242.0000000007,1501242.0000000007,1501242.0000000007,1501242.0000000007,1501242.0000000007,1501242.0000000007,1501242.0000000007,1501242.0000000007,1501242.0000000007
2650,"Portland-South Portland-Biddeford, ME Metro Area-Bus",2009,0,23,1411842.0000000005,-19818.52893297791,0.0,35668.67357057941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1411842.0000000005,1411842.0000000005,1411842.0000000005,1411842.0000000005,1411842.0000000005,1411842.0000000005,1411842.0000000005,1411842.0000000005,1411842.0000000005,1411842.0000000005,1411842.0000000005,1411842.0000000005,1411842.0000000005
2651,"Portland-South Portland-Biddeford, ME Metro Area-Bus",2010,0,23,1440200.0,2681.520709476253,0.0,558518.5386771202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440200.0,1440200.0,1440200.0,1440200.0,1440200.0,1440200.0,1440200.0,1440200.0,1440200.0,1440200.0,1440200.0,1440200.0,1440200.0
2652,"Portland-South Portland-Biddeford, ME Metro Area-Bus",2011,0,23,1433663.9999999993,-11738.798318810952,0.0,-52306.55969465499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1433663.9999999993,1433663.9999999993,1433663.9999999993,1433663.9999999993,1433663.9999999993,1433663.9999999993,1433663.9999999993,1433663.9999999993,1433663.9999999993,1433663.9999999993,1433663.9999999993,1433663.9999999993,1433663.9999999993
