,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
2689,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Rail",2002,1,10,25663032.999999963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25663032.999999963,25663032.999999963,25663032.999999963,25663032.999999963,25663032.999999963,25663032.999999963,25663032.999999963,25663032.999999963,25663032.999999963,25663032.999999963,25663032.999999963,25663032.999999963,25663032.999999963
2690,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Rail",2003,1,10,26425057.000000045,0.0,324671.2121218934,0.0,-3184779.904477392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26425057.000000045,26425057.000000045,26425057.000000045,26425057.000000045,26425057.000000045,26425057.000000045,26425057.000000045,26425057.000000045,26425057.000000045,26425057.000000045,26425057.000000045,26425057.000000045,26425057.000000045
2691,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Rail",2004,1,10,30231977.000000037,0.0,2336442.4838032536,0.0,4206374.034459429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30231977.000000037,30231977.000000037,30231977.000000037,30231977.000000037,30231977.000000037,30231977.000000037,30231977.000000037,30231977.000000037,30231977.000000037,30231977.000000037,30231977.000000037,30231977.000000037,30231977.000000037
2692,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Rail",2005,1,10,32144985.000000022,0.0,273786.4218115634,0.0,-333457.3377418756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32144985.000000022,32144985.000000022,32144985.000000022,32144985.000000022,32144985.000000022,32144985.000000022,32144985.000000022,32144985.000000022,32144985.000000022,32144985.000000022,32144985.000000022,32144985.000000022,32144985.000000022
2693,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Rail",2006,1,10,33066293.00000005,0.0,13485283.937318576,0.0,-313431.31891954807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33066293.00000005,33066293.00000005,33066293.00000005,33066293.00000005,33066293.00000005,33066293.00000005,33066293.00000005,33066293.00000005,33066293.00000005,33066293.00000005,33066293.00000005,33066293.00000005,33066293.00000005
2694,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Rail",2007,1,10,34696929.999999985,0.0,291583.4237840497,0.0,-196713.3585550213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34696929.999999985,34696929.999999985,34696929.999999985,34696929.999999985,34696929.999999985,34696929.999999985,34696929.999999985,34696929.999999985,34696929.999999985,34696929.999999985,34696929.999999985,34696929.999999985,34696929.999999985
2695,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Rail",2008,1,10,35769322.99999999,0.0,1686210.3445953778,0.0,-41975.10532068264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35769322.99999999,35769322.99999999,35769322.99999999,35769322.99999999,35769322.99999999,35769322.99999999,35769322.99999999,35769322.99999999,35769322.99999999,35769322.99999999,35769322.99999999,35769322.99999999,35769322.99999999
2696,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Rail",2009,1,10,36233747.000000045,0.0,1920416.2166813344,0.0,-399073.83402415103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36233747.000000045,36233747.000000045,36233747.000000045,36233747.000000045,36233747.000000045,36233747.000000045,36233747.000000045,36233747.000000045,36233747.000000045,36233747.000000045,36233747.000000045,36233747.000000045,36233747.000000045
2697,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Rail",2010,1,10,44566092.00000005,0.0,2716825.5419953708,0.0,854862.3539950559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44566092.00000005,44566092.00000005,44566092.00000005,44566092.00000005,44566092.00000005,44566092.00000005,44566092.00000005,44566092.00000005,44566092.00000005,44566092.00000005,44566092.00000005,44566092.00000005,44566092.00000005
2698,"Portland-Vancouver-Hillsboro, OR-WA Metro Area-Rail",2011,1,10,46279110.000000045,0.0,-943803.53475291,0.0,-290151.60743400926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46279110.000000045,46279110.000000045,46279110.000000045,46279110.000000045,46279110.000000045,46279110.000000045,46279110.000000045,46279110.000000045,46279110.000000045,46279110.000000045,46279110.000000045,46279110.000000045,46279110.000000045
