,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
2771,"Redding, CA Metro Area-Bus",2002,0,34,825105.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825105.0000000001,825105.0000000001,825105.0000000001,825105.0000000001,825105.0000000001,825105.0000000001,825105.0000000001,825105.0000000001,825105.0000000001,825105.0000000001,825105.0000000001,825105.0000000001,825105.0000000001
2772,"Redding, CA Metro Area-Bus",2003,0,34,719553.9999999999,32478.86712136,0.0,1866.7331895735097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719553.9999999999,719553.9999999999,719553.9999999999,719553.9999999999,719553.9999999999,719553.9999999999,719553.9999999999,719553.9999999999,719553.9999999999,719553.9999999999,719553.9999999999,719553.9999999999,719553.9999999999
2773,"Redding, CA Metro Area-Bus",2004,0,34,704309.0,6484.621526125344,0.0,8376.53496020734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704309.0,704309.0,704309.0,704309.0,704309.0,704309.0,704309.0,704309.0,704309.0,704309.0,704309.0,704309.0,704309.0
2774,"Redding, CA Metro Area-Bus",2005,0,34,706279.9999999999,14654.068510201549,0.0,18691.27298487213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706279.9999999999,706279.9999999999,706279.9999999999,706279.9999999999,706279.9999999999,706279.9999999999,706279.9999999999,706279.9999999999,706279.9999999999,706279.9999999999,706279.9999999999,706279.9999999999,706279.9999999999
2775,"Redding, CA Metro Area-Bus",2006,0,34,667460.0000000001,-18402.834116204875,0.0,-12285.938234217136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667460.0000000001,667460.0000000001,667460.0000000001,667460.0000000001,667460.0000000001,667460.0000000001,667460.0000000001,667460.0000000001,667460.0000000001,667460.0000000001,667460.0000000001,667460.0000000001,667460.0000000001
2776,"Redding, CA Metro Area-Bus",2007,0,34,649037.9999999998,704.8775768794573,0.0,-34904.28556036778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649037.9999999998,649037.9999999998,649037.9999999998,649037.9999999998,649037.9999999998,649037.9999999998,649037.9999999998,649037.9999999998,649037.9999999998,649037.9999999998,649037.9999999998,649037.9999999998,649037.9999999998
2777,"Redding, CA Metro Area-Bus",2008,0,34,663328.9999999998,-12732.055514597305,0.0,-4873.975269057759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663328.9999999998,663328.9999999998,663328.9999999998,663328.9999999998,663328.9999999998,663328.9999999998,663328.9999999998,663328.9999999998,663328.9999999998,663328.9999999998,663328.9999999998,663328.9999999998,663328.9999999998
2778,"Redding, CA Metro Area-Bus",2009,0,34,664666.0000000005,-40581.69038348945,0.0,4775.204716156878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664666.0000000005,664666.0000000005,664666.0000000005,664666.0000000005,664666.0000000005,664666.0000000005,664666.0000000005,664666.0000000005,664666.0000000005,664666.0000000005,664666.0000000005,664666.0000000005,664666.0000000005
2779,"Redding, CA Metro Area-Bus",2010,0,34,646851.0000000006,276.8941246626745,0.0,6379.620360129503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646851.0000000006,646851.0000000006,646851.0000000006,646851.0000000006,646851.0000000006,646851.0000000006,646851.0000000006,646851.0000000006,646851.0000000006,646851.0000000006,646851.0000000006,646851.0000000006,646851.0000000006
2780,"Redding, CA Metro Area-Bus",2011,0,34,708341.0,209.513015709836,0.0,17139.71576455374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,708341.0,708341.0,708341.0,708341.0,708341.0,708341.0,708341.0,708341.0,708341.0,708341.0,708341.0,708341.0,708341.0
