,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
2854,"Rochester, MN Metro Area-Bus",2005,0,33,1301017.0000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1301017.0000000005,1301017.0000000005,1301017.0000000005,1301017.0000000005,1301017.0000000005,1301017.0000000005,1301017.0000000005,1301017.0000000005,1301017.0000000005,1301017.0000000005,1301017.0000000005,1301017.0000000005,1301017.0000000005
2855,"Rochester, MN Metro Area-Bus",2006,0,33,1427340.0000000002,93686.32334494391,0.0,6442.457752480724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1427340.0000000002,1427340.0000000002,1427340.0000000002,1427340.0000000002,1427340.0000000002,1427340.0000000002,1427340.0000000002,1427340.0000000002,1427340.0000000002,1427340.0000000002,1427340.0000000002,1427340.0000000002,1427340.0000000002
2856,"Rochester, MN Metro Area-Bus",2007,0,33,1545364.0000000005,-1060.270276633915,0.0,52123.19310026093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1545364.0000000005,1545364.0000000005,1545364.0000000005,1545364.0000000005,1545364.0000000005,1545364.0000000005,1545364.0000000005,1545364.0000000005,1545364.0000000005,1545364.0000000005,1545364.0000000005,1545364.0000000005,1545364.0000000005
2857,"Rochester, MN Metro Area-Bus",2008,0,33,1727624.9999999995,52351.36082980031,0.0,4649.23080571036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1727624.9999999995,1727624.9999999995,1727624.9999999995,1727624.9999999995,1727624.9999999995,1727624.9999999995,1727624.9999999995,1727624.9999999995,1727624.9999999995,1727624.9999999995,1727624.9999999995,1727624.9999999995,1727624.9999999995
2858,"Rochester, MN Metro Area-Bus",2009,0,33,1584501.9999999993,-6324.112809760685,0.0,-51909.79634347153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584501.9999999993,1584501.9999999993,1584501.9999999993,1584501.9999999993,1584501.9999999993,1584501.9999999993,1584501.9999999993,1584501.9999999993,1584501.9999999993,1584501.9999999993,1584501.9999999993,1584501.9999999993,1584501.9999999993
2859,"Rochester, MN Metro Area-Bus",2010,0,33,1520556.0000000005,6398.46007627964,0.0,-53808.51953834049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1520556.0000000005,1520556.0000000005,1520556.0000000005,1520556.0000000005,1520556.0000000005,1520556.0000000005,1520556.0000000005,1520556.0000000005,1520556.0000000005,1520556.0000000005,1520556.0000000005,1520556.0000000005,1520556.0000000005
2860,"Rochester, MN Metro Area-Bus",2011,0,33,1645271.9999999998,-3563.040543467398,0.0,-12923.76883215192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1645271.9999999998,1645271.9999999998,1645271.9999999998,1645271.9999999998,1645271.9999999998,1645271.9999999998,1645271.9999999998,1645271.9999999998,1645271.9999999998,1645271.9999999998,1645271.9999999998,1645271.9999999998,1645271.9999999998
2861,"Rochester, MN Metro Area-Bus",2012,0,33,1739070.9999999986,-13019.575266517431,0.0,134568.38864959858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1739070.9999999986,1739070.9999999986,1739070.9999999986,1739070.9999999986,1739070.9999999986,1739070.9999999986,1739070.9999999986,1739070.9999999986,1739070.9999999986,1739070.9999999986,1739070.9999999986,1739070.9999999986,1739070.9999999986
2862,"Rochester, MN Metro Area-Bus",2013,0,33,1713851.0000000007,19774.877959209556,0.0,539.4527031055222,0.0,30645.549352212543,2954.6741819809963,-6813.211133649605,2176.075945994648,-243.76187194439385,-9285.750902155747,0.0,0.0,0.0,0.0,0.0,0.0,-64995.27429586543,19774.877959209556,539.4527031055222,0.0,0.0,30645.549352212543,2954.6741819809963,-6813.211133649605,2176.075945994648,-243.76187194439385,-9285.750902155747,0.0,0.0,-64995.27429586543,19774.877959209556,539.4527031055222,0.0,0.0,1683205.4506477881,1710896.3258180197,1720664.2111336503,1711674.924054006,1714094.761871945,1723136.7509021563,1713851.0000000007,1713851.0000000007,1778846.274295866,1694076.1220407912,1713311.5472968952,1713851.0000000007,1713851.0000000007
2863,"Rochester, MN Metro Area-Bus",2014,0,33,1667927.0000000012,50251.89222772626,0.0,5169.460807723069,0.0,1226.7006625564268,-1018.1297665593048,-12551.40151251554,-5931.501192883684,1201.6394382315966,5251.2326942536665,0.0,0.0,0.0,0.0,0.0,0.0,-89266.84054683235,50251.89222772626,5169.460807723069,0.0,0.0,31872.25001476897,1936.5444154216916,-19364.612646165144,-3755.425246889036,957.8775662872027,-4034.5182079020806,0.0,0.0,-154262.11484269777,70026.77018693581,5708.913510828591,0.0,0.0,1636054.7499852323,1665990.4555845794,1687291.6126461662,1671682.4252468902,1666969.1224337139,1671961.5182079033,1667927.0000000012,1667927.0000000012,1822189.114842699,1597900.2298130654,1662218.0864891727,1667927.0000000012,1667927.0000000012
