,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
2902,"Sacramento--Arden-Arcade--Roseville, CA Metro Area-Bus",2002,0,22,23055336.999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23055336.999999996,23055336.999999996,23055336.999999996,23055336.999999996,23055336.999999996,23055336.999999996,23055336.999999996,23055336.999999996,23055336.999999996,23055336.999999996,23055336.999999996,23055336.999999996,23055336.999999996
2903,"Sacramento--Arden-Arcade--Roseville, CA Metro Area-Bus",2003,0,22,23468540.999999963,474430.8253915157,0.0,-2935487.3369979886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23468540.999999963,23468540.999999963,23468540.999999963,23468540.999999963,23468540.999999963,23468540.999999963,23468540.999999963,23468540.999999963,23468540.999999963,23468540.999999963,23468540.999999963,23468540.999999963,23468540.999999963
2904,"Sacramento--Arden-Arcade--Roseville, CA Metro Area-Bus",2004,0,22,23402727.000000022,598001.9214318823,0.0,76712.41655530629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23402727.000000022,23402727.000000022,23402727.000000022,23402727.000000022,23402727.000000022,23402727.000000022,23402727.000000022,23402727.000000022,23402727.000000022,23402727.000000022,23402727.000000022,23402727.000000022,23402727.000000022
2905,"Sacramento--Arden-Arcade--Roseville, CA Metro Area-Bus",2005,0,22,22499855.00000003,-547292.9357263134,0.0,657910.7454922643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22499855.00000003,22499855.00000003,22499855.00000003,22499855.00000003,22499855.00000003,22499855.00000003,22499855.00000003,22499855.00000003,22499855.00000003,22499855.00000003,22499855.00000003,22499855.00000003,22499855.00000003
2906,"Sacramento--Arden-Arcade--Roseville, CA Metro Area-Bus",2006,0,22,22876473.999999966,806614.2159251235,0.0,-1433079.8252586492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22876473.999999966,22876473.999999966,22876473.999999966,22876473.999999966,22876473.999999966,22876473.999999966,22876473.999999966,22876473.999999966,22876473.999999966,22876473.999999966,22876473.999999966,22876473.999999966,22876473.999999966
2907,"Sacramento--Arden-Arcade--Roseville, CA Metro Area-Bus",2007,0,22,22552172.000000004,217606.6203545751,0.0,-837153.0571666638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22552172.000000004,22552172.000000004,22552172.000000004,22552172.000000004,22552172.000000004,22552172.000000004,22552172.000000004,22552172.000000004,22552172.000000004,22552172.000000004,22552172.000000004,22552172.000000004,22552172.000000004
2908,"Sacramento--Arden-Arcade--Roseville, CA Metro Area-Bus",2008,0,22,24813114.00000001,-102043.52172380028,0.0,1480361.4426884323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24813114.00000001,24813114.00000001,24813114.00000001,24813114.00000001,24813114.00000001,24813114.00000001,24813114.00000001,24813114.00000001,24813114.00000001,24813114.00000001,24813114.00000001,24813114.00000001,24813114.00000001
2909,"Sacramento--Arden-Arcade--Roseville, CA Metro Area-Bus",2009,0,22,24075890.0,-53314.38491378132,0.0,-674118.8221104064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24075890.0,24075890.0,24075890.0,24075890.0,24075890.0,24075890.0,24075890.0,24075890.0,24075890.0,24075890.0,24075890.0,24075890.0,24075890.0
2910,"Sacramento--Arden-Arcade--Roseville, CA Metro Area-Bus",2010,0,22,21457509.000000022,-1200271.293634422,0.0,-501719.82036856055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21457509.000000022,21457509.000000022,21457509.000000022,21457509.000000022,21457509.000000022,21457509.000000022,21457509.000000022,21457509.000000022,21457509.000000022,21457509.000000022,21457509.000000022,21457509.000000022,21457509.000000022
2911,"Sacramento--Arden-Arcade--Roseville, CA Metro Area-Bus",2011,0,22,20419661.99999997,-686550.5059855862,0.0,271951.9324406865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20419661.99999997,20419661.99999997,20419661.99999997,20419661.99999997,20419661.99999997,20419661.99999997,20419661.99999997,20419661.99999997,20419661.99999997,20419661.99999997,20419661.99999997,20419661.99999997,20419661.99999997
