,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
2936,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2004,0,34,683948.0000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683948.0000000001,683948.0000000001,683948.0000000001,683948.0000000001,683948.0000000001,683948.0000000001,683948.0000000001,683948.0000000001,683948.0000000001,683948.0000000001,683948.0000000001,683948.0000000001,683948.0000000001
2937,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2005,0,34,629253.9999999997,-31967.12675683393,0.0,5095.70178912343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629253.9999999997,629253.9999999997,629253.9999999997,629253.9999999997,629253.9999999997,629253.9999999997,629253.9999999997,629253.9999999997,629253.9999999997,629253.9999999997,629253.9999999997,629253.9999999997,629253.9999999997
2938,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2006,0,34,714453.9999999998,29215.44531435479,0.0,16704.710449772258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,714453.9999999998,714453.9999999998,714453.9999999998,714453.9999999998,714453.9999999998,714453.9999999998,714453.9999999998,714453.9999999998,714453.9999999998,714453.9999999998,714453.9999999998,714453.9999999998,714453.9999999998
2939,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2007,0,34,811480.0000000003,11810.084163725349,0.0,6199.335025176614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811480.0000000003,811480.0000000003,811480.0000000003,811480.0000000003,811480.0000000003,811480.0000000003,811480.0000000003,811480.0000000003,811480.0000000003,811480.0000000003,811480.0000000003,811480.0000000003,811480.0000000003
2940,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2008,0,34,1016689.0000000008,14565.64115474028,0.0,14036.14723681212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016689.0000000008,1016689.0000000008,1016689.0000000008,1016689.0000000008,1016689.0000000008,1016689.0000000008,1016689.0000000008,1016689.0000000008,1016689.0000000008,1016689.0000000008,1016689.0000000008,1016689.0000000008,1016689.0000000008
2941,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2009,0,34,1012342.0000000008,3464.084735376964,0.0,-66236.00313824715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012342.0000000008,1012342.0000000008,1012342.0000000008,1012342.0000000008,1012342.0000000008,1012342.0000000008,1012342.0000000008,1012342.0000000008,1012342.0000000008,1012342.0000000008,1012342.0000000008,1012342.0000000008,1012342.0000000008
2942,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2010,0,34,995758.0,19685.258592174345,0.0,536.9341796531392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995758.0,995758.0,995758.0,995758.0,995758.0,995758.0,995758.0,995758.0,995758.0,995758.0,995758.0,995758.0,995758.0
2943,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2011,0,34,1058783.0,11088.327174966273,0.0,41845.2428213649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1058783.0,1058783.0,1058783.0,1058783.0,1058783.0,1058783.0,1058783.0,1058783.0,1058783.0,1058783.0,1058783.0,1058783.0,1058783.0
2944,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2012,0,34,975906.9999999997,-75811.08001459274,0.0,-22766.02675869012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975906.9999999997,975906.9999999997,975906.9999999997,975906.9999999997,975906.9999999997,975906.9999999997,975906.9999999997,975906.9999999997,975906.9999999997,975906.9999999997,975906.9999999997,975906.9999999997,975906.9999999997
2945,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2013,0,34,891870.9999999998,51772.01261229685,0.0,56681.1948512913,0.0,-1206.5969374576052,-443.57270870036217,-3823.34041439745,2962.6175410554392,3131.880745448283,-1491.660638745288,0.0,0.0,0.0,0.0,0.0,0.0,-194505.46115810596,51772.01261229685,56681.1948512913,0.0,0.0,-1206.5969374576052,-443.57270870036217,-3823.34041439745,2962.6175410554392,3131.880745448283,-1491.660638745288,0.0,0.0,-194505.46115810596,51772.01261229685,56681.1948512913,0.0,0.0,893077.5969374573,892314.5727087001,895694.3404143972,888908.3824589443,888739.1192545515,893362.6606387451,891870.9999999998,891870.9999999998,1086376.4611581056,840098.9873877029,835189.8051487085,891870.9999999998,891870.9999999998
2946,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2014,0,34,1025913.9999999997,-45151.17321871504,0.0,-36440.79430781121,0.0,-12.196164571271389,-988.422375450178,-6531.624405137168,-5252.390180656245,-250.00578809641215,-5440.361822386309,0.0,0.0,0.0,0.0,0.0,0.0,230490.9193266745,-45151.17321871504,-36440.79430781121,0.0,0.0,-1218.7931020288765,-1431.9950841505402,-10354.964819534618,-2289.772639600806,2881.8749573518708,-6932.022461131597,0.0,0.0,35985.458168568555,6620.839393581809,20240.400543480093,0.0,0.0,1027132.7931020285,1027345.9950841502,1036268.9648195342,1028203.7726396004,1023032.1250426478,1032846.0224611312,1025913.9999999997,1025913.9999999997,989928.5418314311,1019293.1606064178,1005673.5994565196,1025913.9999999997,1025913.9999999997
2947,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2015,0,34,900235.0000000001,-55214.37665456363,0.0,-578.3484198029203,0.0,-650.1836981702398,1790.1271793460448,-36458.5037088769,4317.822195796043,-287.58019723608294,6296.424241524514,0.0,0.0,0.0,0.0,0.0,0.0,-45929.3382959537,-55214.37665456363,-578.3484198029203,0.0,0.0,-1868.9768001991165,358.1320951955047,-46813.46852841152,2028.049556195237,2594.294760115788,-635.5982196070827,0.0,0.0,-9943.880127385142,-48593.53726098182,19662.05212367717,0.0,0.0,902103.9768001992,899876.8679048046,947048.4685284116,898206.9504438048,897640.7052398843,900870.5982196071,900235.0000000001,900235.0000000001,910178.8801273853,948828.537260982,880572.9478763229,900235.0000000001,900235.0000000001
2948,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2016,0,34,631357.9999999999,4834.254736271674,0.0,301.61139926667886,0.0,-280.696015915762,-612.3705623042453,-10812.93908425783,-4481.6606713874335,-2574.252317503896,4832.598710020168,0.0,0.0,0.0,0.0,0.0,0.0,-260020.8783592047,4834.254736271674,301.61139926667886,0.0,0.0,-2149.6728161148785,-254.23846710874056,-57626.40761266935,-2453.6111151921964,20.042442611892056,4197.000490413086,0.0,0.0,-269964.7584865899,-43759.28252471015,19963.66352294385,0.0,0.0,633507.6728161147,631612.2384671086,688984.4076126693,633811.6111151921,631337.957557388,627160.9995095868,631357.9999999999,631357.9999999999,901322.7584865898,675117.28252471,611394.336477056,631357.9999999999,631357.9999999999
2949,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2017,0,34,518621.9999999998,25016.870704156336,0.0,-70401.61113485586,0.0,-688.7447194134263,-1560.8568456468558,5434.452387039986,-64.55372033096891,1176.911937027093,-7679.002612537549,0.0,0.0,0.0,0.0,0.0,0.0,-61378.44974430908,25016.870704156336,-70401.61113485586,0.0,0.0,-2838.417535528305,-1815.0953127555963,-52191.95522562936,-2518.1648355231655,1196.954379638985,-3482.0021221244633,0.0,0.0,-331343.20823089895,-18742.411820553814,-50437.94761191201,0.0,0.0,521460.41753552813,520437.09531275544,570813.9552256291,521140.164835523,517425.0456203608,522104.0021221243,518621.9999999998,518621.9999999998,849965.2082308987,537364.4118205536,569059.9476119118,518621.9999999998,518621.9999999998
2950,"Saginaw-Saginaw Township North, MI Metro Area-Bus",2018,0,34,559182.0000000002,91525.01665856698,0.0,25262.36044084374,0.0,-113.70824786333245,969.2305112780372,5453.854124754082,-752.3923335662395,332.44586395385323,-4049.834816758447,0.0,-17251.310131667527,0.0,0.0,0.0,0.0,-61544.44502449443,91525.01665856698,25262.36044084374,-17251.310131667527,0.0,-2952.1257833916375,-845.8648014775591,-46738.10110087528,-3270.557169089405,1529.4002435928383,-7531.8369388829105,0.0,0.0,-392887.6532553934,72782.60483801317,-25175.58717106827,-17251.310131667527,0.0,562134.1257833919,560027.8648014778,605920.1011008755,562452.5571690897,557652.5997564074,566713.8369388832,559182.0000000002,559182.0000000002,952069.6532553936,486399.39516198705,584357.5871710685,576433.3101316678,559182.0000000002
