,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
3000,"Salt Lake City, UT Metro Area-Rail",2002,1,21,9.650026000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.650026000000011,9.650026000000011,9.650026000000011,9.650026000000011,9.650026000000011,9.650026000000011,9.650026000000011,9.650026000000011,9.650026000000011,9.650026000000011,9.650026000000011,9.650026000000011
3001,"Salt Lake City, UT Metro Area-Rail",2003,1,21,10.076891000000018,0.0,-263617.885284354,0.0,260452.8054103823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.076891000000018,10.076891000000018,10.076891000000018,10.076891000000018,10.076891000000018,10.076891000000018,10.076891000000018,10.076891000000018,10.076891000000018,10.076891000000018,10.076891000000018,10.076891000000018
3002,"Salt Lake City, UT Metro Area-Rail",2004,1,21,11.47244700000001,0.0,812621.8724198482,0.0,171205.170931554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.47244700000001,11.47244700000001,11.47244700000001,11.47244700000001,11.47244700000001,11.47244700000001,11.47244700000001,11.47244700000001,11.47244700000001,11.47244700000001,11.47244700000001,11.47244700000001
3003,"Salt Lake City, UT Metro Area-Rail",2005,1,21,12.986406000000004,0.0,525412.3714781652,0.0,-62853.370880861774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.986406000000004,12.986406000000004,12.986406000000004,12.986406000000004,12.986406000000004,12.986406000000004,12.986406000000004,12.986406000000004,12.986406000000004,12.986406000000004,12.986406000000004,12.986406000000004
3004,"Salt Lake City, UT Metro Area-Rail",2006,1,21,14.82436699999998,0.0,257984.82943940963,0.0,87413.42732729946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.82436699999998,14.82436699999998,14.82436699999998,14.82436699999998,14.82436699999998,14.82436699999998,14.82436699999998,14.82436699999998,14.82436699999998,14.82436699999998,14.82436699999998,14.82436699999998
3005,"Salt Lake City, UT Metro Area-Rail",2007,1,21,12.37445799999998,0.0,40154.022928699225,0.0,-276464.05598924344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.37445799999998,12.37445799999998,12.37445799999998,12.37445799999998,12.37445799999998,12.37445799999998,12.37445799999998,12.37445799999998,12.37445799999998,12.37445799999998,12.37445799999998,12.37445799999998
3006,"Salt Lake City, UT Metro Area-Rail",2008,1,21,15.320726999999993,0.0,4478900.353379348,0.0,-491258.0931125736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.320726999999993,15.320726999999993,15.320726999999993,15.320726999999993,15.320726999999993,15.320726999999993,15.320726999999993,15.320726999999993,15.320726999999993,15.320726999999993,15.320726999999993,15.320726999999993
3007,"Salt Lake City, UT Metro Area-Rail",2009,1,21,14.48954199999999,0.0,1794256.5600881395,0.0,-26873.753539597696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.48954199999999,14.48954199999999,14.48954199999999,14.48954199999999,14.48954199999999,14.48954199999999,14.48954199999999,14.48954199999999,14.48954199999999,14.48954199999999,14.48954199999999,14.48954199999999
3008,"Salt Lake City, UT Metro Area-Rail",2010,1,21,14.867005999999993,0.0,-539700.6565135166,0.0,-52817.61390907261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.867005999999993,14.867005999999993,14.867005999999993,14.867005999999993,14.867005999999993,14.867005999999993,14.867005999999993,14.867005999999993,14.867005999999993,14.867005999999993,14.867005999999993,14.867005999999993
3009,"Salt Lake City, UT Metro Area-Rail",2011,1,21,16.92364999999997,0.0,1779189.6217837303,0.0,-90543.23127870887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.92364999999997,16.92364999999997,16.92364999999997,16.92364999999997,16.92364999999997,16.92364999999997,16.92364999999997,16.92364999999997,16.92364999999997,16.92364999999997,16.92364999999997,16.92364999999997
