,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
3102,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2002,1,10,157212321.99999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157212321.99999976,157212321.99999976,157212321.99999976,157212321.99999976,157212321.99999976,157212321.99999976,157212321.99999976,157212321.99999976,157212321.99999976,157212321.99999976,157212321.99999976,157212321.99999976,157212321.99999976
3103,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2003,1,10,158741030.00000018,0.0,4756497.07228073,0.0,1848498.4172267225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158741030.00000018,158741030.00000018,158741030.00000018,158741030.00000018,158741030.00000018,158741030.00000018,158741030.00000018,158741030.00000018,158741030.00000018,158741030.00000018,158741030.00000018,158741030.00000018,158741030.00000018
3104,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2004,1,10,160883561.00000006,0.0,-698006.7092498256,0.0,-3612117.990091266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160883561.00000006,160883561.00000006,160883561.00000006,160883561.00000006,160883561.00000006,160883561.00000006,160883561.00000006,160883561.00000006,160883561.00000006,160883561.00000006,160883561.00000006,160883561.00000006,160883561.00000006
3105,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2005,1,10,163072359.99999988,0.0,-40823.29944012493,0.0,-906321.5312806343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163072359.99999988,163072359.99999988,163072359.99999988,163072359.99999988,163072359.99999988,163072359.99999988,163072359.99999988,163072359.99999988,163072359.99999988,163072359.99999988,163072359.99999988,163072359.99999988,163072359.99999988
3106,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2006,1,10,167023560.00000003,0.0,4577119.625794137,0.0,-2125306.057435503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167023560.00000003,167023560.00000003,167023560.00000003,167023560.00000003,167023560.00000003,167023560.00000003,167023560.00000003,167023560.00000003,167023560.00000003,167023560.00000003,167023560.00000003,167023560.00000003,167023560.00000003
3107,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2007,1,10,173009157.00000006,0.0,2595581.1789837503,0.0,-1195671.9783455057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173009157.00000006,173009157.00000006,173009157.00000006,173009157.00000006,173009157.00000006,173009157.00000006,173009157.00000006,173009157.00000006,173009157.00000006,173009157.00000006,173009157.00000006,173009157.00000006,173009157.00000006
3108,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2008,1,10,183856983.99999985,0.0,6392535.329771589,0.0,-12652.292559182704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183856983.99999985,183856983.99999985,183856983.99999985,183856983.99999985,183856983.99999985,183856983.99999985,183856983.99999985,183856983.99999985,183856983.99999985,183856983.99999985,183856983.99999985,183856983.99999985,183856983.99999985
3109,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2009,1,10,182907570.99999973,0.0,-6066598.31050967,0.0,-1911594.9679879483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182907570.99999973,182907570.99999973,182907570.99999973,182907570.99999973,182907570.99999973,182907570.99999973,182907570.99999973,182907570.99999973,182907570.99999973,182907570.99999973,182907570.99999973,182907570.99999973,182907570.99999973
3110,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2010,1,10,175084637.9999998,0.0,-3741761.900155237,0.0,-3652434.041870448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175084637.9999998,175084637.9999998,175084637.9999998,175084637.9999998,175084637.9999998,175084637.9999998,175084637.9999998,175084637.9999998,175084637.9999998,175084637.9999998,175084637.9999998,175084637.9999998,175084637.9999998
3111,"San Francisco-Oakland-Fremont, CA Metro Area-Rail",2011,1,10,185128529.99999976,0.0,1486491.6472161897,0.0,1778688.8776848072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381772.63766150206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185128529.99999976,185128529.99999976,185128529.99999976,185128529.99999976,185128529.99999976,185128529.99999976,185128529.99999976,185128529.99999976,185128529.99999976,185128529.99999976,185128529.99999976,185128529.99999976,185128529.99999976
