,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
3119,"San Jose-Sunnyvale-Santa Clara, CA Metro Area-Bus",2002,0,10,43453372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43453372.0,43453372.0,43453372.0,43453372.0,43453372.0,43453372.0,43453372.0,43453372.0,43453372.0,43453372.0,43453372.0,43453372.0,43453372.0
3120,"San Jose-Sunnyvale-Santa Clara, CA Metro Area-Bus",2003,0,10,36119996.000000045,-1966600.273414902,0.0,-2537093.3281883784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36119996.000000045,36119996.000000045,36119996.000000045,36119996.000000045,36119996.000000045,36119996.000000045,36119996.000000045,36119996.000000045,36119996.000000045,36119996.000000045,36119996.000000045,36119996.000000045,36119996.000000045
3121,"San Jose-Sunnyvale-Santa Clara, CA Metro Area-Bus",2004,0,10,32038887.999999966,-1118015.21371942,0.0,-735481.8383385224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32038887.999999966,32038887.999999966,32038887.999999966,32038887.999999966,32038887.999999966,32038887.999999966,32038887.999999966,32038887.999999966,32038887.999999966,32038887.999999966,32038887.999999966,32038887.999999966,32038887.999999966
3122,"San Jose-Sunnyvale-Santa Clara, CA Metro Area-Bus",2005,0,10,31007803.000000056,226521.61874817827,0.0,972.3722410439389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31007803.000000056,31007803.000000056,31007803.000000056,31007803.000000056,31007803.000000056,31007803.000000056,31007803.000000056,31007803.000000056,31007803.000000056,31007803.000000056,31007803.000000056,31007803.000000056,31007803.000000056
3123,"San Jose-Sunnyvale-Santa Clara, CA Metro Area-Bus",2006,0,10,31733611.000000004,75442.37109189197,0.0,199255.90544439424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31733611.000000004,31733611.000000004,31733611.000000004,31733611.000000004,31733611.000000004,31733611.000000004,31733611.000000004,31733611.000000004,31733611.000000004,31733611.000000004,31733611.000000004,31733611.000000004,31733611.000000004
3124,"San Jose-Sunnyvale-Santa Clara, CA Metro Area-Bus",2007,0,10,32823353.99999996,196999.69189428195,0.0,807916.1555287307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32823353.99999996,32823353.99999996,32823353.99999996,32823353.99999996,32823353.99999996,32823353.99999996,32823353.99999996,32823353.99999996,32823353.99999996,32823353.99999996,32823353.99999996,32823353.99999996,32823353.99999996
3125,"San Jose-Sunnyvale-Santa Clara, CA Metro Area-Bus",2008,0,10,34768301.99999997,-364550.3926257506,0.0,618346.1564295598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34768301.99999997,34768301.99999997,34768301.99999997,34768301.99999997,34768301.99999997,34768301.99999997,34768301.99999997,34768301.99999997,34768301.99999997,34768301.99999997,34768301.99999997,34768301.99999997,34768301.99999997
3126,"San Jose-Sunnyvale-Santa Clara, CA Metro Area-Bus",2009,0,10,33206055.999999963,20594.7582186668,0.0,-571349.4421484008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33206055.999999963,33206055.999999963,33206055.999999963,33206055.999999963,33206055.999999963,33206055.999999963,33206055.999999963,33206055.999999963,33206055.999999963,33206055.999999963,33206055.999999963,33206055.999999963,33206055.999999963
3127,"San Jose-Sunnyvale-Santa Clara, CA Metro Area-Bus",2010,0,10,31461454.00000004,-1315224.6947023422,0.0,-576002.0420330577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31461454.00000004,31461454.00000004,31461454.00000004,31461454.00000004,31461454.00000004,31461454.00000004,31461454.00000004,31461454.00000004,31461454.00000004,31461454.00000004,31461454.00000004,31461454.00000004,31461454.00000004
3128,"San Jose-Sunnyvale-Santa Clara, CA Metro Area-Bus",2011,0,10,32138756.00000001,-114930.6068109514,0.0,232599.9780266343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-604643.3017656816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32138756.00000001,32138756.00000001,32138756.00000001,32138756.00000001,32138756.00000001,32138756.00000001,32138756.00000001,32138756.00000001,32138756.00000001,32138756.00000001,32138756.00000001,32138756.00000001,32138756.00000001
