,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,New_Reporter_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,Others_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,Others_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_Others_FAC_cumsum
3200,"Savannah, GA Metro Area-Bus",2002,0,33,3.5929259999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3592925.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5929259999999994,3.5929259999999994,3.5929259999999994,3.5929259999999994,3.5929259999999994,3.5929259999999994,3.5929259999999994,3.5929259999999994,3.5929259999999994,3.5929259999999994,3.5929259999999994,3.5929259999999994,3.5929259999999994
3201,"Savannah, GA Metro Area-Bus",2003,0,33,3.580566999999999,-7345.867071185747,0.0,43541.9009047704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-137181.5752655657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.580566999999999,3.580566999999999,3.580566999999999,3.580566999999999,3.580566999999999,3.580566999999999,3.580566999999999,3.580566999999999,3.580566999999999,3.580566999999999,3.580566999999999,3.580566999999999,3.580566999999999
3202,"Savannah, GA Metro Area-Bus",2004,0,33,3.4439460000000017,13998.371241682718,0.0,-162305.86124094873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99418.6858496366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4439460000000017,3.4439460000000017,3.4439460000000017,3.4439460000000017,3.4439460000000017,3.4439460000000017,3.4439460000000017,3.4439460000000017,3.4439460000000017,3.4439460000000017,3.4439460000000017,3.4439460000000017,3.4439460000000017
3203,"Savannah, GA Metro Area-Bus",2005,0,33,3.4921569999999975,-20108.261627157157,0.0,-2574.1792373002886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25181.935262807907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4921569999999975,3.4921569999999975,3.4921569999999975,3.4921569999999975,3.4921569999999975,3.4921569999999975,3.4921569999999975,3.4921569999999975,3.4921569999999975,3.4921569999999975,3.4921569999999975,3.4921569999999975,3.4921569999999975
3204,"Savannah, GA Metro Area-Bus",2006,0,33,3.652303,33043.39715966888,0.0,50604.65760121652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1193.7207161428814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.652303,3.652303,3.652303,3.652303,3.652303,3.652303,3.652303,3.652303,3.652303,3.652303,3.652303,3.652303,3.652303
3205,"Savannah, GA Metro Area-Bus",2007,0,33,3.542113999999997,137887.8639497361,0.0,-66897.7108494673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-188307.0845792906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.542113999999997,3.542113999999997,3.542113999999997,3.542113999999997,3.542113999999997,3.542113999999997,3.542113999999997,3.542113999999997,3.542113999999997,3.542113999999997,3.542113999999997,3.542113999999997,3.542113999999997
3206,"Savannah, GA Metro Area-Bus",2008,0,33,3.551976000000002,-112750.05091976486,0.0,61591.81284558558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23718.30700813891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.551976000000002,3.551976000000002,3.551976000000002,3.551976000000002,3.551976000000002,3.551976000000002,3.551976000000002,3.551976000000002,3.551976000000002,3.551976000000002,3.551976000000002,3.551976000000002,3.551976000000002
3207,"Savannah, GA Metro Area-Bus",2009,0,33,3.301516000000002,-40320.66332110054,0.0,57774.881703829175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-179136.8020405228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.301516000000002,3.301516000000002,3.301516000000002,3.301516000000002,3.301516000000002,3.301516000000002,3.301516000000002,3.301516000000002,3.301516000000002,3.301516000000002,3.301516000000002,3.301516000000002,3.301516000000002
3208,"Savannah, GA Metro Area-Bus",2010,0,33,3.3783439999999985,44066.57086932955,0.0,-10302.796170577529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27210.404053248567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3783439999999985,3.3783439999999985,3.3783439999999985,3.3783439999999985,3.3783439999999985,3.3783439999999985,3.3783439999999985,3.3783439999999985,3.3783439999999985,3.3783439999999985,3.3783439999999985,3.3783439999999985,3.3783439999999985
3209,"Savannah, GA Metro Area-Bus",2011,0,33,3.730676999999998,15230.314310002968,0.0,110857.37627244364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117756.6639816432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.730676999999998,3.730676999999998,3.730676999999998,3.730676999999998,3.730676999999998,3.730676999999998,3.730676999999998,3.730676999999998,3.730676999999998,3.730676999999998,3.730676999999998,3.730676999999998,3.730676999999998
