,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
3303,"Spokane, WA Metro Area-Bus",2002,0,23,7522393.999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7522393.999999996,7522393.999999996,7522393.999999996,7522393.999999996,7522393.999999996,7522393.999999996,7522393.999999996,7522393.999999996,7522393.999999996,7522393.999999996,7522393.999999996,7522393.999999996,7522393.999999996
3304,"Spokane, WA Metro Area-Bus",2003,0,23,7487408.000000006,25233.730099604552,0.0,-55125.93482058264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7487408.000000006,7487408.000000006,7487408.000000006,7487408.000000006,7487408.000000006,7487408.000000006,7487408.000000006,7487408.000000006,7487408.000000006,7487408.000000006,7487408.000000006,7487408.000000006,7487408.000000006
3305,"Spokane, WA Metro Area-Bus",2004,0,23,7740358.999999995,34953.450785183886,0.0,91234.6831744932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7740358.999999995,7740358.999999995,7740358.999999995,7740358.999999995,7740358.999999995,7740358.999999995,7740358.999999995,7740358.999999995,7740358.999999995,7740358.999999995,7740358.999999995,7740358.999999995,7740358.999999995
3306,"Spokane, WA Metro Area-Bus",2005,0,23,7691051.999999999,124883.03603998153,0.0,24542.5586341561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7691051.999999999,7691051.999999999,7691051.999999999,7691051.999999999,7691051.999999999,7691051.999999999,7691051.999999999,7691051.999999999,7691051.999999999,7691051.999999999,7691051.999999999,7691051.999999999,7691051.999999999
3307,"Spokane, WA Metro Area-Bus",2006,0,23,8420619.999999998,373245.18777762935,0.0,110621.85102029896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8420619.999999998,8420619.999999998,8420619.999999998,8420619.999999998,8420619.999999998,8420619.999999998,8420619.999999998,8420619.999999998,8420619.999999998,8420619.999999998,8420619.999999998,8420619.999999998,8420619.999999998
3308,"Spokane, WA Metro Area-Bus",2007,0,23,9046263.999999993,14594.456257119533,0.0,127414.10198415603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9046263.999999993,9046263.999999993,9046263.999999993,9046263.999999993,9046263.999999993,9046263.999999993,9046263.999999993,9046263.999999993,9046263.999999993,9046263.999999993,9046263.999999993,9046263.999999993,9046263.999999993
3309,"Spokane, WA Metro Area-Bus",2008,0,23,11110265.00000002,90526.8434126806,0.0,192085.12142261665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11110265.00000002,11110265.00000002,11110265.00000002,11110265.00000002,11110265.00000002,11110265.00000002,11110265.00000002,11110265.00000002,11110265.00000002,11110265.00000002,11110265.00000002,11110265.00000002,11110265.00000002
3310,"Spokane, WA Metro Area-Bus",2009,0,23,11150243.000000004,56055.08228929556,0.0,4181.775990937328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11150243.000000004,11150243.000000004,11150243.000000004,11150243.000000004,11150243.000000004,11150243.000000004,11150243.000000004,11150243.000000004,11150243.000000004,11150243.000000004,11150243.000000004,11150243.000000004,11150243.000000004
3311,"Spokane, WA Metro Area-Bus",2010,0,23,10710561.999999996,-8384.696393674158,0.0,-526604.9336125001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10710561.999999996,10710561.999999996,10710561.999999996,10710561.999999996,10710561.999999996,10710561.999999996,10710561.999999996,10710561.999999996,10710561.999999996,10710561.999999996,10710561.999999996,10710561.999999996,10710561.999999996
3312,"Spokane, WA Metro Area-Bus",2011,0,23,10832037.0,-194175.6085644788,0.0,-94679.65890529282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10832037.0,10832037.0,10832037.0,10832037.0,10832037.0,10832037.0,10832037.0,10832037.0,10832037.0,10832037.0,10832037.0,10832037.0,10832037.0
3313,"Spokane, WA Metro Area-Bus",2012,0,23,11030806.000000017,-227707.48704732096,0.0,158479.77799929847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11030806.000000017,11030806.000000017,11030806.000000017,11030806.000000017,11030806.000000017,11030806.000000017,11030806.000000017,11030806.000000017,11030806.000000017,11030806.000000017,11030806.000000017,11030806.000000017,11030806.000000017
3314,"Spokane, WA Metro Area-Bus",2013,0,23,11092515.000000017,19801.77176474122,0.0,11801.563754882627,0.0,199581.970854983,2277.4481393223814,-63975.68657803155,32883.92750256183,7955.127843971193,93194.82880760814,0.0,0.0,0.0,0.0,0.0,0.0,-243520.76816985832,19801.77176474122,11801.563754882627,0.0,0.0,199581.970854983,2277.4481393223814,-63975.68657803155,32883.92750256183,7955.127843971193,93194.82880760814,0.0,0.0,-243520.76816985832,19801.77176474122,11801.563754882627,0.0,0.0,10892933.029145034,11090237.551860694,11156490.686578048,11059631.072497455,11084559.872156046,10999320.17119241,11092515.000000017,11092515.000000017,11336035.768169874,11072713.228235276,11080713.436245134,11092515.000000017,11092515.000000017
3315,"Spokane, WA Metro Area-Bus",2014,0,23,11324434.000000004,104241.18270466154,0.0,301204.9583414133,0.0,25278.189862880245,-81547.99175571206,-64191.82932359873,-11372.810088731543,-19530.39158232426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19935.810451653557,104241.18270466154,301204.9583414133,0.0,0.0,224860.16071786324,-79270.54361638968,-128167.51590163028,21511.11741383029,-11575.263738353067,93194.82880760814,0.0,0.0,-263456.5786215119,124042.95446940276,313006.5220962959,0.0,0.0,11099573.83928214,11403704.543616394,11452601.515901634,11302922.882586174,11336009.263738357,11231239.171192396,11324434.000000004,11324434.000000004,11587890.578621516,11200391.0455306,11011427.477903707,11324434.000000004,11324434.000000004
3316,"Spokane, WA Metro Area-Bus",2015,0,23,10815735.999999993,31562.503626033427,0.0,38354.10208267303,0.0,25852.558079834074,39617.47687970502,-253572.37116431384,3010.82102421204,-7481.140581411999,-60466.69355759676,0.0,-376693.0886071173,0.0,0.0,0.0,0.0,46697.94868665224,31562.503626033427,38354.10208267303,-376693.0886071173,0.0,250712.7187976973,-39653.06673668466,-381739.88706594415,24521.93843804233,-19056.404319765068,32728.13525001138,0.0,0.0,-216758.62993485964,155605.4580954362,351360.62417896895,-376693.0886071173,0.0,10565023.281202296,10855389.066736678,11197475.887065936,10791214.06156195,10834792.404319758,10783007.864749981,10815735.999999993,10815735.999999993,11032494.629934853,10660130.541904556,10464375.375821024,11192429.08860711,10815735.999999993
3317,"Spokane, WA Metro Area-Bus",2016,0,23,10261816.000000004,-2589.317859054417,0.0,48602.74788865504,0.0,51948.74435074801,-586.0023340360591,-165403.46061982698,-61018.306863066304,-14501.750499319296,0.0,0.0,-359771.8878841259,0.0,0.0,0.0,0.0,-54676.68883688812,-2589.317859054417,48602.74788865504,-359771.8878841259,0.0,302661.4631484453,-40239.06907072072,-547143.3476857711,-36496.368425023975,-33558.15481908436,32728.13525001138,0.0,0.0,-271435.31877174776,153016.14023638176,399963.372067624,-736464.9764912432,0.0,9959154.536851559,10302055.069070725,10808959.347685775,10298312.368425028,10295374.154819088,10229087.864749992,10261816.000000004,10261816.000000004,10533251.318771752,10108799.859763622,9861852.627932379,10998280.976491246,10261816.000000004
3318,"Spokane, WA Metro Area-Bus",2017,0,23,10264971.000000002,94720.34114746348,0.0,-186884.9527155668,0.0,43029.93889726371,-7808.409058966609,85908.77967608547,-21439.98290690735,8017.505993719521,-78185.8565616437,0.0,-341346.43406972336,0.0,0.0,0.0,0.0,407693.3588656429,94720.34114746348,-186884.9527155668,-341346.43406972336,0.0,345691.402045709,-48047.478129687326,-461234.5680096856,-57936.35133193132,-25540.64882536484,-45457.72131163232,0.0,0.0,136258.04009389516,247736.48138384524,213078.41935205722,-1077811.4105609665,0.0,9919279.597954294,10313018.478129689,10726205.568009688,10322907.351331932,10290511.648825366,10310428.721311634,10264971.000000002,10264971.000000002,10128712.959906107,10017234.518616157,10051892.580647945,11342782.41056097,10264971.000000002
3319,"Spokane, WA Metro Area-Bus",2018,0,23,10069599.000000017,211836.6278806264,0.0,-50802.68474898453,0.0,17875.700609569405,5303.667322556597,137859.20146041727,-29841.23373767242,2672.62774372445,-58713.46387581322,0.0,-341451.38118624635,0.0,0.0,0.0,-400954.8487965895,314997.40777446696,211836.6278806264,-50802.68474898453,-341451.38118624635,0.0,363567.1026552784,-42743.81080713073,-323375.36654926836,-87777.58506960374,-22868.02108164039,-104171.18518744555,0.0,-400954.8487965895,451255.4478683621,459573.1092644716,162275.7346030727,-1419262.7917472129,0.0,9706031.897344738,10112342.810807148,10392974.366549285,10157376.585069621,10092467.021081658,10173770.185187463,10069599.000000017,10470553.848796606,9618343.552131655,9610025.890735544,9907323.265396943,11488861.79174723,10069599.000000017
