,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
3371,"St. Louis, MO-IL Metro Area-Bus",2002,0,23,32838940.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32838940.0,32838940.0,32838940.0,32838940.0,32838940.0,32838940.0,32838940.0,32838940.0,32838940.0,32838940.0,32838940.0,32838940.0,32838940.0
3372,"St. Louis, MO-IL Metro Area-Bus",2003,0,23,32092395.00000003,17259.15309436746,0.0,-51956.34684841734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32092395.00000003,32092395.00000003,32092395.00000003,32092395.00000003,32092395.00000003,32092395.00000003,32092395.00000003,32092395.00000003,32092395.00000003,32092395.00000003,32092395.00000003,32092395.00000003,32092395.00000003
3373,"St. Louis, MO-IL Metro Area-Bus",2004,0,23,31900015.999999948,-228733.05889988955,0.0,839560.6313546011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31900015.999999948,31900015.999999948,31900015.999999948,31900015.999999948,31900015.999999948,31900015.999999948,31900015.999999948,31900015.999999948,31900015.999999948,31900015.999999948,31900015.999999948,31900015.999999948,31900015.999999948
3374,"St. Louis, MO-IL Metro Area-Bus",2005,0,23,33176356.000000037,115219.68411347916,0.0,-466489.9831193323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33176356.000000037,33176356.000000037,33176356.000000037,33176356.000000037,33176356.000000037,33176356.000000037,33176356.000000037,33176356.000000037,33176356.000000037,33176356.000000037,33176356.000000037,33176356.000000037,33176356.000000037
3375,"St. Louis, MO-IL Metro Area-Bus",2006,0,23,34563185.00000005,201836.0904127241,0.0,333718.8119574813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34563185.00000005,34563185.00000005,34563185.00000005,34563185.00000005,34563185.00000005,34563185.00000005,34563185.00000005,34563185.00000005,34563185.00000005,34563185.00000005,34563185.00000005,34563185.00000005,34563185.00000005
3376,"St. Louis, MO-IL Metro Area-Bus",2007,0,23,34241485.00000003,313237.8344042651,0.0,691512.4074561371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34241485.00000003,34241485.00000003,34241485.00000003,34241485.00000003,34241485.00000003,34241485.00000003,34241485.00000003,34241485.00000003,34241485.00000003,34241485.00000003,34241485.00000003,34241485.00000003,34241485.00000003
3377,"St. Louis, MO-IL Metro Area-Bus",2008,0,23,37446296.0,802214.1885424466,0.0,-174667.45265401417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37446296.0,37446296.0,37446296.0,37446296.0,37446296.0,37446296.0,37446296.0,37446296.0,37446296.0,37446296.0,37446296.0,37446296.0,37446296.0
3378,"St. Louis, MO-IL Metro Area-Bus",2009,0,23,30780745.999999955,-1922234.6558339123,0.0,-2481310.796625152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30780745.999999955,30780745.999999955,30780745.999999955,30780745.999999955,30780745.999999955,30780745.999999955,30780745.999999955,30780745.999999955,30780745.999999955,30780745.999999955,30780745.999999955,30780745.999999955,30780745.999999955
3379,"St. Louis, MO-IL Metro Area-Bus",2010,0,23,27197453.000000007,1096403.871892887,0.0,-408540.3103062307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27197453.000000007,27197453.000000007,27197453.000000007,27197453.000000007,27197453.000000007,27197453.000000007,27197453.000000007,27197453.000000007,27197453.000000007,27197453.000000007,27197453.000000007,27197453.000000007,27197453.000000007
3380,"St. Louis, MO-IL Metro Area-Bus",2011,0,23,30006520.999999985,776957.4677164464,0.0,700381.6884195866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30006520.999999985,30006520.999999985,30006520.999999985,30006520.999999985,30006520.999999985,30006520.999999985,30006520.999999985,30006520.999999985,30006520.999999985,30006520.999999985,30006520.999999985,30006520.999999985,30006520.999999985
