,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,New_Reporter_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,Others_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,Others_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_Others_FAC_cumsum
3453,"Tallahassee, FL Metro Area-Bus",2003,0,31,4.434404999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4434404.999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.434404999999997,4.434404999999997,4.434404999999997,4.434404999999997,4.434404999999997,4.434404999999997,4.434404999999997,4.434404999999997,4.434404999999997,4.434404999999997,4.434404999999997,4.434404999999997,4.434404999999997
3454,"Tallahassee, FL Metro Area-Bus",2004,0,31,4.459370999999999,-10273.153480979674,0.0,33368.53422370389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128221.50835610717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.459370999999999,4.459370999999999,4.459370999999999,4.459370999999999,4.459370999999999,4.459370999999999,4.459370999999999,4.459370999999999,4.459370999999999,4.459370999999999,4.459370999999999,4.459370999999999,4.459370999999999
3455,"Tallahassee, FL Metro Area-Bus",2005,0,31,4.612725000000004,30404.023119178582,0.0,113625.73247297222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73656.68756940032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.612725000000004,4.612725000000004,4.612725000000004,4.612725000000004,4.612725000000004,4.612725000000004,4.612725000000004,4.612725000000004,4.612725000000004,4.612725000000004,4.612725000000004,4.612725000000004,4.612725000000004
3456,"Tallahassee, FL Metro Area-Bus",2006,0,31,4.246196999999998,251887.5497495928,0.0,12205.370240970657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-795807.9297997989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.246196999999998,4.246196999999998,4.246196999999998,4.246196999999998,4.246196999999998,4.246196999999998,4.246196999999998,4.246196999999998,4.246196999999998,4.246196999999998,4.246196999999998,4.246196999999998,4.246196999999998
3457,"Tallahassee, FL Metro Area-Bus",2007,0,31,3.875656000000001,-25265.51400012576,0.0,-173947.20297071215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-207357.68732765396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.875656000000001,3.875656000000001,3.875656000000001,3.875656000000001,3.875656000000001,3.875656000000001,3.875656000000001,3.875656000000001,3.875656000000001,3.875656000000001,3.875656000000001,3.875656000000001,3.875656000000001
3458,"Tallahassee, FL Metro Area-Bus",2008,0,31,4.289029,96489.85777728989,0.0,-82468.2938237336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340081.05986123823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.289029,4.289029,4.289029,4.289029,4.289029,4.289029,4.289029,4.289029,4.289029,4.289029,4.289029,4.289029,4.289029
3459,"Tallahassee, FL Metro Area-Bus",2009,0,31,4.225795999999996,-12178.415142417927,0.0,-19523.753245342625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79614.67877258468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.225795999999996,4.225795999999996,4.225795999999996,4.225795999999996,4.225795999999996,4.225795999999996,4.225795999999996,4.225795999999996,4.225795999999996,4.225795999999996,4.225795999999996,4.225795999999996,4.225795999999996
3460,"Tallahassee, FL Metro Area-Bus",2010,0,31,4.867267,25695.59927962848,0.0,114944.82533340204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409076.7516275041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.867267,4.867267,4.867267,4.867267,4.867267,4.867267,4.867267,4.867267,4.867267,4.867267,4.867267,4.867267,4.867267
3461,"Tallahassee, FL Metro Area-Bus",2011,0,31,4.707896000000003,-26016.876505539472,0.0,-60128.07789446019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-243124.9480437808,0.0,115179.42627311913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.707896000000003,4.707896000000003,4.707896000000003,4.707896000000003,4.707896000000003,4.707896000000003,4.707896000000003,4.707896000000003,4.707896000000003,4.707896000000003,4.707896000000003,4.707896000000003,4.707896000000003
3462,"Tallahassee, FL Metro Area-Bus",2012,0,31,4.705192000000001,88481.09880998668,0.0,62882.73202414267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-353203.3306925707,0.0,111408.05717736726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.705192000000001,4.705192000000001,4.705192000000001,4.705192000000001,4.705192000000001,4.705192000000001,4.705192000000001,4.705192000000001,4.705192000000001,4.705192000000001,4.705192000000001,4.705192000000001,4.705192000000001
3463,"Tallahassee, FL Metro Area-Bus",2013,0,31,4.325018999999999,-52675.345416737226,0.0,-186234.58501833124,0.0,-3092.1531892477133,-1422.8045833542574,-18406.52879291693,-32884.61852967924,-18806.96890930797,-28701.400677673668,0.0,0.0,0.0,0.0,0.0,0.0,-46044.2719694202,0.0,0.0,0.0,-52675.345416737226,-186234.58501833124,0.0,0.0,-46044.2719694202,-0.0030921531892477132,-0.0014228045833542574,-0.018406528792916932,-0.03288461852967924,-0.01880696890930797,-0.02870140067767367,0.0,0.0,-0.052675345416737226,-0.18623458501833123,0.0,0.0,-0.0460442719694202,4.328111153189247,4.326441804583354,4.343425528792916,4.3579036185296784,4.343825968909307,4.353720400677673,4.325018999999999,4.325018999999999,4.377694345416736,4.511253585018331,4.325018999999999,4.325018999999999,4.37106327196942
3464,"Tallahassee, FL Metro Area-Bus",2014,0,31,4.204434999999997,98809.46121110403,0.0,-20144.32660915236,0.0,6514.66023228891,972.8894202587816,-25943.642596321966,-4369.590433290712,20488.37548797701,16571.140872639928,0.0,0.0,0.0,0.0,0.0,0.0,-213135.09254617023,0.0,0.0,0.0,98809.46121110403,-20144.32660915236,0.0,0.0,-213135.09254617023,0.003422507043041197,-0.0004499151630954758,-0.04435017138923889,-0.03725420896296995,0.0016814065786690407,-0.01213025980503374,0.0,0.0,0.046134115794366805,-0.20637891162748362,0.0,0.0,-0.2591793645155904,4.201012492956956,4.204884915163092,4.248785171389235,4.241689208962967,4.202753593421328,4.21656525980503,4.204434999999997,4.204434999999997,4.15830088420563,4.41081391162748,4.204434999999997,4.204434999999997,4.463614364515587
3465,"Tallahassee, FL Metro Area-Bus",2015,0,31,3.6813690000000014,-96592.3181777051,0.0,-406027.7877518066,0.0,2611.4802352266747,794.9871928980816,-154391.31927151378,24386.016352062783,-6982.41608936877,-35223.98155913489,0.0,-139855.2551057177,0.0,0.0,0.0,0.0,237429.13523217395,0.0,0.0,0.0,-96592.3181777051,-406027.7877518066,-139855.2551057177,0.0,237429.13523217395,0.0060339872782678725,0.00034507202980260584,-0.1987414906607527,-0.012868192610907164,-0.00530100951069973,-0.04735424136416863,0.0,0.0,-0.0504582023833383,-0.6124066993792903,-0.1398552551057177,0.0,-0.02175022928341647,3.6753350127217335,3.681023927970199,3.880110490660754,3.6942371926109088,3.686670009510701,3.72872324136417,3.6813690000000014,3.6813690000000014,3.73182720238334,4.2937756993792915,3.821224255105719,3.6813690000000014,3.703119229283418
3466,"Tallahassee, FL Metro Area-Bus",2016,0,31,3.6713390000000032,39228.4803001891,0.0,16468.572801502705,0.0,7954.7447692443775,2420.9822779234246,-35777.74338615238,-28869.1819475832,-7070.401251287599,19762.149972516338,0.0,-122456.12088979415,0.0,0.0,0.0,0.0,99336.18349934496,0.0,0.0,0.0,39228.4803001891,16468.572801502705,-122456.12088979415,0.0,99336.18349934496,0.013988732047512251,0.0027660543077260304,-0.23451923404690506,-0.041737374558490366,-0.012371410761987328,-0.027592091391652293,0.0,0.0,-0.011229722083149202,-0.5959381265777876,-0.26231137599551185,0.0,0.0775859542159285,3.657350267952491,3.668572945692277,3.9058582340469084,3.7130763745584936,3.6837104107619907,3.6989310913916555,3.6713390000000032,3.6713390000000032,3.6825687220831522,4.267277126577791,3.9336503759955153,3.6713390000000032,3.5937530457840747
