,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
3566,"Tulsa, OK Metro Area-Bus",2002,0,32,2655674.9999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2655674.9999999995,2655674.9999999995,2655674.9999999995,2655674.9999999995,2655674.9999999995,2655674.9999999995,2655674.9999999995,2655674.9999999995,2655674.9999999995,2655674.9999999995,2655674.9999999995,2655674.9999999995,2655674.9999999995
3567,"Tulsa, OK Metro Area-Bus",2003,0,32,2130680.9999999995,-320707.13948285696,0.0,-32302.9784541515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2130680.9999999995,2130680.9999999995,2130680.9999999995,2130680.9999999995,2130680.9999999995,2130680.9999999995,2130680.9999999995,2130680.9999999995,2130680.9999999995,2130680.9999999995,2130680.9999999995,2130680.9999999995,2130680.9999999995
3568,"Tulsa, OK Metro Area-Bus",2004,0,32,1723243.0000000014,-9624.882830735727,0.0,-72677.19237050581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1723243.0000000014,1723243.0000000014,1723243.0000000014,1723243.0000000014,1723243.0000000014,1723243.0000000014,1723243.0000000014,1723243.0000000014,1723243.0000000014,1723243.0000000014,1723243.0000000014,1723243.0000000014,1723243.0000000014
3569,"Tulsa, OK Metro Area-Bus",2005,0,32,2037912.0000000016,71129.15279229125,0.0,90528.35641831404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2037912.0000000016,2037912.0000000016,2037912.0000000016,2037912.0000000016,2037912.0000000016,2037912.0000000016,2037912.0000000016,2037912.0000000016,2037912.0000000016,2037912.0000000016,2037912.0000000016,2037912.0000000016,2037912.0000000016
3570,"Tulsa, OK Metro Area-Bus",2006,0,32,2326531.000000001,35460.49031722576,0.0,7807.141275278149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2326531.000000001,2326531.000000001,2326531.000000001,2326531.000000001,2326531.000000001,2326531.000000001,2326531.000000001,2326531.000000001,2326531.000000001,2326531.000000001,2326531.000000001,2326531.000000001,2326531.000000001
3571,"Tulsa, OK Metro Area-Bus",2007,0,32,2431952.999999998,11665.786376867662,0.0,-5089.32315690982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2431952.999999998,2431952.999999998,2431952.999999998,2431952.999999998,2431952.999999998,2431952.999999998,2431952.999999998,2431952.999999998,2431952.999999998,2431952.999999998,2431952.999999998,2431952.999999998,2431952.999999998
3572,"Tulsa, OK Metro Area-Bus",2008,0,32,2699414.0000000023,-29694.09154222741,0.0,71009.56090070851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2699414.0000000023,2699414.0000000023,2699414.0000000023,2699414.0000000023,2699414.0000000023,2699414.0000000023,2699414.0000000023,2699414.0000000023,2699414.0000000023,2699414.0000000023,2699414.0000000023,2699414.0000000023,2699414.0000000023
3573,"Tulsa, OK Metro Area-Bus",2009,0,32,2630420.9999999986,84089.57122398562,0.0,-56607.35921632459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2630420.9999999986,2630420.9999999986,2630420.9999999986,2630420.9999999986,2630420.9999999986,2630420.9999999986,2630420.9999999986,2630420.9999999986,2630420.9999999986,2630420.9999999986,2630420.9999999986,2630420.9999999986,2630420.9999999986
3574,"Tulsa, OK Metro Area-Bus",2010,0,32,2473815.0000000014,-85158.6258810942,0.0,-3678.586774482485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2473815.0000000014,2473815.0000000014,2473815.0000000014,2473815.0000000014,2473815.0000000014,2473815.0000000014,2473815.0000000014,2473815.0000000014,2473815.0000000014,2473815.0000000014,2473815.0000000014,2473815.0000000014,2473815.0000000014
3575,"Tulsa, OK Metro Area-Bus",2011,0,32,2594403.000000002,-45120.80182134723,0.0,50676.1295562758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2594403.000000002,2594403.000000002,2594403.000000002,2594403.000000002,2594403.000000002,2594403.000000002,2594403.000000002,2594403.000000002,2594403.000000002,2594403.000000002,2594403.000000002,2594403.000000002,2594403.000000002
3576,"Tulsa, OK Metro Area-Bus",2012,0,32,2921254.9999999995,39125.9236041275,0.0,18005.69150775181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2921254.9999999995,2921254.9999999995,2921254.9999999995,2921254.9999999995,2921254.9999999995,2921254.9999999995,2921254.9999999995,2921254.9999999995,2921254.9999999995,2921254.9999999995,2921254.9999999995,2921254.9999999995,2921254.9999999995
3577,"Tulsa, OK Metro Area-Bus",2013,0,32,3067146.0000000005,88259.50686685232,0.0,-82411.37089320234,0.0,4554.457087391541,-1810.423668464174,-11444.689199135391,164.28020346443938,1521.3766401349103,-6695.088115686387,0.0,0.0,0.0,0.0,0.0,0.0,156260.98758808317,88259.50686685232,-82411.37089320234,0.0,0.0,4554.457087391541,-1810.423668464174,-11444.689199135391,164.28020346443938,1521.3766401349103,-6695.088115686387,0.0,0.0,156260.98758808317,88259.50686685232,-82411.37089320234,0.0,0.0,3062591.542912609,3068956.4236684646,3078590.6891991356,3066981.719796536,3065624.6233598655,3073841.088115687,3067146.0000000005,3067146.0000000005,2910885.012411917,2978886.493133148,3149557.3708932027,3067146.0000000005,3067146.0000000005
3578,"Tulsa, OK Metro Area-Bus",2014,0,32,3085118.9999999986,2461.1423218758705,0.0,-25215.602197421274,0.0,5521.06157098966,-5078.815475874105,-22462.26827390828,-7671.575277231167,798.5740528301026,-4688.091141353692,0.0,0.0,0.0,0.0,0.0,0.0,74000.87826826554,2461.1423218758705,-25215.602197421274,0.0,0.0,10075.518658381201,-6889.2391443382785,-33906.95747304367,-7507.295073766728,2319.950692965013,-11383.17925704008,0.0,0.0,230261.8658563487,90720.64918872819,-107626.97309062362,0.0,0.0,3075043.481341617,3092008.239144337,3119025.9574730424,3092626.2950737653,3082799.0493070334,3096502.1792570385,3085118.9999999986,3085118.9999999986,2854857.13414365,2994398.3508112705,3192745.973090622,3085118.9999999986,3085118.9999999986
3579,"Tulsa, OK Metro Area-Bus",2015,0,32,2959327.9999999986,23715.925802978574,0.0,-69774.71310701773,0.0,9364.744771268122,-492.375014944554,-109637.67187486144,-1909.08982371916,-617.7450850191644,-2358.6829626932927,0.0,-102622.61273547976,0.0,0.0,-33260.11291684506,0.0,153199.92783784715,23715.925802978574,-69774.71310701773,-102622.61273547976,0.0,19440.263429649323,-7381.614159282833,-143544.6293479051,-9416.384897485888,1702.2056079458484,-13741.862219733372,-33260.11291684506,0.0,383461.79369419586,114436.57499170676,-177401.68619764136,-102622.61273547976,0.0,2939887.7365703494,2966709.6141592814,3102872.6293479037,2968744.3848974844,2957625.7943920526,2973069.862219732,2992588.1129168435,2959327.9999999986,2575866.206305803,2844891.425008292,3136729.68619764,3061950.612735478,2959327.9999999986
3580,"Tulsa, OK Metro Area-Bus",2016,0,32,2822338.0,2243.1447989926955,0.0,-6158.912027160998,0.0,2367.600314005781,-6007.035816312044,-35545.200302519384,-2573.7617800628477,-2547.155452874436,-9039.671783955291,0.0,-98438.33294639912,0.0,0.0,0.0,0.0,16505.386893721443,2243.1447989926955,-6158.912027160998,-98438.33294639912,0.0,21807.863743655103,-13388.649975594875,-179089.82965042448,-11990.146677548735,-844.9498449285875,-22781.534003688663,-33260.11291684506,0.0,399967.18058791733,116679.71979069946,-183560.59822480235,-201060.9456818789,0.0,2800530.136256345,2835726.649975595,3001427.8296504244,2834328.1466775485,2823182.9498449285,2845119.5340036885,2855598.112916845,2822338.0,2422370.8194120824,2705658.2802093006,3005898.5982248024,3023398.945681879,2822338.0
