,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
3623,"Visalia-Porterville, CA Metro Area-Bus",2004,0,31,1165703.000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165703.000000001,1165703.000000001,1165703.000000001,1165703.000000001,1165703.000000001,1165703.000000001,1165703.000000001,1165703.000000001,1165703.000000001,1165703.000000001,1165703.000000001,1165703.000000001,1165703.000000001
3624,"Visalia-Porterville, CA Metro Area-Bus",2005,0,31,1380877.0000000007,80576.19214856424,0.0,21430.690015816435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380877.0000000007,1380877.0000000007,1380877.0000000007,1380877.0000000007,1380877.0000000007,1380877.0000000007,1380877.0000000007,1380877.0000000007,1380877.0000000007,1380877.0000000007,1380877.0000000007,1380877.0000000007,1380877.0000000007
3625,"Visalia-Porterville, CA Metro Area-Bus",2006,0,31,1406594.000000001,-24878.554680798763,0.0,-7413.496446263282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1406594.000000001,1406594.000000001,1406594.000000001,1406594.000000001,1406594.000000001,1406594.000000001,1406594.000000001,1406594.000000001,1406594.000000001,1406594.000000001,1406594.000000001,1406594.000000001,1406594.000000001
3626,"Visalia-Porterville, CA Metro Area-Bus",2007,0,31,1415831.9999999998,11545.79354324505,0.0,-52045.92223279158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1415831.9999999998,1415831.9999999998,1415831.9999999998,1415831.9999999998,1415831.9999999998,1415831.9999999998,1415831.9999999998,1415831.9999999998,1415831.9999999998,1415831.9999999998,1415831.9999999998,1415831.9999999998,1415831.9999999998
3627,"Visalia-Porterville, CA Metro Area-Bus",2008,0,31,1552641.0000000012,124037.53463963469,0.0,-11045.84888832436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1552641.0000000012,1552641.0000000012,1552641.0000000012,1552641.0000000012,1552641.0000000012,1552641.0000000012,1552641.0000000012,1552641.0000000012,1552641.0000000012,1552641.0000000012,1552641.0000000012,1552641.0000000012,1552641.0000000012
3628,"Visalia-Porterville, CA Metro Area-Bus",2009,0,31,1494150.9999999993,108574.00247132906,0.0,-34581.48365148618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1494150.9999999993,1494150.9999999993,1494150.9999999993,1494150.9999999993,1494150.9999999993,1494150.9999999993,1494150.9999999993,1494150.9999999993,1494150.9999999993,1494150.9999999993,1494150.9999999993,1494150.9999999993,1494150.9999999993
3629,"Visalia-Porterville, CA Metro Area-Bus",2010,0,31,1528325.9999999995,50013.36540353774,0.0,-13393.461778703844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1528325.9999999995,1528325.9999999995,1528325.9999999995,1528325.9999999995,1528325.9999999995,1528325.9999999995,1528325.9999999995,1528325.9999999995,1528325.9999999995,1528325.9999999995,1528325.9999999995,1528325.9999999995,1528325.9999999995
3630,"Visalia-Porterville, CA Metro Area-Bus",2011,0,31,1712464.9999999995,22383.394019384286,0.0,40742.009544374574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1712464.9999999995,1712464.9999999995,1712464.9999999995,1712464.9999999995,1712464.9999999995,1712464.9999999995,1712464.9999999995,1712464.9999999995,1712464.9999999995,1712464.9999999995,1712464.9999999995,1712464.9999999995,1712464.9999999995
3631,"Visalia-Porterville, CA Metro Area-Bus",2012,0,31,1785495.9999999998,-21382.46648052645,0.0,-48814.57418914519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1785495.9999999998,1785495.9999999998,1785495.9999999998,1785495.9999999998,1785495.9999999998,1785495.9999999998,1785495.9999999998,1785495.9999999998,1785495.9999999998,1785495.9999999998,1785495.9999999998,1785495.9999999998,1785495.9999999998
3632,"Visalia-Porterville, CA Metro Area-Bus",2013,0,31,1781853.0000000012,63536.59332770834,0.0,-24524.16704511833,0.0,3480.138477470832,441.97677917747467,-10355.393112917482,5750.860142847613,2397.209144013416,17841.311900730405,0.0,0.0,0.0,0.0,0.0,0.0,-61729.0787942212,63536.59332770834,-24524.16704511833,0.0,0.0,3480.138477470832,441.97677917747467,-10355.393112917482,5750.860142847613,2397.209144013416,17841.311900730405,0.0,0.0,-61729.0787942212,63536.59332770834,-24524.16704511833,0.0,0.0,1778372.8615225304,1781411.0232208236,1792208.3931129186,1776102.1398571536,1779455.7908559877,1764011.6880992707,1781853.0000000012,1781853.0000000012,1843582.0787942223,1718316.4066722929,1806377.1670451195,1781853.0000000012,1781853.0000000012
3633,"Visalia-Porterville, CA Metro Area-Bus",2014,0,31,1705349.999999999,-2514.1289941133405,0.0,-66811.65698559681,0.0,2740.0868703398714,1073.2502240302738,-10311.494161219727,-10692.951666636956,-1640.6296376631751,-20325.34980338172,0.0,0.0,0.0,0.0,0.0,0.0,30125.022951805862,-2514.1289941133405,-66811.65698559681,0.0,0.0,6220.225347810703,1515.2270032077486,-20666.88727413721,-4942.091523789343,756.5795063502408,-2484.0379026513147,0.0,0.0,-31604.055842415335,61022.464333594995,-91335.82403071514,0.0,0.0,1699129.7746521884,1703834.7729967914,1726016.8872741363,1710292.0915237884,1704593.4204936489,1707834.0379026504,1705349.999999999,1705349.999999999,1736954.0558424145,1644327.535666404,1796685.824030714,1705349.999999999,1705349.999999999
3634,"Visalia-Porterville, CA Metro Area-Bus",2015,0,31,1623953.0000000002,-11965.674658376882,0.0,-56157.49719717772,0.0,5670.128086318654,552.351303342014,-38185.54138467867,-202.4862607115897,1298.2048764316955,7843.779163953523,0.0,0.0,0.0,0.0,0.0,0.0,8730.424326941516,-11965.674658376882,-56157.49719717772,0.0,0.0,11890.353434129356,2067.5783065497626,-58852.42865881588,-5144.5777845009325,2054.784382781936,5359.741261302208,0.0,0.0,-22873.63151547382,49056.78967521811,-147493.32122789285,0.0,0.0,1612062.6465658708,1621885.4216934505,1682805.428658816,1629097.5777845012,1621898.2156172183,1618593.258738698,1623953.0000000002,1623953.0000000002,1646826.631515474,1574896.2103247822,1771446.321227893,1623953.0000000002,1623953.0000000002
3635,"Visalia-Porterville, CA Metro Area-Bus",2016,0,31,1484306.0000000007,105973.35808900074,0.0,44587.644254644925,0.0,634.5273467733226,2072.461628776677,-24834.87449064494,-10125.37763288388,-260.1414267378445,-4960.586360339089,0.0,0.0,0.0,0.0,0.0,0.0,-252323.1035790082,105973.35808900074,44587.644254644925,0.0,0.0,12524.880780902678,4140.03993532644,-83687.30314946081,-15269.955417384812,1794.6429560440915,399.15490096311896,0.0,0.0,-275196.735094482,155030.14776421885,-102905.67697324793,0.0,0.0,1471781.119219098,1480165.9600646743,1567993.3031494615,1499575.9554173856,1482511.3570439566,1483906.8450990375,1484306.0000000007,1484306.0000000007,1759502.7350944828,1329275.852235782,1587211.6769732486,1484306.0000000007,1484306.0000000007
3636,"Visalia-Porterville, CA Metro Area-Bus",2017,0,31,1434296.0000000012,42289.11001129404,0.0,-42449.547293954405,0.0,3479.702241218258,606.3551914270113,12426.15509047246,3935.5865406436255,-4451.880096993657,-19174.134888965105,0.0,-49373.5767790316,0.0,0.0,0.0,0.0,3940.02857314777,42289.11001129404,-42449.547293954405,-49373.5767790316,0.0,16004.583022120936,4746.395126753451,-71261.14805898836,-11334.368876741186,-2657.237140949566,-18774.979988001985,0.0,0.0,-271256.70652133424,197319.2577755129,-145355.22426720234,-49373.5767790316,0.0,1418291.4169778803,1429549.6048732477,1505557.1480589896,1445630.3688767424,1436953.2371409507,1453070.9799880031,1434296.0000000012,1434296.0000000012,1705552.7065213355,1236976.7422244882,1579651.2242672036,1483669.5767790328,1434296.0000000012
3637,"Visalia-Porterville, CA Metro Area-Bus",2018,0,31,1360151.9999999995,-12244.065329879124,0.0,3630.0514314736806,0.0,3372.839491489222,-980.9786802844563,19262.6848354341,282.1058279699493,-3213.29601839714,-15004.571671178994,0.0,-47710.05687496912,0.0,0.0,0.0,0.0,-21447.24683649605,-12244.065329879124,3630.0514314736806,-47710.05687496912,0.0,19377.42251361016,3765.4164464689948,-51998.46322355426,-11052.263048771236,-5870.533159346705,-33779.55165918098,0.0,0.0,-292703.9533578303,185075.1924456338,-141725.17283572865,-97083.63365400073,0.0,1340774.5774863893,1356386.5835535305,1412150.4632235537,1371204.2630487708,1366022.5331593463,1393931.5516591805,1360151.9999999995,1360151.9999999995,1652855.9533578297,1175076.8075543658,1501877.1728357282,1457235.6336540002,1360151.9999999995
