,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum
3651,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2004,0,10,179225222.99999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179225222.99999985,179225222.99999985,179225222.99999985,179225222.99999985,179225222.99999985,179225222.99999985,179225222.99999985,179225222.99999985,179225222.99999985,179225222.99999985,179225222.99999985,179225222.99999985,179225222.99999985
3652,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2005,0,10,170976461.99999982,-9214251.933321023,0.0,-4047229.036599994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170976461.99999982,170976461.99999982,170976461.99999982,170976461.99999982,170976461.99999982,170976461.99999982,170976461.99999982,170976461.99999982,170976461.99999982,170976461.99999982,170976461.99999982,170976461.99999982,170976461.99999982
3653,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2006,0,10,180195547.00000015,329506.76944410027,0.0,361477.2651156966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180195547.00000015,180195547.00000015,180195547.00000015,180195547.00000015,180195547.00000015,180195547.00000015,180195547.00000015,180195547.00000015,180195547.00000015,180195547.00000015,180195547.00000015,180195547.00000015,180195547.00000015
3654,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2007,0,10,181069473.0000001,5714786.321468222,0.0,835981.0560117192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181069473.0000001,181069473.0000001,181069473.0000001,181069473.0000001,181069473.0000001,181069473.0000001,181069473.0000001,181069473.0000001,181069473.0000001,181069473.0000001,181069473.0000001,181069473.0000001,181069473.0000001
3655,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2008,0,10,187509192.00000012,1502572.1796065003,0.0,2677637.576501549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187509192.00000012,187509192.00000012,187509192.00000012,187509192.00000012,187509192.00000012,187509192.00000012,187509192.00000012,187509192.00000012,187509192.00000012,187509192.00000012,187509192.00000012,187509192.00000012,187509192.00000012
3656,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2009,0,10,180238635.9999997,-595683.4656998622,0.0,-5198133.370931029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180238635.9999997,180238635.9999997,180238635.9999997,180238635.9999997,180238635.9999997,180238635.9999997,180238635.9999997,180238635.9999997,180238635.9999997,180238635.9999997,180238635.9999997,180238635.9999997,180238635.9999997
3657,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2010,0,10,172451014.00000012,-278329.9991673247,0.0,-350025.7169677185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172451014.00000012,172451014.00000012,172451014.00000012,172451014.00000012,172451014.00000012,172451014.00000012,172451014.00000012,172451014.00000012,172451014.00000012,172451014.00000012,172451014.00000012,172451014.00000012,172451014.00000012
3658,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2011,0,10,182906563.00000036,1987600.688783598,0.0,-6687868.472181351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182906563.00000036,182906563.00000036,182906563.00000036,182906563.00000036,182906563.00000036,182906563.00000036,182906563.00000036,182906563.00000036,182906563.00000036,182906563.00000036,182906563.00000036,182906563.00000036,182906563.00000036
3659,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2012,0,10,186302247.99999973,1056376.4715643104,0.0,623839.0021245228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3515197.618232542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186302247.99999973,186302247.99999973,186302247.99999973,186302247.99999973,186302247.99999973,186302247.99999973,186302247.99999973,186302247.99999973,186302247.99999973,186302247.99999973,186302247.99999973,186302247.99999973,186302247.99999973
3660,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2013,0,10,188437363.99999985,2412208.6772324056,0.0,-2526284.963030208,0.0,801807.1280960573,-41639.34424137783,-728807.1755620484,47451.43806423441,-134259.46836740698,0.0,-3580457.7359040217,0.0,0.0,0.0,0.0,0.0,5917013.507780587,2412208.6772324056,-2526284.963030208,-3580457.7359040217,0.0,801807.1280960573,-41639.34424137783,-728807.1755620484,47451.43806423441,-134259.46836740698,0.0,0.0,0.0,5917013.507780587,2412208.6772324056,-2526284.963030208,-3580457.7359040217,0.0,187635556.8719038,188479003.34424123,189166171.1755619,188389912.5619356,188571623.46836725,188437363.99999985,188437363.99999985,188437363.99999985,182520350.49221927,186025155.32276744,190963648.96303007,192017821.73590386,188437363.99999985
