,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
3666,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Rail",2002,1,10,247.16243200000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.16243200000028,247.16243200000028,247.16243200000028,247.16243200000028,247.16243200000028,247.16243200000028,247.16243200000028,247.16243200000028,247.16243200000028,247.16243200000028,247.16243200000028,247.16243200000028
3667,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Rail",2003,1,10,249.64802199999974,0.0,29310675.19078619,0.0,-260496.42386051576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.64802199999974,249.64802199999974,249.64802199999974,249.64802199999974,249.64802199999974,249.64802199999974,249.64802199999974,249.64802199999974,249.64802199999974,249.64802199999974,249.64802199999974,249.64802199999974
3668,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Rail",2004,1,10,254.0137990000002,0.0,6641045.897653749,0.0,-2722781.322734025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0137990000002,254.0137990000002,254.0137990000002,254.0137990000002,254.0137990000002,254.0137990000002,254.0137990000002,254.0137990000002,254.0137990000002,254.0137990000002,254.0137990000002,254.0137990000002
3669,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Rail",2005,1,10,267.82226699999967,0.0,6754392.713329108,0.0,-3564468.399885076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.82226699999967,267.82226699999967,267.82226699999967,267.82226699999967,267.82226699999967,267.82226699999967,267.82226699999967,267.82226699999967,267.82226699999967,267.82226699999967,267.82226699999967,267.82226699999967
3670,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Rail",2006,1,10,275.7956000000003,0.0,-1030537.8249860584,0.0,-86476.84678995507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.7956000000003,275.7956000000003,275.7956000000003,275.7956000000003,275.7956000000003,275.7956000000003,275.7956000000003,275.7956000000003,275.7956000000003,275.7956000000003,275.7956000000003,275.7956000000003
3671,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Rail",2007,1,10,284.24506100000025,0.0,38683903.22222711,0.0,2939160.587692849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.24506100000025,284.24506100000025,284.24506100000025,284.24506100000025,284.24506100000025,284.24506100000025,284.24506100000025,284.24506100000025,284.24506100000025,284.24506100000025,284.24506100000025,284.24506100000025
3672,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Rail",2008,1,10,294.7386280000004,0.0,10843076.514791878,0.0,-3361454.3330616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.7386280000004,294.7386280000004,294.7386280000004,294.7386280000004,294.7386280000004,294.7386280000004,294.7386280000004,294.7386280000004,294.7386280000004,294.7386280000004,294.7386280000004,294.7386280000004
3673,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Rail",2009,1,10,296.7339819999995,0.0,918890.5827015575,0.0,-6467298.328531622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.7339819999995,296.7339819999995,296.7339819999995,296.7339819999995,296.7339819999995,296.7339819999995,296.7339819999995,296.7339819999995,296.7339819999995,296.7339819999995,296.7339819999995,296.7339819999995
3674,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Rail",2010,1,10,290.7338679999999,0.0,-18495968.151210327,0.0,1658056.4853944252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.7338679999999,290.7338679999999,290.7338679999999,290.7338679999999,290.7338679999999,290.7338679999999,290.7338679999999,290.7338679999999,290.7338679999999,290.7338679999999,290.7338679999999,290.7338679999999
3675,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Rail",2011,1,10,291.7797819999997,0.0,4809297.721116353,0.0,-8388393.071946732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.7797819999997,291.7797819999997,291.7797819999997,291.7797819999997,291.7797819999997,291.7797819999997,291.7797819999997,291.7797819999997,291.7797819999997,291.7797819999997,291.7797819999997,291.7797819999997
3676,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Rail",2012,1,10,283.21268400000025,0.0,16197804.843500078,0.0,-207017.17140859104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636226.7887285353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.21268400000025,283.21268400000025,283.21268400000025,283.21268400000025,283.21268400000025,283.21268400000025,283.21268400000025,283.21268400000025,283.21268400000025,283.21268400000025,283.21268400000025,283.21268400000025
3677,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Rail",2013,1,10,277.398651,0.0,3668354.003409025,0.0,-4797181.014989064,1218890.0093058285,-63299.23857172452,-1107917.0462258053,72134.65901834756,-204098.3659453563,0.0,0.0,0.0,617546.2029391391,0.0,0.0,0.0,-5149046.479333332,3668354.003409025,-4797181.014989064,617546.2029391391,1.2188900093058286,-0.06329923857172452,-1.1079170462258052,0.07213465901834756,-0.2040983659453563,0.0,0.0,0.0,-5.1490464793333315,3.668354003409025,-4.797181014989064,0.6175462029391391,276.17976099069415,277.4619502385717,278.50656804622577,277.32651634098164,277.60274936594533,277.398651,277.398651,277.398651,282.5476974793333,273.73029699659094,282.19583201498904,276.78110479706083
