,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,MAINTENANCE_WMATA_FAC,RESTRUCTURE_FAC,New_Reporter_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,Others_FAC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,Others_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_Others_FAC_cumsum
3770,"York-Hanover, PA Metro Area-Bus",2005,0,32,1.053969999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053969.999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.053969999999999,1.053969999999999,1.053969999999999,1.053969999999999,1.053969999999999,1.053969999999999,1.053969999999999,1.053969999999999,1.053969999999999,1.053969999999999,1.053969999999999,1.053969999999999,1.053969999999999
3771,"York-Hanover, PA Metro Area-Bus",2006,0,32,1.7180059999999993,263000.6911784244,0.0,184833.6809911694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152414.65305375197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7180059999999993,1.7180059999999993,1.7180059999999993,1.7180059999999993,1.7180059999999993,1.7180059999999993,1.7180059999999993,1.7180059999999993,1.7180059999999993,1.7180059999999993,1.7180059999999993,1.7180059999999993,1.7180059999999993
3772,"York-Hanover, PA Metro Area-Bus",2007,0,32,1.865383,76456.10439174682,0.0,-160749.6319183425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245024.3272921134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.865383,1.865383,1.865383,1.865383,1.865383,1.865383,1.865383,1.865383,1.865383,1.865383,1.865383,1.865383,1.865383
3773,"York-Hanover, PA Metro Area-Bus",2008,0,32,1.3948120000000006,-96625.98388655762,0.0,61662.79123069416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-484516.985953607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3948120000000006,1.3948120000000006,1.3948120000000006,1.3948120000000006,1.3948120000000006,1.3948120000000006,1.3948120000000006,1.3948120000000006,1.3948120000000006,1.3948120000000006,1.3948120000000006,1.3948120000000006,1.3948120000000006
3774,"York-Hanover, PA Metro Area-Bus",2009,0,32,1.3267769999999988,54498.37213217243,0.0,82932.56708581782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-135405.0015272696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3267769999999988,1.3267769999999988,1.3267769999999988,1.3267769999999988,1.3267769999999988,1.3267769999999988,1.3267769999999988,1.3267769999999988,1.3267769999999988,1.3267769999999988,1.3267769999999988,1.3267769999999988,1.3267769999999988
3775,"York-Hanover, PA Metro Area-Bus",2010,0,32,1.441707999999999,25246.041607482744,0.0,38374.76017261126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17198.130478667867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.441707999999999,1.441707999999999,1.441707999999999,1.441707999999999,1.441707999999999,1.441707999999999,1.441707999999999,1.441707999999999,1.441707999999999,1.441707999999999,1.441707999999999,1.441707999999999,1.441707999999999
3776,"York-Hanover, PA Metro Area-Bus",2011,0,32,1.582223,42407.28425915,0.0,6894.8759410104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54734.240836591736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.582223,1.582223,1.582223,1.582223,1.582223,1.582223,1.582223,1.582223,1.582223,1.582223,1.582223,1.582223,1.582223
3777,"York-Hanover, PA Metro Area-Bus",2012,0,32,1.8120770000000006,121906.92968288464,0.0,-3324.0981673955957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112719.65073311469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8120770000000006,1.8120770000000006,1.8120770000000006,1.8120770000000006,1.8120770000000006,1.8120770000000006,1.8120770000000006,1.8120770000000006,1.8120770000000006,1.8120770000000006,1.8120770000000006,1.8120770000000006,1.8120770000000006
3778,"York-Hanover, PA Metro Area-Bus",2013,0,32,1.7426459999999988,-47841.24872528052,0.0,6576.910391489381,0.0,1042.1686544922366,382.2636483687638,-8627.535880957927,4070.912880619394,-689.3320847867607,-5535.236826487085,0.0,0.0,0.0,0.0,0.0,0.0,-18840.606327350197,0.0,0.0,0.0,-47841.24872528052,6576.910391489381,0.0,0.0,-18840.606327350197,0.0010421686544922364,0.0003822636483687638,-0.008627535880957927,0.004070912880619394,-0.0006893320847867607,-0.005535236826487084,0.0,0.0,-0.04784124872528052,0.006576910391489381,0.0,0.0,-0.0188406063273502,1.7416038313455067,1.74226373635163,1.7512735358809568,1.7385750871193795,1.7433353320847855,1.748181236826486,1.7426459999999988,1.7426459999999988,1.7904872487252794,1.7360690896085094,1.7426459999999988,1.7426459999999988,1.761486606327349
3779,"York-Hanover, PA Metro Area-Bus",2014,0,32,1.646422999999999,-54442.3517232307,0.0,-2331.5481052415357,0.0,2046.5529027808536,2821.3591940695137,-9745.34015644682,-4232.503578306113,1221.8285956460256,4003.063542071807,0.0,0.0,0.0,0.0,0.0,0.0,-35727.884478659354,0.0,0.0,0.0,-54442.3517232307,-2331.5481052415357,0.0,0.0,-35727.884478659354,0.00308872155727309,0.0032036228424382777,-0.01837287603740475,-0.00016159069768671906,0.000532496510859265,-0.0015321732844152775,0.0,0.0,-0.10228360044851122,0.004245362286247846,0.0,0.0,-0.05456849080600955,1.643334278442726,1.6432193771575607,1.6647958760374038,1.6465845906976857,1.6458905034891398,1.6479551732844144,1.646422999999999,1.646422999999999,1.7487066004485103,1.6421776377137511,1.646422999999999,1.646422999999999,1.7009914908060086
