,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
133,"Ann Arbor, MI Metro Area-Bus",2002,0,23,7.5314200000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5314200000000024,7.5314200000000024,7.5314200000000024,7.5314200000000024,7.5314200000000024,7.5314200000000024
134,"Ann Arbor, MI Metro Area-Bus",2003,0,23,7.608958000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.608958000000004,7.608958000000004,7.608958000000004,7.608958000000004,7.608958000000004,7.608958000000004
135,"Ann Arbor, MI Metro Area-Bus",2004,0,23,8.369267000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.369267000000004,8.369267000000004,8.369267000000004,8.369267000000004,8.369267000000004,8.369267000000004
136,"Ann Arbor, MI Metro Area-Bus",2005,0,23,9.216742000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.216742000000004,9.216742000000004,9.216742000000004,9.216742000000004,9.216742000000004,9.216742000000004
137,"Ann Arbor, MI Metro Area-Bus",2006,0,23,9.85503699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.85503699999999,9.85503699999999,9.85503699999999,9.85503699999999,9.85503699999999,9.85503699999999
138,"Ann Arbor, MI Metro Area-Bus",2007,0,23,10.032620000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.032620000000005,10.032620000000005,10.032620000000005,10.032620000000005,10.032620000000005,10.032620000000005
139,"Ann Arbor, MI Metro Area-Bus",2008,0,23,10.570067999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.570067999999992,10.570067999999992,10.570067999999992,10.570067999999992,10.570067999999992,10.570067999999992
140,"Ann Arbor, MI Metro Area-Bus",2009,0,23,10.683338999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.683338999999995,10.683338999999995,10.683338999999995,10.683338999999995,10.683338999999995,10.683338999999995
141,"Ann Arbor, MI Metro Area-Bus",2010,0,23,10.683729999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.683729999999988,10.683729999999988,10.683729999999988,10.683729999999988,10.683729999999988,10.683729999999988
142,"Ann Arbor, MI Metro Area-Bus",2011,0,23,11.480953999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.480953999999992,11.480953999999992,11.480953999999992,11.480953999999992,11.480953999999992,11.480953999999992
143,"Ann Arbor, MI Metro Area-Bus",2012,0,23,12.234587999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.234587999999983,12.234587999999983,12.234587999999983,12.234587999999983,12.234587999999983,12.234587999999983
144,"Ann Arbor, MI Metro Area-Bus",2013,0,23,12.203990000000001,264990.273711772,28026.802275176466,-73594.98176690364,-96889.94423824847,-47931.81599671078,0.0,0.264990273711772,0.028026802275176465,-0.07359498176690364,-0.09688994423824847,-0.04793181599671078,0.0,11.938999726288229,12.175963197724824,12.277584981766905,12.300879944238249,12.251921815996711,12.203990000000001
145,"Ann Arbor, MI Metro Area-Bus",2014,0,23,12.192610000000002,200534.5478210951,37172.25882236685,-28798.37718962557,16955.9665863537,-89376.01841976024,0.0,0.4655248215328671,0.06519906109754331,-0.1023933589565292,-0.07993397765189476,-0.13730783441647101,0.0,11.727085178467135,12.12741093890246,12.295003358956532,12.272543977651896,12.329917834416474,12.192610000000002
146,"Ann Arbor, MI Metro Area-Bus",2015,0,23,11.810742000000008,64954.10896474422,26385.10839313384,719257.8699744317,-23556.51310191376,-433295.8872828423,-537018.2088975476,0.5304789304976113,0.09158416949067716,0.6168645110179025,-0.10349049075380852,-0.5706037216993133,-0.5370182088975476,11.280263069502396,11.719157830509332,11.193877488982105,11.914232490753816,12.381345721699322,12.347760208897556
147,"Ann Arbor, MI Metro Area-Bus",2016,0,23,11.975700999999988,631423.9046871433,42911.17593473113,-47231.54536582856,-16579.455220724052,-141861.66255020697,-392869.5140721208,1.1619028351847547,0.13449534542540828,0.569632965652074,-0.12006994597453258,-0.7124653842495202,-0.9298877229696684,10.813798164815234,11.84120565457458,11.406068034347914,12.095770945974522,12.68816638424951,12.905588722969657
148,"Ann Arbor, MI Metro Area-Bus",2017,0,23,12.63676400000001,240143.9566883731,24412.22282642077,1398.0015084806814,29289.198935296023,103081.5747736262,-398356.66823837167,1.4020467918731276,0.15890756825182903,0.5710309671605546,-0.09078074703923655,-0.6093838094758941,-1.3282443912080402,11.234717208126883,12.477856431748181,12.065733032839455,12.727544747039246,13.246147809475904,13.96500839120805
