,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
534,"Brownsville-Harlingen, TX Metro Area-Bus",2005,0,32,1.2202019999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2202019999999993,1.2202019999999993,1.2202019999999993,1.2202019999999993,1.2202019999999993,1.2202019999999993
535,"Brownsville-Harlingen, TX Metro Area-Bus",2006,0,32,1.8434290000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8434290000000007,1.8434290000000007,1.8434290000000007,1.8434290000000007,1.8434290000000007,1.8434290000000007
536,"Brownsville-Harlingen, TX Metro Area-Bus",2007,0,32,1.7126099999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7126099999999989,1.7126099999999989,1.7126099999999989,1.7126099999999989,1.7126099999999989,1.7126099999999989
537,"Brownsville-Harlingen, TX Metro Area-Bus",2008,0,32,1.5869559999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5869559999999996,1.5869559999999996,1.5869559999999996,1.5869559999999996,1.5869559999999996,1.5869559999999996
538,"Brownsville-Harlingen, TX Metro Area-Bus",2009,0,32,1.5752849999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5752849999999996,1.5752849999999996,1.5752849999999996,1.5752849999999996,1.5752849999999996,1.5752849999999996
539,"Brownsville-Harlingen, TX Metro Area-Bus",2010,0,32,1.4502509999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4502509999999988,1.4502509999999988,1.4502509999999988,1.4502509999999988,1.4502509999999988,1.4502509999999988
540,"Brownsville-Harlingen, TX Metro Area-Bus",2011,0,32,1.7339649999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7339649999999998,1.7339649999999998,1.7339649999999998,1.7339649999999998,1.7339649999999998,1.7339649999999998
541,"Brownsville-Harlingen, TX Metro Area-Bus",2012,0,32,1.8240490000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8240490000000007,1.8240490000000007,1.8240490000000007,1.8240490000000007,1.8240490000000007,1.8240490000000007
542,"Brownsville-Harlingen, TX Metro Area-Bus",2013,0,32,1.7227719999999995,73293.97234757752,2097.338548282535,-29524.186649820957,-9084.09775047247,-9087.664269317793,0.0,0.07329397234757752,0.002097338548282535,-0.029524186649820955,-0.00908409775047247,-0.009087664269317793,0.0,1.649478027652422,1.720674661451717,1.7522961866498206,1.731856097750472,1.7318596642693174,1.7227719999999995
543,"Brownsville-Harlingen, TX Metro Area-Bus",2014,0,32,1.6993659999999993,415195.24255272193,3418.6669014984136,10509.031615743412,-1886.6852908513183,-12310.841435865748,0.0,0.48848921490029945,0.005516005449780949,-0.01901515503407754,-0.01097078304132379,-0.021398505705183538,0.0,1.2108767850996998,1.6938499945502183,1.7183811550340768,1.710336783041323,1.7207645057051828,1.6993659999999993
544,"Brownsville-Harlingen, TX Metro Area-Bus",2015,0,32,1.499882,1852.1527225504256,393.40869259863535,-17476.912091894676,3411.4987198799295,-63402.69510747594,0.0,0.49034136762284986,0.005909414142379585,-0.036492067125972215,-0.00755928432144386,-0.08480120081265949,0.0,1.00954063237715,1.4939725858576203,1.5363740671259722,1.5074412843214438,1.5846832008126595,1.499882
545,"Brownsville-Harlingen, TX Metro Area-Bus",2016,0,32,1.4950480000000013,-28996.758629300497,1402.5190350288938,-32326.968958802085,-9149.42967074674,-16643.753388606878,0.0,0.46134460899354934,0.007311933177408478,-0.0688190360847743,-0.016708713992190597,-0.10144495420126637,0.0,1.033703391006452,1.4877360668225927,1.5638670360847755,1.511756713992192,1.5964929542012676,1.4950480000000013
546,"Brownsville-Harlingen, TX Metro Area-Bus",2017,0,32,1.5540639999999992,-9022.157192026203,1457.341077147548,-22562.698147609157,-11666.361814770185,14266.914601306906,0.0,0.45232245180152314,0.008769274254556026,-0.09138173423238347,-0.028375075806960783,-0.08717803959995946,0.0,1.101741548198476,1.5452947257454432,1.6454457342323827,1.58243907580696,1.6412420395999587,1.5540639999999992
547,"Brownsville-Harlingen, TX Metro Area-Bus",2018,0,32,1.5660389999999995,-81845.82346920604,1685.9448077822174,-27577.11476577518,-11759.09696940891,15132.327129588504,-68448.07352914248,0.3704766283323171,0.010455219062338246,-0.11895884899815864,-0.0401341727763697,-0.07204571247037096,-0.06844807352914248,1.1955623716676824,1.5555837809376614,1.684997848998158,1.6061731727763693,1.6380847124703706,1.634487073529142
