,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
640,"Champaign-Urbana, IL Metro Area-Bus",2002,0,21,9.189451999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.189451999999998,9.189451999999998,9.189451999999998,9.189451999999998,9.189451999999998,9.189451999999998
641,"Champaign-Urbana, IL Metro Area-Bus",2003,0,21,9.989147999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.989147999999982,9.989147999999982,9.989147999999982,9.989147999999982,9.989147999999982,9.989147999999982
642,"Champaign-Urbana, IL Metro Area-Bus",2004,0,21,9.930155000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.930155000000012,9.930155000000012,9.930155000000012,9.930155000000012,9.930155000000012,9.930155000000012
643,"Champaign-Urbana, IL Metro Area-Bus",2005,0,21,9.734246000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.734246000000004,9.734246000000004,9.734246000000004,9.734246000000004,9.734246000000004,9.734246000000004
644,"Champaign-Urbana, IL Metro Area-Bus",2006,0,21,9.605867000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.605867000000009,9.605867000000009,9.605867000000009,9.605867000000009,9.605867000000009,9.605867000000009
645,"Champaign-Urbana, IL Metro Area-Bus",2007,0,21,8.834498000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.834498000000004,8.834498000000004,8.834498000000004,8.834498000000004,8.834498000000004,8.834498000000004
646,"Champaign-Urbana, IL Metro Area-Bus",2008,0,21,9.625883000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.625883000000009,9.625883000000009,9.625883000000009,9.625883000000009,9.625883000000009,9.625883000000009
647,"Champaign-Urbana, IL Metro Area-Bus",2009,0,21,9.814735000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.814735000000004,9.814735000000004,9.814735000000004,9.814735000000004,9.814735000000004,9.814735000000004
648,"Champaign-Urbana, IL Metro Area-Bus",2010,0,21,10.248572000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.248572000000012,10.248572000000012,10.248572000000012,10.248572000000012,10.248572000000012,10.248572000000012
649,"Champaign-Urbana, IL Metro Area-Bus",2011,0,21,10.68036299999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.68036299999998,10.68036299999998,10.68036299999998,10.68036299999998,10.68036299999998,10.68036299999998
650,"Champaign-Urbana, IL Metro Area-Bus",2012,0,21,11.25884500000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25884500000002,11.25884500000002,11.25884500000002,11.25884500000002,11.25884500000002,11.25884500000002
651,"Champaign-Urbana, IL Metro Area-Bus",2013,0,21,12.532123999999992,224427.92707325015,-10801.384427863906,223869.33168174565,6652.367853137919,-44109.118090081065,0.0,0.22442792707325016,-0.010801384427863906,0.22386933168174564,0.006652367853137919,-0.04410911809008106,0.0,12.307696072926742,12.542925384427857,12.308254668318247,12.525471632146855,12.576233118090073,12.532123999999992
652,"Champaign-Urbana, IL Metro Area-Bus",2014,0,21,13.470667999999984,175306.97807303758,51063.41797246156,101740.40539727602,-138284.51801030594,-91779.11039444628,0.0,0.39973490514628773,0.040262033544597654,0.32560973707902163,-0.131632150157168,-0.13588822848452736,0.0,13.070933094853697,13.430405966455385,13.145058262920962,13.602300150157152,13.60655622848451,13.470667999999984
653,"Champaign-Urbana, IL Metro Area-Bus",2015,0,21,12.97093999999998,-142082.29614474875,26481.366436938388,-269065.9527067844,275133.72274664446,-478714.9792663411,0.0,0.257652609001539,0.06674339998153604,0.05654378437223722,0.14350157258947643,-0.6146032077508684,0.0,12.71328739099844,12.904196600018443,12.914396215627741,12.827438427410502,13.585543207750847,12.97093999999998
654,"Champaign-Urbana, IL Metro Area-Bus",2016,0,21,12.28812999999998,56864.8657768761,8931.364043441128,-157888.71691325825,-210205.30742135865,-155797.07974646956,-431462.0448790282,0.31451747477841513,0.07567476402497716,-0.10134493254102103,-0.0667037348318822,-0.7704002874973379,-0.43146204487902823,11.973612525221565,12.212455235975002,12.389474932541,12.354833734831862,13.058530287497318,12.719592044879008
655,"Champaign-Urbana, IL Metro Area-Bus",2017,0,21,11.46696100000001,-42411.60752741597,9998.50131104671,-137972.3559537906,-6653.943205595526,105770.82639446648,-408749.2269287601,0.27210586725099917,0.08567326533602387,-0.23931728849481163,-0.07335767803747772,-0.6646294611028715,-0.8402112718077884,11.19485513274901,11.381287734663987,11.706278288494822,11.540318678037488,12.131590461102881,12.307172271807799
656,"Champaign-Urbana, IL Metro Area-Bus",2018,0,21,11.664374999999989,142846.68076800142,24060.98026628301,69394.69175015856,-52307.29331406498,120587.11845668765,-505057.31403842464,0.41495254801900056,0.10973424560230688,-0.16992259674465307,-0.12566497135154273,-0.5440423426461838,-1.3452685858462132,11.249422451980989,11.554640754397683,11.834297596744642,11.790039971351531,12.208417342646174,13.009643585846202
