,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
1208,"Eugene-Springfield, OR Metro Area-Bus",2002,0,23,8.365005000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.365005000000007,8.365005000000007,8.365005000000007,8.365005000000007,8.365005000000007,8.365005000000007
1209,"Eugene-Springfield, OR Metro Area-Bus",2003,0,23,8.103039999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.103039999999996,8.103039999999996,8.103039999999996,8.103039999999996,8.103039999999996,8.103039999999996
1210,"Eugene-Springfield, OR Metro Area-Bus",2004,0,23,8.396792999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.396792999999997,8.396792999999997,8.396792999999997,8.396792999999997,8.396792999999997,8.396792999999997
1211,"Eugene-Springfield, OR Metro Area-Bus",2005,0,23,8.626362999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.626362999999996,8.626362999999996,8.626362999999996,8.626362999999996,8.626362999999996,8.626362999999996
1212,"Eugene-Springfield, OR Metro Area-Bus",2006,0,23,9.443293999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.443293999999991,9.443293999999991,9.443293999999991,9.443293999999991,9.443293999999991,9.443293999999991
1213,"Eugene-Springfield, OR Metro Area-Bus",2007,0,23,10.299753000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.299753000000017,10.299753000000017,10.299753000000017,10.299753000000017,10.299753000000017,10.299753000000017
1214,"Eugene-Springfield, OR Metro Area-Bus",2008,0,23,11.933051000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.933051000000011,11.933051000000011,11.933051000000011,11.933051000000011,11.933051000000011,11.933051000000011
1215,"Eugene-Springfield, OR Metro Area-Bus",2009,0,23,11.257191999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.257191999999995,11.257191999999995,11.257191999999995,11.257191999999995,11.257191999999995,11.257191999999995
1216,"Eugene-Springfield, OR Metro Area-Bus",2010,0,23,11.19669300000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.19669300000001,11.19669300000001,11.19669300000001,11.19669300000001,11.19669300000001,11.19669300000001
1217,"Eugene-Springfield, OR Metro Area-Bus",2011,0,23,11.39547700000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.39547700000001,11.39547700000001,11.39547700000001,11.39547700000001,11.39547700000001,11.39547700000001
