,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
1460,"Harrisonburg, VA Metro Area-Bus",2006,0,31,1.3966039999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3966039999999995,1.3966039999999995,1.3966039999999995,1.3966039999999995,1.3966039999999995,1.3966039999999995
1461,"Harrisonburg, VA Metro Area-Bus",2007,0,31,1.471086999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.471086999999999,1.471086999999999,1.471086999999999,1.471086999999999,1.471086999999999,1.471086999999999
1462,"Harrisonburg, VA Metro Area-Bus",2008,0,31,1.558749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.558749999999999,1.558749999999999,1.558749999999999,1.558749999999999,1.558749999999999,1.558749999999999
1463,"Harrisonburg, VA Metro Area-Bus",2009,0,31,1.7617889999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7617889999999992,1.7617889999999992,1.7617889999999992,1.7617889999999992,1.7617889999999992,1.7617889999999992
1464,"Harrisonburg, VA Metro Area-Bus",2010,0,31,1.9517659999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9517659999999983,1.9517659999999983,1.9517659999999983,1.9517659999999983,1.9517659999999983,1.9517659999999983
1465,"Harrisonburg, VA Metro Area-Bus",2011,0,31,2.296222999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.296222999999998,2.296222999999998,2.296222999999998,2.296222999999998,2.296222999999998,2.296222999999998
1466,"Harrisonburg, VA Metro Area-Bus",2012,0,31,2.608335000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.608335000000002,2.608335000000002,2.608335000000002,2.608335000000002,2.608335000000002,2.608335000000002
1467,"Harrisonburg, VA Metro Area-Bus",2013,0,31,2.798167000000001,50774.91154883402,2469.6457668616417,10602.943332590236,58695.200983588555,-10203.705455393325,0.0,0.05077491154883402,0.002469645766861642,0.010602943332590235,0.058695200983588554,-0.010203705455393324,0.0,2.7473920884511673,2.7956973542331394,2.787564056667411,2.7394717990164126,2.8083707054553946,2.798167000000001
1468,"Harrisonburg, VA Metro Area-Bus",2014,0,31,2.806255999999998,23789.77642996805,5640.827627366178,-28994.52709494152,-37970.39407039338,-16784.81518181134,0.0,0.07456468797880207,0.00811047339422782,-0.018391583762351286,0.020724806913195178,-0.026988520637204666,0.0,2.731691312021196,2.7981455266057704,2.8246475837623493,2.7855311930868027,2.833244520637203,2.806255999999998
1469,"Harrisonburg, VA Metro Area-Bus",2015,0,31,2.7678179999999983,63239.98333163745,1061.0630576290885,-21220.56311467291,-21323.226657435764,-103048.70120565576,0.0,0.13780467131043952,0.009171536451856907,-0.03961214687702419,-0.0005984197442405857,-0.13003722184286043,0.0,2.6300133286895586,2.7586464635481414,2.8074301468770226,2.768416419744239,2.8978552218428586,2.7678179999999983
1470,"Harrisonburg, VA Metro Area-Bus",2016,0,31,2.6745539999999983,-18440.65125409649,8419.779567085183,-11486.025035936933,-12731.680946842336,-26899.30896456546,-92067.99307783268,0.11936402005634304,0.01759131601894209,-0.05109817191296112,-0.013330100691082923,-0.15693653080742587,-0.09206799307783269,2.5551899799436555,2.6569626839810563,2.7256521719129596,2.687884100691081,2.8314905308074243,2.766621993077831
1471,"Harrisonburg, VA Metro Area-Bus",2017,0,31,2.2719219999999996,3936.001661072949,7448.581552367718,-82266.03882206406,11499.864775771712,21275.810334495152,-88965.68313317194,0.123300021717416,0.025039897571309807,-0.13336421073502516,-0.0018302359153112102,-0.13566072047293073,-0.1810336762110046,2.1486219782825837,2.24688210242869,2.405286210735025,2.273752235915311,2.4075827204729303,2.4529556762110043
1472,"Harrisonburg, VA Metro Area-Bus",2018,0,31,2.098653000000002,-24150.146907380546,6561.626635317214,-30924.855577821,4194.254639565259,18194.728245164213,-164315.03282718128,0.09914987481003544,0.03160152420662702,-0.16428906631284618,0.0023640187242540485,-0.11746599222776652,-0.3453487090381859,1.9995031251899664,2.0670514757933747,2.262942066312848,2.0962889812757477,2.216118992227768,2.444001709038188
