,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
1473,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2002,0,23,15.341472999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.341472999999983,15.341472999999983,15.341472999999983,15.341472999999983,15.341472999999983,15.341472999999983
1474,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2003,0,23,14.676362000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.676362000000026,14.676362000000026,14.676362000000026,14.676362000000026,14.676362000000026,14.676362000000026
1475,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2004,0,23,13.599350999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.599350999999997,13.599350999999997,13.599350999999997,13.599350999999997,13.599350999999997,13.599350999999997
1476,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2005,0,23,13.853440000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.853440000000012,13.853440000000012,13.853440000000012,13.853440000000012,13.853440000000012,13.853440000000012
1477,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2006,0,23,14.629418999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.629418999999997,14.629418999999997,14.629418999999997,14.629418999999997,14.629418999999997,14.629418999999997
1478,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2007,0,23,14.780113000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.780113000000007,14.780113000000007,14.780113000000007,14.780113000000007,14.780113000000007,14.780113000000007
1479,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2008,0,23,15.380997000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.380997000000011,15.380997000000011,15.380997000000011,15.380997000000011,15.380997000000011,15.380997000000011
1480,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2009,0,23,14.498771999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.498771999999988,14.498771999999988,14.498771999999988,14.498771999999988,14.498771999999988,14.498771999999988
1481,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2010,0,23,15.036099999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.036099999999992,15.036099999999992,15.036099999999992,15.036099999999992,15.036099999999992,15.036099999999992
1482,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2011,0,23,15.655976000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.655976000000006,15.655976000000006,15.655976000000006,15.655976000000006,15.655976000000006,15.655976000000006
1483,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2012,0,23,16.170563000000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.170563000000023,16.170563000000023,16.170563000000023,16.170563000000023,16.170563000000023,16.170563000000023
1484,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2013,0,23,16.168884999999978,-7178.123380927738,-5907.31230411342,-11809.268809368928,20163.26331057608,-66730.35621260529,0.0,-0.007178123380927738,-0.005907312304113421,-0.011809268809368929,0.02016326331057608,-0.06673035621260529,0.0,16.176063123380906,16.174792312304092,16.180694268809347,16.148721736689403,16.235615356212584,16.168884999999978
1485,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2014,0,23,16.342033000000022,47369.42719944491,32812.49635436335,-5717.862437833746,-75450.50155785382,-105338.85904122496,0.0,0.04019130381851717,0.026905184050249928,-0.017527131247202676,-0.05528723824727774,-0.17206921525383026,0.0,16.301841696181505,16.315127815949772,16.359560131247225,16.3973202382473,16.514102215253853,16.342033000000022
1486,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2015,0,23,17.099465,1950286.261840375,7587.990838278068,-210644.9094557442,-131198.71369517266,-611754.538297685,-543597.2239221352,1.990477565658892,0.034493174888527996,-0.2281720407029469,-0.1864859519424504,-0.7838237535515152,-0.5435972239221352,15.108987434341106,17.06497182511147,17.327637040702946,17.28595095194245,17.883288753551515,17.643062223922133
1487,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2016,0,23,17.453220000000027,631015.2635954875,2523.663199005164,-53986.99181442449,-32497.080087975126,-192372.3869351528,-568792.2490765806,2.6214928292543793,0.03701683808753316,-0.28215903251737134,-0.21898303203042552,-0.9761961404866681,-1.112389472998716,14.831727170745648,17.41620316191249,17.735379032517397,17.672203032030453,18.429416140486694,18.565609472998744
1488,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2017,0,23,17.19357000000002,66708.77816064785,27947.075722014903,-23367.43865541167,3175.6426997704075,150077.32494209087,-580559.465306568,2.6882016074150274,0.06496391380954807,-0.305526471172783,-0.21580738933065513,-0.8261188155445772,-1.6929489383052838,14.505368392584991,17.12860608619047,17.499096471172802,17.409377389330675,18.019688815544598,18.886518938305304
1489,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2018,0,23,17.379736999999977,228519.85105716705,4385.144423042068,11311.34131059152,-10996.365679187295,179730.7945211711,-757283.3188262903,2.9167214584721948,0.06934905823259013,-0.2942151298621915,-0.22680375500984243,-0.6463880210234061,-2.450232257131574,14.463015541527783,17.310387941767388,17.67395212986217,17.60654075500982,18.026125021023383,19.829969257131552
