,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
1857,"Las Vegas-Paradise, NV Metro Area-Bus",2002,0,21,45.783823999999946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.783823999999946,45.783823999999946,45.783823999999946,45.783823999999946,45.783823999999946,45.783823999999946
1858,"Las Vegas-Paradise, NV Metro Area-Bus",2003,0,21,48.72674499999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.72674499999994,48.72674499999994,48.72674499999994,48.72674499999994,48.72674499999994,48.72674499999994
1859,"Las Vegas-Paradise, NV Metro Area-Bus",2004,0,21,51.94602999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.94602999999999,51.94602999999999,51.94602999999999,51.94602999999999,51.94602999999999,51.94602999999999
1860,"Las Vegas-Paradise, NV Metro Area-Bus",2005,0,21,55.78692500000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.78692500000003,55.78692500000003,55.78692500000003,55.78692500000003,55.78692500000003,55.78692500000003
1861,"Las Vegas-Paradise, NV Metro Area-Bus",2006,0,21,61.515552999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.515552999999976,61.515552999999976,61.515552999999976,61.515552999999976,61.515552999999976,61.515552999999976
1862,"Las Vegas-Paradise, NV Metro Area-Bus",2007,0,21,64.280105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.280105,64.280105,64.280105,64.280105,64.280105,64.280105
1863,"Las Vegas-Paradise, NV Metro Area-Bus",2008,0,21,67.33954200000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.33954200000008,67.33954200000008,67.33954200000008,67.33954200000008,67.33954200000008,67.33954200000008
1864,"Las Vegas-Paradise, NV Metro Area-Bus",2009,0,21,58.08999699999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.08999699999992,58.08999699999992,58.08999699999992,58.08999699999992,58.08999699999992,58.08999699999992
1865,"Las Vegas-Paradise, NV Metro Area-Bus",2010,0,21,55.190259999999945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.190259999999945,55.190259999999945,55.190259999999945,55.190259999999945,55.190259999999945,55.190259999999945
1866,"Las Vegas-Paradise, NV Metro Area-Bus",2011,0,21,57.77692600000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.77692600000006,57.77692600000006,57.77692600000006,57.77692600000006,57.77692600000006,57.77692600000006
1867,"Las Vegas-Paradise, NV Metro Area-Bus",2012,0,21,60.39755099999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.39755099999989,60.39755099999989,60.39755099999989,60.39755099999989,60.39755099999989,60.39755099999989
1868,"Las Vegas-Paradise, NV Metro Area-Bus",2013,0,21,59.508657000000085,401545.9551709882,213152.0042461684,-236956.55010507407,-65033.75788038636,-350289.43423143,0.0,0.40154595517098823,0.2131520042461684,-0.23695655010507408,-0.06503375788038636,-0.35028943423143,0.0,59.1071110448291,59.295504995753916,59.74561355010516,59.57369075788047,59.85894643423151,59.508657000000085
1869,"Las Vegas-Paradise, NV Metro Area-Bus",2014,0,21,63.053060000000016,464816.7519679996,318877.4432219837,725733.6269623152,39448.81412485411,-344373.62071816693,0.0,0.8663627071389879,0.5320294474681521,0.4887770768572411,-0.02558494375553225,-0.694663054949597,0.0,62.18669729286103,62.52103055253186,62.56428292314278,63.07864494375555,63.74772305494961,63.053060000000016
