,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
1920,"Little Rock-North Little Rock-Conway, AR Metro Area-Bus",2004,0,34,1.953817999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.953817999999999,1.953817999999999,1.953817999999999,1.953817999999999,1.953817999999999,1.953817999999999
1921,"Little Rock-North Little Rock-Conway, AR Metro Area-Bus",2005,0,34,2.1204310000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1204310000000013,2.1204310000000013,2.1204310000000013,2.1204310000000013,2.1204310000000013,2.1204310000000013
1922,"Little Rock-North Little Rock-Conway, AR Metro Area-Bus",2006,0,34,2.2020500000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2020500000000007,2.2020500000000007,2.2020500000000007,2.2020500000000007,2.2020500000000007,2.2020500000000007
1923,"Little Rock-North Little Rock-Conway, AR Metro Area-Bus",2007,0,34,2.243721999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.243721999999999,2.243721999999999,2.243721999999999,2.243721999999999,2.243721999999999,2.243721999999999
1924,"Little Rock-North Little Rock-Conway, AR Metro Area-Bus",2008,0,34,2.497513000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.497513000000001,2.497513000000001,2.497513000000001,2.497513000000001,2.497513000000001,2.497513000000001
1925,"Little Rock-North Little Rock-Conway, AR Metro Area-Bus",2009,0,34,2.343171999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.343171999999999,2.343171999999999,2.343171999999999,2.343171999999999,2.343171999999999,2.343171999999999
1926,"Little Rock-North Little Rock-Conway, AR Metro Area-Bus",2010,0,34,2.36936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.36936,2.36936,2.36936,2.36936,2.36936,2.36936
1927,"Little Rock-North Little Rock-Conway, AR Metro Area-Bus",2011,0,34,2.5813489999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5813489999999994,2.5813489999999994,2.5813489999999994,2.5813489999999994,2.5813489999999994,2.5813489999999994
1928,"Little Rock-North Little Rock-Conway, AR Metro Area-Bus",2012,0,34,2.8236159999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8236159999999977,2.8236159999999977,2.8236159999999977,2.8236159999999977,2.8236159999999977,2.8236159999999977
1929,"Little Rock-North Little Rock-Conway, AR Metro Area-Bus",2013,0,34,2.7705189999999975,70998.6031318908,4377.789443781802,-5435.008305755961,6062.538560086336,-14067.645240601538,0.0,0.07099860313189081,0.004377789443781802,-0.005435008305755961,0.006062538560086336,-0.014067645240601537,0.0,2.6995203968681065,2.7661412105562158,2.7759540083057535,2.764456461439911,2.784586645240599,2.7705189999999975
