,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
2387,"Oklahoma City, OK Metro Area-Bus",2002,0,24,4.062699999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.062699999999998,4.062699999999998,4.062699999999998,4.062699999999998,4.062699999999998,4.062699999999998
2388,"Oklahoma City, OK Metro Area-Bus",2003,0,24,3.8421300000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8421300000000014,3.8421300000000014,3.8421300000000014,3.8421300000000014,3.8421300000000014,3.8421300000000014
2389,"Oklahoma City, OK Metro Area-Bus",2004,0,24,3.020448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.020448,3.020448,3.020448,3.020448,3.020448,3.020448
2390,"Oklahoma City, OK Metro Area-Bus",2005,0,24,2.7549520000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7549520000000003,2.7549520000000003,2.7549520000000003,2.7549520000000003,2.7549520000000003,2.7549520000000003
2391,"Oklahoma City, OK Metro Area-Bus",2006,0,24,2.8235740000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8235740000000025,2.8235740000000025,2.8235740000000025,2.8235740000000025,2.8235740000000025,2.8235740000000025
2392,"Oklahoma City, OK Metro Area-Bus",2007,0,24,2.5988339999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5988339999999988,2.5988339999999988,2.5988339999999988,2.5988339999999988,2.5988339999999988,2.5988339999999988
2393,"Oklahoma City, OK Metro Area-Bus",2008,0,24,2.6566340000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6566340000000004,2.6566340000000004,2.6566340000000004,2.6566340000000004,2.6566340000000004,2.6566340000000004
2394,"Oklahoma City, OK Metro Area-Bus",2009,0,24,2.694118000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.694118000000001,2.694118000000001,2.694118000000001,2.694118000000001,2.694118000000001,2.694118000000001
2395,"Oklahoma City, OK Metro Area-Bus",2010,0,24,2.756984999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.756984999999999,2.756984999999999,2.756984999999999,2.756984999999999,2.756984999999999,2.756984999999999
2396,"Oklahoma City, OK Metro Area-Bus",2011,0,24,2.739373000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.739373000000001,2.739373000000001,2.739373000000001,2.739373000000001,2.739373000000001,2.739373000000001
