,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
3272,"Sioux City, IA-NE-SD Metro Area-Bus",2005,0,31,0.7992289999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7992289999999999,0.7992289999999999,0.7992289999999999,0.7992289999999999,0.7992289999999999,0.7992289999999999
3273,"Sioux City, IA-NE-SD Metro Area-Bus",2006,0,31,0.8483469999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8483469999999996,0.8483469999999996,0.8483469999999996,0.8483469999999996,0.8483469999999996,0.8483469999999996
3274,"Sioux City, IA-NE-SD Metro Area-Bus",2007,0,31,0.9676959999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9676959999999998,0.9676959999999998,0.9676959999999998,0.9676959999999998,0.9676959999999998,0.9676959999999998
3275,"Sioux City, IA-NE-SD Metro Area-Bus",2008,0,31,1.1076030000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1076030000000006,1.1076030000000006,1.1076030000000006,1.1076030000000006,1.1076030000000006,1.1076030000000006
3276,"Sioux City, IA-NE-SD Metro Area-Bus",2009,0,31,1.1347089999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1347089999999995,1.1347089999999995,1.1347089999999995,1.1347089999999995,1.1347089999999995,1.1347089999999995
3277,"Sioux City, IA-NE-SD Metro Area-Bus",2010,0,31,1.1677030000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1677030000000008,1.1677030000000008,1.1677030000000008,1.1677030000000008,1.1677030000000008,1.1677030000000008
3278,"Sioux City, IA-NE-SD Metro Area-Bus",2011,0,31,1.2254030000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2254030000000002,1.2254030000000002,1.2254030000000002,1.2254030000000002,1.2254030000000002,1.2254030000000002
3279,"Sioux City, IA-NE-SD Metro Area-Bus",2012,0,31,1.0921299999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0921299999999998,1.0921299999999998,1.0921299999999998,1.0921299999999998,1.0921299999999998,1.0921299999999998
3280,"Sioux City, IA-NE-SD Metro Area-Bus",2013,0,31,1.0892670000000004,-3878.114912840625,26908.20542042784,-1488.4508331209386,-4831.772966834304,-4278.670781924802,0.0,-0.003878114912840625,0.02690820542042784,-0.0014884508331209387,-0.004831772966834303,-0.004278670781924802,0.0,1.093145114912841,1.0623587945795725,1.0907554508331214,1.0940987729668348,1.0935456707819253,1.0892670000000004
3281,"Sioux City, IA-NE-SD Metro Area-Bus",2014,0,31,1.105968,6015.120290264357,1592.9357786757082,3748.6910318686414,-10057.06538218823,-7977.2555906746065,0.0,0.002137005377423732,0.02850114119910355,0.002260240198747703,-0.014888838349022533,-0.01225592637259941,0.0,1.1038309946225764,1.0774668588008964,1.1037077598012524,1.1208568383490225,1.1182239263725995,1.105968
3282,"Sioux City, IA-NE-SD Metro Area-Bus",2015,0,31,1.0697759999999996,-2516.797681148301,-2986.259902926526,-18958.389899759368,1044.366775738009,-39303.42936142717,0.0,-0.00037979230372456866,0.025514881296177024,-0.016698149701011664,-0.013844471573284525,-0.05155935573402658,0.0,1.0701557923037242,1.0442611187038227,1.0864741497010113,1.0836204715732842,1.1213353557340262,1.0697759999999996
3283,"Sioux City, IA-NE-SD Metro Area-Bus",2016,0,31,0.9708990000000002,-7426.738206782666,1974.255408735703,-24833.05131596837,-14965.375012686207,-12849.336808501112,0.0,-0.0078065305105072345,0.027489136704912726,-0.04153120101698003,-0.028809846585970734,-0.06440869254252768,0.0,0.9787055305105075,0.9434098632950875,1.0124302010169801,0.9997088465859709,1.0353076925425277,0.9708990000000002
3284,"Sioux City, IA-NE-SD Metro Area-Bus",2017,0,31,0.8600300000000005,-9399.74738132834,-534.1460202357586,-1914.955939540584,3140.7981689184967,8357.072196954403,0.0,-0.017206277891835577,0.026954990684676966,-0.04344615695652061,-0.025669048417052236,-0.05605162034557328,0.0,0.8772362778918361,0.8330750093153235,0.9034761569565212,0.8856990484170527,0.9160816203455738,0.8600300000000005
3285,"Sioux City, IA-NE-SD Metro Area-Bus",2018,0,31,0.8518280000000005,-4650.825965403678,1893.4536878294923,12342.706921995032,-1008.7148894076147,9044.117223936231,-28607.818898037563,-0.021857103857239255,0.02884844437250646,-0.031103450034525585,-0.02667776330645985,-0.047007503121637054,-0.028607818898037565,0.8736851038572397,0.822979555627494,0.8829314500345261,0.8785057633064604,0.8988355031216375,0.880435818898038
