,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
3422,"Stockton, CA Metro Area-Bus",2002,0,22,4.998801000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.998801000000001,4.998801000000001,4.998801000000001,4.998801000000001,4.998801000000001,4.998801000000001
3423,"Stockton, CA Metro Area-Bus",2003,0,22,4.6004799999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6004799999999975,4.6004799999999975,4.6004799999999975,4.6004799999999975,4.6004799999999975,4.6004799999999975
3424,"Stockton, CA Metro Area-Bus",2004,0,22,4.579866000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.579866000000002,4.579866000000002,4.579866000000002,4.579866000000002,4.579866000000002,4.579866000000002
3425,"Stockton, CA Metro Area-Bus",2005,0,22,3.883240000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.883240000000001,3.883240000000001,3.883240000000001,3.883240000000001,3.883240000000001,3.883240000000001
3426,"Stockton, CA Metro Area-Bus",2006,0,22,3.866125999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.866125999999999,3.866125999999999,3.866125999999999,3.866125999999999,3.866125999999999,3.866125999999999
3427,"Stockton, CA Metro Area-Bus",2007,0,22,4.128067999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.128067999999997,4.128067999999997,4.128067999999997,4.128067999999997,4.128067999999997,4.128067999999997
3428,"Stockton, CA Metro Area-Bus",2008,0,22,4.945920999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.945920999999999,4.945920999999999,4.945920999999999,4.945920999999999,4.945920999999999,4.945920999999999
3429,"Stockton, CA Metro Area-Bus",2009,0,22,4.447979999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.447979999999999,4.447979999999999,4.447979999999999,4.447979999999999,4.447979999999999,4.447979999999999
3430,"Stockton, CA Metro Area-Bus",2010,0,22,4.013306000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.013306000000003,4.013306000000003,4.013306000000003,4.013306000000003,4.013306000000003,4.013306000000003
3431,"Stockton, CA Metro Area-Bus",2011,0,22,4.266886000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.266886000000001,4.266886000000001,4.266886000000001,4.266886000000001,4.266886000000001,4.266886000000001
3432,"Stockton, CA Metro Area-Bus",2012,0,22,4.08135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08135,4.08135,4.08135,4.08135,4.08135,4.08135
