,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
183,"Athens-Clarke County, GA Metro Area-Bus",2009,0,33,11.144687999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.144687999999993,11.144687999999993,11.144687999999993,11.144687999999993,11.144687999999993,11.144687999999993
184,"Athens-Clarke County, GA Metro Area-Bus",2010,0,33,11.114972999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.114972999999997,11.114972999999997,11.114972999999997,11.114972999999997,11.114972999999997,11.114972999999997
185,"Athens-Clarke County, GA Metro Area-Bus",2011,0,33,11.586179999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.586179999999983,11.586179999999983,11.586179999999983,11.586179999999983,11.586179999999983,11.586179999999983
186,"Athens-Clarke County, GA Metro Area-Bus",2012,0,33,12.93690399999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.93690399999999,12.93690399999999,12.93690399999999,12.93690399999999,12.93690399999999,12.93690399999999
187,"Athens-Clarke County, GA Metro Area-Bus",2013,0,33,12.763696000000007,158730.68570700646,22375.536539621156,-32607.83690033208,119873.95778813647,-50608.66718450639,0.0,0.15873068570700646,0.022375536539621155,-0.03260783690033208,0.11987395778813646,-0.05060866718450639,0.0,12.604965314293,12.741320463460385,12.79630383690034,12.64382204221187,12.814304667184514,12.763696000000007
188,"Athens-Clarke County, GA Metro Area-Bus",2014,0,33,12.626341000000023,63744.90783078739,-32168.13215242979,-184027.66561238057,-263904.3523542117,-76563.07804245589,0.0,0.22247559353779384,-0.009792595612808633,-0.21663550251271263,-0.14403039456607522,-0.12717174522696229,0.0,12.403865406462229,12.636133595612831,12.842976502512736,12.770371394566098,12.753512745226985,12.626341000000023
189,"Athens-Clarke County, GA Metro Area-Bus",2015,0,33,12.093527999999983,206690.53830328948,-26970.185783930392,-315057.34368780366,50532.92367515149,-463652.6535817558,-419999.3915013046,0.42916613184108326,-0.036762781396739025,-0.5316928462005164,-0.09349747089092372,-0.5908243988087181,-0.41999939150130455,11.6643618681589,12.130290781396722,12.625220846200499,12.187025470890907,12.684352398808702,12.513527391501288
190,"Athens-Clarke County, GA Metro Area-Bus",2016,0,33,7.351945000000002,131209.34265029797,22697.76044509258,-1629320.2400960918,-160706.4205203829,-117532.13041595338,-402276.0355596268,0.5603754744913814,-0.014065020951646445,-2.161013086296608,-0.2542038914113066,-0.7083565292246714,-0.8222754270609315,6.791569525508621,7.366010020951649,9.51295808629661,7.606148891411309,8.060301529224674,8.174220427060934
191,"Athens-Clarke County, GA Metro Area-Bus",2017,0,33,7.256761999999997,82123.7155921103,2052.5692113254554,27936.28973279308,-79443.40893314582,58483.98925938311,-323813.22258427704,0.6424991900834917,-0.01201245174032099,-2.1330767965638153,-0.33364730034445245,-0.6498725399652884,-1.1460886496452083,6.614262809916505,7.268774451740318,9.389838796563811,7.590409300344449,7.906634539965285,8.402850649645204
192,"Athens-Clarke County, GA Metro Area-Bus",2018,0,33,7.252138,165127.33028118985,53086.79773741185,37004.95634327372,-84363.98503174323,58115.90914205431,-241387.08310426457,0.8076265203646815,0.04107434599709086,-2.096071840220542,-0.4180112853761957,-0.591756630823234,-1.387475732749473,6.4445114796353185,7.21106365400291,9.348209840220543,7.670149285376196,7.843894630823234,8.639613732749474
