,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
1661,"Johnstown, PA Metro Area-Bus",2002,0,33,1.053093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.053093,1.053093,1.053093,1.053093,1.053093,1.053093
1662,"Johnstown, PA Metro Area-Bus",2003,0,33,1.0022950000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0022950000000002,1.0022950000000002,1.0022950000000002,1.0022950000000002,1.0022950000000002,1.0022950000000002
1663,"Johnstown, PA Metro Area-Bus",2004,0,33,0.9786109999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9786109999999995,0.9786109999999995,0.9786109999999995,0.9786109999999995,0.9786109999999995,0.9786109999999995
1664,"Johnstown, PA Metro Area-Bus",2005,0,33,1.0709369999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0709369999999998,1.0709369999999998,1.0709369999999998,1.0709369999999998,1.0709369999999998,1.0709369999999998
1665,"Johnstown, PA Metro Area-Bus",2006,0,33,1.032494000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032494000000001,1.032494000000001,1.032494000000001,1.032494000000001,1.032494000000001,1.032494000000001
1666,"Johnstown, PA Metro Area-Bus",2007,0,33,1.0040780000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0040780000000002,1.0040780000000002,1.0040780000000002,1.0040780000000002,1.0040780000000002,1.0040780000000002
1667,"Johnstown, PA Metro Area-Bus",2008,0,33,1.0053759999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0053759999999996,1.0053759999999996,1.0053759999999996,1.0053759999999996,1.0053759999999996,1.0053759999999996
1668,"Johnstown, PA Metro Area-Bus",2009,0,33,0.8418149999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8418149999999993,0.8418149999999993,0.8418149999999993,0.8418149999999993,0.8418149999999993,0.8418149999999993
1669,"Johnstown, PA Metro Area-Bus",2010,0,33,1.022664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.022664,1.022664,1.022664,1.022664,1.022664,1.022664
1670,"Johnstown, PA Metro Area-Bus",2011,0,33,1.0643050000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0643050000000005,1.0643050000000005,1.0643050000000005,1.0643050000000005,1.0643050000000005,1.0643050000000005
1671,"Johnstown, PA Metro Area-Bus",2012,0,33,1.062894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.062894,1.062894,1.062894,1.062894,1.062894,1.062894
1672,"Johnstown, PA Metro Area-Bus",2013,0,33,1.05404,-685.2640512903614,-1861.8937800696463,-3608.854066315905,-5630.464116430772,-5060.577515555293,0.0,-0.0006852640512903614,-0.0018618937800696463,-0.0036088540663159053,-0.005630464116430772,-0.005060577515555293,0.0,1.0547252640512905,1.0559018937800697,1.057648854066316,1.059670464116431,1.0591005775155553,1.05404
1673,"Johnstown, PA Metro Area-Bus",2014,0,33,1.019689,-638.4885591134919,-11409.891151967087,-3174.253804901248,4679.016890628194,-5894.472163882518,0.0,-0.0013237526104038534,-0.013271784932036733,-0.006783107871217153,-0.000951447225802578,-0.010955049679437811,0.0,1.021012752610404,1.0329607849320368,1.0264721078712171,1.0206404472258026,1.0306440496794378,1.019689
1674,"Johnstown, PA Metro Area-Bus",2015,0,33,1.0139129999999996,4149.970341405675,-1732.4897040876176,-13511.499146805783,-11801.93112425134,-35826.81232016096,0.0,0.0028262177310018214,-0.01500427463612435,-0.020294607018022937,-0.012753378350053917,-0.04678186199959877,0.0,1.0110867822689977,1.028917274636124,1.0342076070180226,1.0266663783500536,1.0606948619995984,1.0139129999999996
1675,"Johnstown, PA Metro Area-Bus",2016,0,33,0.9652890000000006,-1198.603200556353,-2781.8110308161185,-9220.194418930914,3470.680497608293,-11258.868957526596,0.0,0.0016276145304454685,-0.01778608566694047,-0.029514801436953852,-0.009282697852445624,-0.05804073095712537,0.0,0.9636613854695552,0.9830750856669411,0.9948038014369545,0.9745716978524462,1.023329730957126,0.9652890000000006
