,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
2013,"Lynchburg, VA Metro Area-Bus",2006,0,33,1.0249839999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0249839999999995,1.0249839999999995,1.0249839999999995,1.0249839999999995,1.0249839999999995,1.0249839999999995
2014,"Lynchburg, VA Metro Area-Bus",2007,0,33,2.236757999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.236757999999999,2.236757999999999,2.236757999999999,2.236757999999999,2.236757999999999,2.236757999999999
2015,"Lynchburg, VA Metro Area-Bus",2008,0,33,2.9196190000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9196190000000017,2.9196190000000017,2.9196190000000017,2.9196190000000017,2.9196190000000017,2.9196190000000017
2016,"Lynchburg, VA Metro Area-Bus",2009,0,33,2.8532260000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8532260000000025,2.8532260000000025,2.8532260000000025,2.8532260000000025,2.8532260000000025,2.8532260000000025
2017,"Lynchburg, VA Metro Area-Bus",2010,0,33,2.676605999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.676605999999998,2.676605999999998,2.676605999999998,2.676605999999998,2.676605999999998,2.676605999999998
2018,"Lynchburg, VA Metro Area-Bus",2011,0,33,2.511564000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.511564000000002,2.511564000000002,2.511564000000002,2.511564000000002,2.511564000000002,2.511564000000002
2019,"Lynchburg, VA Metro Area-Bus",2012,0,33,2.3304509999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3304509999999983,2.3304509999999983,2.3304509999999983,2.3304509999999983,2.3304509999999983,2.3304509999999983
2020,"Lynchburg, VA Metro Area-Bus",2013,0,33,2.3899260000000013,-139304.5957954258,3235.8337058020848,-6053.492210379766,-10958.197368175373,-9116.634014506108,0.0,-0.13930459579542578,0.0032358337058020848,-0.006053492210379766,-0.010958197368175373,-0.009116634014506108,0.0,2.5292305957954273,2.386690166294199,2.395979492210381,2.4008841973681765,2.3990426340145072,2.3899260000000013
2021,"Lynchburg, VA Metro Area-Bus",2014,0,33,2.762411999999999,18432.75270028808,-3586.7290547025,80736.17794555465,16171.85115237187,-14335.980021280237,0.0,-0.12087184309513771,-0.0003508953489004152,0.07468268573517488,0.005213653784196496,-0.023452614035786343,0.0,2.883283843095137,2.7627628953488994,2.687729314264824,2.7571983462158025,2.7858646140357854,2.762411999999999
2022,"Lynchburg, VA Metro Area-Bus",2015,0,33,2.3945649999999987,171294.7863894991,5515.252795496101,-8048.024323672631,-29702.614284164698,-101438.70295330076,0.0,0.05042294329436138,0.005164357446595685,0.06663466141150225,-0.024488960499968203,-0.1248913169890871,0.0,2.3441420567056372,2.389400642553403,2.3279303385884966,2.419053960499967,2.519456316989086,2.3945649999999987
2023,"Lynchburg, VA Metro Area-Bus",2016,0,33,2.068905999999999,-45503.55137259194,-17.35059100523742,-480620.4743448948,13425.207736765473,-23271.81330952205,-79652.2003413593,0.0049193919217694415,0.005147006855590448,-0.4139858129333926,-0.011063752763202728,-0.14816313029860914,-0.07965220034135931,2.0639866080782294,2.0637589931444085,2.4828918129333912,2.0799697527632017,2.217069130298608,2.148558200341358
2024,"Lynchburg, VA Metro Area-Bus",2017,0,33,2.3116460000000005,50989.620904215255,-481.70094498573144,-135502.44571300282,-22498.115842102605,16457.940896276177,-68819.56230022585,0.0559090128259847,0.004665305910604716,-0.5494882586463954,-0.03356186860530533,-0.13170518940233297,-0.14847176264158515,2.255736987174016,2.306980694089396,2.8611342586463957,2.3452078686053057,2.4433511894023336,2.4601177626415858
2025,"Lynchburg, VA Metro Area-Bus",2018,0,33,2.151558,-54071.49672455449,3144.256736901289,-270056.27865056123,-15957.222566931045,18512.85861443346,-76894.00384216006,0.0018375161014302067,0.007809562647506005,-0.8195445372969566,-0.04951909117223637,-0.11319233078789952,-0.22536576648374518,2.14972048389857,2.143748437352494,2.971102537296957,2.2010770911722366,2.2647503307878996,2.3769237664837455
