,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
2317,"New Orleans-Metairie-Kenner, LA Metro Area-Rail",2007,1,21,1.4822560000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4822560000000011,1.4822560000000011,1.4822560000000011,1.4822560000000011,1.4822560000000011,1.4822560000000011
2318,"New Orleans-Metairie-Kenner, LA Metro Area-Rail",2008,1,21,4.707197000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.707197000000003,4.707197000000003,4.707197000000003,4.707197000000003,4.707197000000003,4.707197000000003
2319,"New Orleans-Metairie-Kenner, LA Metro Area-Rail",2009,1,21,4.714219999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.714219999999999,4.714219999999999,4.714219999999999,4.714219999999999,4.714219999999999,4.714219999999999
2320,"New Orleans-Metairie-Kenner, LA Metro Area-Rail",2010,1,21,5.930572000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.930572000000001,5.930572000000001,5.930572000000001,5.930572000000001,5.930572000000001,5.930572000000001
2321,"New Orleans-Metairie-Kenner, LA Metro Area-Rail",2011,1,21,6.601075999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.601075999999996,6.601075999999996,6.601075999999996,6.601075999999996,6.601075999999996,6.601075999999996
2322,"New Orleans-Metairie-Kenner, LA Metro Area-Rail",2012,1,21,7.227551999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.227551999999993,7.227551999999993,7.227551999999993,7.227551999999993,7.227551999999993,7.227551999999993
2323,"New Orleans-Metairie-Kenner, LA Metro Area-Rail",2013,1,21,8.648646,249856.61081394972,43418.3330256803,32784.900146912936,-24285.230857145907,-36008.66318012085,0.0,0.24985661081394972,0.0434183330256803,0.03278490014691294,-0.024285230857145908,-0.03600866318012085,0.0,8.39878938918605,8.605227666974319,8.615861099853086,8.672931230857145,8.68465466318012,8.648646
2324,"New Orleans-Metairie-Kenner, LA Metro Area-Rail",2014,1,21,7.455769000000003,955829.8445901056,38613.84979739835,-147577.6429786473,-20047.743737607394,-61802.7861730598,0.0,1.2056864554040554,0.08203218282307864,-0.11479274283173437,-0.0443329745947533,-0.09781144935318065,0.0,6.250082544595948,7.373736817176924,7.570561742831737,7.500101974594756,7.553580449353183,7.455769000000003
2325,"New Orleans-Metairie-Kenner, LA Metro Area-Rail",2015,1,21,7.280191999999998,-300485.0320489754,24977.367022216004,-27378.46432018969,-65488.93245881712,-278171.8880445832,0.0,0.9052014233550799,0.10700954984529465,-0.14217120715192405,-0.10982190705357042,-0.37598333739776385,0.0,6.374990576644918,7.1731824501547035,7.422363207151922,7.390013907053568,7.6561753373977615,7.280191999999998
2326,"New Orleans-Metairie-Kenner, LA Metro Area-Rail",2016,1,21,8.073359999999994,1169139.5102249095,3629.1838867074025,66931.90382454242,-27343.128101899616,-80786.16869174285,-164804.3575901428,2.0743409335799896,0.11063873373200205,-0.07523930332738164,-0.13716503515547004,-0.45676950608950667,-0.1648043575901428,5.999019066420004,7.962721266267992,8.148599303327375,8.210525035155463,8.5301295060895,8.238164357590136
2327,"New Orleans-Metairie-Kenner, LA Metro Area-Rail",2017,1,21,8.096078999999994,231734.01964792368,-12500.416223647782,102929.63727666128,-13791.269384351814,77042.30075931137,-269797.0321988583,2.3060749532279132,0.09813831750835426,0.027690333949279635,-0.15095630453982187,-0.3797272053301953,-0.4346013897890011,5.790004046772081,7.99794068249164,8.068388666050714,8.247035304539816,8.475806205330189,8.530680389788996
2328,"New Orleans-Metairie-Kenner, LA Metro Area-Rail",2018,1,21,7.745942000000004,-111593.39159430956,26692.19560945766,-39546.03054067215,-20306.57461537428,78833.63612759304,-183273.8887372813,2.1944815616336038,0.12483051311781192,-0.011855696591392515,-0.17126287915519614,-0.30089356920260224,-0.6178752785262824,5.5514604383664,7.621111486882192,7.757797696591396,7.9172048791552,8.046835569202607,8.363817278526286
