,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
2503,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2002,0,34,1.368144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.368144,1.368144,1.368144,1.368144,1.368144,1.368144
2504,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2003,0,34,1.3954939999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3954939999999991,1.3954939999999991,1.3954939999999991,1.3954939999999991,1.3954939999999991,1.3954939999999991
2505,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2004,0,34,1.4067019999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4067019999999988,1.4067019999999988,1.4067019999999988,1.4067019999999988,1.4067019999999988,1.4067019999999988
2506,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2005,0,34,1.193418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.193418,1.193418,1.193418,1.193418,1.193418,1.193418
2507,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2006,0,34,1.0922339999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0922339999999993,1.0922339999999993,1.0922339999999993,1.0922339999999993,1.0922339999999993,1.0922339999999993
2508,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2007,0,34,1.0492369999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0492369999999993,1.0492369999999993,1.0492369999999993,1.0492369999999993,1.0492369999999993,1.0492369999999993
2509,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2008,0,34,1.1188689999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1188689999999994,1.1188689999999994,1.1188689999999994,1.1188689999999994,1.1188689999999994,1.1188689999999994
2510,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2009,0,34,1.1091469999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1091469999999994,1.1091469999999994,1.1091469999999994,1.1091469999999994,1.1091469999999994,1.1091469999999994
2511,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2010,0,34,1.1637100000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1637100000000007,1.1637100000000007,1.1637100000000007,1.1637100000000007,1.1637100000000007,1.1637100000000007
2512,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2011,0,34,1.341654000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.341654000000001,1.341654000000001,1.341654000000001,1.341654000000001,1.341654000000001,1.341654000000001
2513,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2012,0,34,1.5018999999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5018999999999991,1.5018999999999991,1.5018999999999991,1.5018999999999991,1.5018999999999991,1.5018999999999991
2514,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2013,0,34,1.5152370000000002,-11593.062620449782,7392.736193459274,-20233.426443898017,-13123.887435248005,-5875.374606197138,0.0,-0.011593062620449781,0.007392736193459273,-0.020233426443898018,-0.013123887435248005,-0.005875374606197138,0.0,1.5268300626204498,1.5078442638065408,1.535470426443898,1.5283608874352481,1.5211123746061974,1.5152370000000002
2515,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2014,0,34,1.4710960000000004,-31.238792041310315,1488.8623937665166,-2874.81892395265,-8259.09281929284,-9089.15479370683,0.0,-0.011624301412491093,0.00888159858722579,-0.02310824536785067,-0.021382980254540846,-0.014964529399903968,0.0,1.4827203014124914,1.4622144014127747,1.494204245367851,1.4924789802545413,1.4860605293999043,1.4710960000000004
2516,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2015,0,34,1.4351760000000007,-7832.002968383193,-164.5306864380118,242585.41045225185,13607.345903362919,-54020.20776038804,-48934.16270319345,-0.019456304380874288,0.008717067900787776,0.21947716508440118,-0.007775634351177927,-0.068984737160292,-0.048934162703193444,1.4546323043808749,1.426458932099213,1.2156988349155995,1.4429516343511786,1.5041607371602927,1.484110162703194
2517,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2016,0,34,1.4215940000000002,23592.70917003625,4896.778745594642,22700.64545934441,-5536.2381376322155,-13947.897817894544,-47739.32897086143,0.004136404789161963,0.013613846646382419,0.24217781054374557,-0.013311872488810142,-0.08293263497818654,-0.09667349167405488,1.4174575952108384,1.4079801533536178,1.1794161894562547,1.4349058724888104,1.5045266349781867,1.518267491674055
2518,"Pensacola-Ferry Pass-Brent, FL Metro Area-Bus",2017,0,34,1.4507649999999999,29764.20316704847,4253.520795250019,7290.866895038896,19488.46862013846,11308.638493242735,-47287.5407817597,0.03390060795621043,0.017867367441632434,0.24946867743878448,0.006176596131328318,-0.07162399648494382,-0.1439610324558146,1.4168643920437893,1.4328976325583673,1.2012963225612154,1.4445884038686716,1.5223889964849437,1.5947260324558146
