,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
3651,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2004,0,10,179.22522299999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.22522299999986,179.22522299999986,179.22522299999986,179.22522299999986,179.22522299999986,179.22522299999986
3652,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2005,0,10,170.97646199999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.97646199999983,170.97646199999983,170.97646199999983,170.97646199999983,170.97646199999983,170.97646199999983
3653,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2006,0,10,180.19554700000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.19554700000015,180.19554700000015,180.19554700000015,180.19554700000015,180.19554700000015,180.19554700000015
3654,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2007,0,10,181.0694730000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0694730000001,181.0694730000001,181.0694730000001,181.0694730000001,181.0694730000001,181.0694730000001
3655,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2008,0,10,187.50919200000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.50919200000013,187.50919200000013,187.50919200000013,187.50919200000013,187.50919200000013,187.50919200000013
3656,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2009,0,10,180.2386359999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.2386359999997,180.2386359999997,180.2386359999997,180.2386359999997,180.2386359999997,180.2386359999997
3657,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2010,0,10,172.45101400000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.45101400000013,172.45101400000013,172.45101400000013,172.45101400000013,172.45101400000013,172.45101400000013
3658,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2011,0,10,182.90656300000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.90656300000035,182.90656300000035,182.90656300000035,182.90656300000035,182.90656300000035,182.90656300000035
3659,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2012,0,10,186.30224799999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.30224799999974,186.30224799999974,186.30224799999974,186.30224799999974,186.30224799999974,186.30224799999974
3660,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area-Bus",2013,0,10,188.43736399999986,2412208.6772324056,760167.7838546796,-2526284.963030208,47451.43806423441,-728807.1755620484,-3580457.7359040217,2.412208677232406,0.7601677838546795,-2.526284963030208,0.04745143806423441,-0.7288071755620484,-3.5804577359040217,186.02515532276746,187.67719621614518,190.96364896303007,188.38991256193563,189.1661711755619,192.01782173590388
