,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
240,"Austin-Round Rock-San Marcos, TX Metro Area-Bus",2003,0,23,35.006185000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.006185000000016,35.006185000000016,35.006185000000016,35.006185000000016,35.006185000000016,35.006185000000016,35.006185000000016,35.006185000000016,35.006185000000016,35.006185000000016,35.006185000000016,35.006185000000016
241,"Austin-Round Rock-San Marcos, TX Metro Area-Bus",2004,0,23,34.553399999999975,-444102.7961645666,0.0,-362811.995598582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.553399999999975,34.553399999999975,34.553399999999975,34.553399999999975,34.553399999999975,34.553399999999975,34.553399999999975,34.553399999999975,34.553399999999975,34.553399999999975,34.553399999999975,34.553399999999975
242,"Austin-Round Rock-San Marcos, TX Metro Area-Bus",2005,0,23,33.48823799999997,-286955.49167767493,0.0,-441722.8502641526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.48823799999997,33.48823799999997,33.48823799999997,33.48823799999997,33.48823799999997,33.48823799999997,33.48823799999997,33.48823799999997,33.48823799999997,33.48823799999997,33.48823799999997,33.48823799999997
243,"Austin-Round Rock-San Marcos, TX Metro Area-Bus",2006,0,23,34.03912900000002,-257765.75334031825,0.0,-264277.1814256313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.03912900000002,34.03912900000002,34.03912900000002,34.03912900000002,34.03912900000002,34.03912900000002,34.03912900000002,34.03912900000002,34.03912900000002,34.03912900000002,34.03912900000002,34.03912900000002
244,"Austin-Round Rock-San Marcos, TX Metro Area-Bus",2007,0,23,34.57982499999995,673949.1898090262,0.0,-3012617.7084020497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.57982499999995,34.57982499999995,34.57982499999995,34.57982499999995,34.57982499999995,34.57982499999995,34.57982499999995,34.57982499999995,34.57982499999995,34.57982499999995,34.57982499999995,34.57982499999995
245,"Austin-Round Rock-San Marcos, TX Metro Area-Bus",2008,0,23,37.094423999999975,356934.35130073706,0.0,-74067.45825900802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.094423999999975,37.094423999999975,37.094423999999975,37.094423999999975,37.094423999999975,37.094423999999975,37.094423999999975,37.094423999999975,37.094423999999975,37.094423999999975,37.094423999999975,37.094423999999975
246,"Austin-Round Rock-San Marcos, TX Metro Area-Bus",2009,0,23,33.203162000000006,-670531.9691089757,0.0,-1089969.396835973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.203162000000006,33.203162000000006,33.203162000000006,33.203162000000006,33.203162000000006,33.203162000000006,33.203162000000006,33.203162000000006,33.203162000000006,33.203162000000006,33.203162000000006,33.203162000000006
247,"Austin-Round Rock-San Marcos, TX Metro Area-Bus",2010,0,23,32.78206100000004,-322713.27368252794,0.0,-299527.9914881136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.78206100000004,32.78206100000004,32.78206100000004,32.78206100000004,32.78206100000004,32.78206100000004,32.78206100000004,32.78206100000004,32.78206100000004,32.78206100000004,32.78206100000004,32.78206100000004
248,"Austin-Round Rock-San Marcos, TX Metro Area-Bus",2011,0,23,32.67867300000001,114386.38821323607,0.0,-550161.9240590924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.67867300000001,32.67867300000001,32.67867300000001,32.67867300000001,32.67867300000001,32.67867300000001,32.67867300000001,32.67867300000001,32.67867300000001,32.67867300000001,32.67867300000001,32.67867300000001
249,"Austin-Round Rock-San Marcos, TX Metro Area-Bus",2012,0,23,35.22006699999998,88461.38892542283,0.0,131413.5867337956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.22006699999998,35.22006699999998,35.22006699999998,35.22006699999998,35.22006699999998,35.22006699999998,35.22006699999998,35.22006699999998,35.22006699999998,35.22006699999998,35.22006699999998,35.22006699999998
