,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
534,"Brownsville-Harlingen, TX Metro Area-Bus",2005,0,32,1.2202019999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2202019999999993,1.2202019999999993,1.2202019999999993,1.2202019999999993,1.2202019999999993,1.2202019999999993,1.2202019999999993,1.2202019999999993,1.2202019999999993,1.2202019999999993,1.2202019999999993,1.2202019999999993
535,"Brownsville-Harlingen, TX Metro Area-Bus",2006,0,32,1.8434290000000007,272799.38805317634,0.0,131312.5028374831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8434290000000007,1.8434290000000007,1.8434290000000007,1.8434290000000007,1.8434290000000007,1.8434290000000007,1.8434290000000007,1.8434290000000007,1.8434290000000007,1.8434290000000007,1.8434290000000007,1.8434290000000007
536,"Brownsville-Harlingen, TX Metro Area-Bus",2007,0,32,1.7126099999999989,15441.35354561002,0.0,981.8570559062877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7126099999999989,1.7126099999999989,1.7126099999999989,1.7126099999999989,1.7126099999999989,1.7126099999999989,1.7126099999999989,1.7126099999999989,1.7126099999999989,1.7126099999999989,1.7126099999999989,1.7126099999999989
537,"Brownsville-Harlingen, TX Metro Area-Bus",2008,0,32,1.5869559999999996,-65226.78327016181,0.0,-14791.652372465787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5869559999999996,1.5869559999999996,1.5869559999999996,1.5869559999999996,1.5869559999999996,1.5869559999999996,1.5869559999999996,1.5869559999999996,1.5869559999999996,1.5869559999999996,1.5869559999999996,1.5869559999999996
538,"Brownsville-Harlingen, TX Metro Area-Bus",2009,0,32,1.5752849999999996,64792.8267869682,0.0,33256.50929668993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5752849999999996,1.5752849999999996,1.5752849999999996,1.5752849999999996,1.5752849999999996,1.5752849999999996,1.5752849999999996,1.5752849999999996,1.5752849999999996,1.5752849999999996,1.5752849999999996,1.5752849999999996
539,"Brownsville-Harlingen, TX Metro Area-Bus",2010,0,32,1.4502509999999988,-52032.81493086151,0.0,23234.27932033908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4502509999999988,1.4502509999999988,1.4502509999999988,1.4502509999999988,1.4502509999999988,1.4502509999999988,1.4502509999999988,1.4502509999999988,1.4502509999999988,1.4502509999999988,1.4502509999999988,1.4502509999999988
540,"Brownsville-Harlingen, TX Metro Area-Bus",2011,0,32,1.7339649999999998,95394.91494907168,0.0,41224.81700222809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7339649999999998,1.7339649999999998,1.7339649999999998,1.7339649999999998,1.7339649999999998,1.7339649999999998,1.7339649999999998,1.7339649999999998,1.7339649999999998,1.7339649999999998,1.7339649999999998,1.7339649999999998
541,"Brownsville-Harlingen, TX Metro Area-Bus",2012,0,32,1.8240490000000007,-26060.60808295732,0.0,5114.726493156594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8240490000000007,1.8240490000000007,1.8240490000000007,1.8240490000000007,1.8240490000000007,1.8240490000000007,1.8240490000000007,1.8240490000000007,1.8240490000000007,1.8240490000000007,1.8240490000000007,1.8240490000000007
542,"Brownsville-Harlingen, TX Metro Area-Bus",2013,0,32,1.7227719999999995,73293.97234757752,0.0,-29524.186649820957,0.0,2097.338548282535,-528.8884399750625,-9087.664269317793,-2122.000464264094,-7218.08252598852,-6962.097286208376,0.0,0.0,0.0,0.0,0.0,0.0,-119588.02660343375,73293.97234757752,-29524.186649820957,0.0,0.002097338548282535,-0.0005288884399750625,-0.009087664269317793,-0.002122000464264094,-0.00721808252598852,-0.006962097286208376,0.0,0.0,-0.11958802660343376,0.07329397234757752,-0.029524186649820955,0.0,1.720674661451717,1.7233008884399745,1.7318596642693174,1.7248940004642637,1.729990082525988,1.7297340972862079,1.7227719999999995,1.7227719999999995,1.8423600266034332,1.649478027652422,1.7522961866498206,1.7227719999999995
543,"Brownsville-Harlingen, TX Metro Area-Bus",2014,0,32,1.6993659999999993,415195.24255272193,0.0,10509.031615743412,0.0,3418.6669014984136,-4628.342635282665,-12310.841435865748,746.5483901577303,-2344.3471266267006,-2633.2336810090487,0.0,0.0,0.0,0.0,0.0,0.0,-429521.77322999085,415195.24255272193,10509.031615743412,0.0,0.005516005449780949,-0.005157231075257727,-0.021398505705183538,-0.0013754520741063635,-0.009562429652615221,-0.009595330967217425,0.0,0.0,-0.5491097998334247,0.48848921490029945,-0.01901515503407754,0.0,1.6938499945502183,1.704523231075257,1.7207645057051828,1.7007414520741055,1.7089284296526144,1.7089613309672167,1.6993659999999993,1.6993659999999993,2.248475799833424,1.2108767850996998,1.7183811550340768,1.6993659999999993
