,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_BUS_log_FAC,VRM_ADJ_RAIL_log_FAC,FARE_per_UPT_cleaned_2018_BUS_log_FAC,FARE_per_UPT_cleaned_2018_RAIL_log_FAC,POP_EMP_log_FAC,TSD_POP_EMP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_HINY_FAC,YEARS_SINCE_TNC_BUS_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_HINY_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC,FARE_per_UPT_cleaned_2018_log_FAC,YEARS_SINCE_TNC,POP_EMP_log_FAC_cumsum,TSD_POP_EMP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,YEARS_SINCE_TNC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_EMP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_cumsum
1473,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2002,0,23,15.341472999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.341472999999983,15.341472999999983,15.341472999999983,15.341472999999983,15.341472999999983,15.341472999999983,15.341472999999983,15.341472999999983,15.341472999999983,15.341472999999983,15.341472999999983,15.341472999999983
1474,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2003,0,23,14.676362000000026,-162704.80871004506,0.0,195532.14190171528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.676362000000026,14.676362000000026,14.676362000000026,14.676362000000026,14.676362000000026,14.676362000000026,14.676362000000026,14.676362000000026,14.676362000000026,14.676362000000026,14.676362000000026,14.676362000000026
1475,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2004,0,23,13.599350999999997,-75858.30369960584,0.0,-315118.8803191193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.599350999999997,13.599350999999997,13.599350999999997,13.599350999999997,13.599350999999997,13.599350999999997,13.599350999999997,13.599350999999997,13.599350999999997,13.599350999999997,13.599350999999997,13.599350999999997
1476,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2005,0,23,13.853440000000012,98.42573271117595,0.0,-3870.331103715306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.853440000000012,13.853440000000012,13.853440000000012,13.853440000000012,13.853440000000012,13.853440000000012,13.853440000000012,13.853440000000012,13.853440000000012,13.853440000000012,13.853440000000012,13.853440000000012
1477,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2006,0,23,14.629418999999997,24095.49952968529,0.0,-53902.97470307992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.629418999999997,14.629418999999997,14.629418999999997,14.629418999999997,14.629418999999997,14.629418999999997,14.629418999999997,14.629418999999997,14.629418999999997,14.629418999999997,14.629418999999997,14.629418999999997
1478,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2007,0,23,14.780113000000007,124304.94016995357,0.0,115196.87184068467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.780113000000007,14.780113000000007,14.780113000000007,14.780113000000007,14.780113000000007,14.780113000000007,14.780113000000007,14.780113000000007,14.780113000000007,14.780113000000007,14.780113000000007,14.780113000000007
1479,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2008,0,23,15.380997000000011,80294.91848376184,0.0,200284.48021436852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.380997000000011,15.380997000000011,15.380997000000011,15.380997000000011,15.380997000000011,15.380997000000011,15.380997000000011,15.380997000000011,15.380997000000011,15.380997000000011,15.380997000000011,15.380997000000011
1480,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2009,0,23,14.498771999999988,15363.5431333587,0.0,-397226.7307470557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.498771999999988,14.498771999999988,14.498771999999988,14.498771999999988,14.498771999999988,14.498771999999988,14.498771999999988,14.498771999999988,14.498771999999988,14.498771999999988,14.498771999999988,14.498771999999988
1481,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2010,0,23,15.036099999999992,-54276.94487351001,0.0,309505.0594053651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.036099999999992,15.036099999999992,15.036099999999992,15.036099999999992,15.036099999999992,15.036099999999992,15.036099999999992,15.036099999999992,15.036099999999992,15.036099999999992,15.036099999999992,15.036099999999992
1482,"Hartford-West Hartford-East Hartford, CT Metro Area-Bus",2011,0,23,15.655976000000006,-289626.08537370065,0.0,111538.4909128736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.655976000000006,15.655976000000006,15.655976000000006,15.655976000000006,15.655976000000006,15.655976000000006,15.655976000000006,15.655976000000006,15.655976000000006,15.655976000000006,15.655976000000006,15.655976000000006
