,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
425,"Bloomington, IN Metro Area-Bus",2002,0,31,1.3604759999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3604759999999998,1.3604759999999998,1.3604759999999998,1.3604759999999998,1.3604759999999998,1.3604759999999998
426,"Bloomington, IN Metro Area-Bus",2003,0,31,2.0411749999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0411749999999995,2.0411749999999995,2.0411749999999995,2.0411749999999995,2.0411749999999995,2.0411749999999995
427,"Bloomington, IN Metro Area-Bus",2004,0,31,2.026895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.026895,2.026895,2.026895,2.026895,2.026895,2.026895
428,"Bloomington, IN Metro Area-Bus",2005,0,31,2.1485610000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1485610000000013,2.1485610000000013,2.1485610000000013,2.1485610000000013,2.1485610000000013,2.1485610000000013
429,"Bloomington, IN Metro Area-Bus",2006,0,31,2.3635239999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3635239999999986,2.3635239999999986,2.3635239999999986,2.3635239999999986,2.3635239999999986,2.3635239999999986
430,"Bloomington, IN Metro Area-Bus",2007,0,31,2.5649270000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5649270000000004,2.5649270000000004,2.5649270000000004,2.5649270000000004,2.5649270000000004,2.5649270000000004
431,"Bloomington, IN Metro Area-Bus",2008,0,31,2.8302199999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8302199999999997,2.8302199999999997,2.8302199999999997,2.8302199999999997,2.8302199999999997,2.8302199999999997
432,"Bloomington, IN Metro Area-Bus",2009,0,31,3.027877000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.027877000000001,3.027877000000001,3.027877000000001,3.027877000000001,3.027877000000001,3.027877000000001
433,"Bloomington, IN Metro Area-Bus",2010,0,31,3.2383910000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2383910000000014,3.2383910000000014,3.2383910000000014,3.2383910000000014,3.2383910000000014,3.2383910000000014
434,"Bloomington, IN Metro Area-Bus",2011,0,31,3.3856090000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3856090000000014,3.3856090000000014,3.3856090000000014,3.3856090000000014,3.3856090000000014,3.3856090000000014
