,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
596,"Canton-Massillon, OH Metro Area-Bus",2007,0,31,2.1066910000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1066910000000005,2.1066910000000005,2.1066910000000005,2.1066910000000005,2.1066910000000005,2.1066910000000005
597,"Canton-Massillon, OH Metro Area-Bus",2008,0,31,2.2963529999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2963529999999985,2.2963529999999985,2.2963529999999985,2.2963529999999985,2.2963529999999985,2.2963529999999985
598,"Canton-Massillon, OH Metro Area-Bus",2009,0,31,2.018437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.018437,2.018437,2.018437,2.018437,2.018437,2.018437
599,"Canton-Massillon, OH Metro Area-Bus",2010,0,31,1.9730940000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9730940000000017,1.9730940000000017,1.9730940000000017,1.9730940000000017,1.9730940000000017,1.9730940000000017
600,"Canton-Massillon, OH Metro Area-Bus",2011,0,31,2.3020350000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3020350000000014,2.3020350000000014,2.3020350000000014,2.3020350000000014,2.3020350000000014,2.3020350000000014
601,"Canton-Massillon, OH Metro Area-Bus",2012,0,31,2.510845999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.510845999999999,2.510845999999999,2.510845999999999,2.510845999999999,2.510845999999999,2.510845999999999
602,"Canton-Massillon, OH Metro Area-Bus",2013,0,31,2.5446519999999997,44399.45166240122,4020.6844093958894,-40406.91865965444,18655.964904327877,-9836.817428431375,0.0,0.04439945166240122,0.00402068440939589,-0.040406918659654435,0.018655964904327877,-0.009836817428431375,0.0,2.5002525483375986,2.5406313155906037,2.585058918659654,2.525996035095672,2.5544888174284313,2.5446519999999997
603,"Canton-Massillon, OH Metro Area-Bus",2014,0,31,2.653251000000001,15182.942201804522,4002.244758358177,-36530.67007650828,-12717.216067620615,-18635.77928397841,0.0,0.05958239386420574,0.008022929167754066,-0.07693758873616273,0.005938748836707262,-0.028472596712409783,0.0,2.593668606135795,2.6452280708322466,2.7301885887361634,2.6473122511632936,2.681723596712411,2.653251000000001
604,"Canton-Massillon, OH Metro Area-Bus",2015,0,31,2.5344620000000004,5572.571510837608,-3813.2276737674483,-27947.093583857448,-21911.934810152743,-94290.1270711594,-116861.28726955321,0.06515496537504335,0.004209701493986618,-0.10488468232002017,-0.01597318597344548,-0.12276272378356917,-0.11686128726955321,2.4693070346249573,2.5302522985060136,2.6393466823200207,2.5504351859734458,2.6572247237835698,2.6513232872695536
605,"Canton-Massillon, OH Metro Area-Bus",2016,0,31,2.3336499999999987,903.072971876822,-353.8901340597022,22713.514929383644,-22035.336064397856,-30442.03259967261,-84305.6985220958,0.06605803834692017,0.0038558113599269153,-0.08217116739063653,-0.038008522037843336,-0.1532047563832418,-0.20116698579164902,2.2675919616530784,2.3297941886400717,2.4158211673906353,2.371658522037842,2.4868547563832406,2.5348169857916476
606,"Canton-Massillon, OH Metro Area-Bus",2017,0,31,2.253942999999999,5871.006772105292,365.9770040779018,17995.56314691515,3591.746023629916,20087.034318114063,-77625.93929444936,0.07192904511902547,0.004221788364004817,-0.06417560424372139,-0.03441677601421342,-0.13311772206512776,-0.2787929250860984,2.182013954880974,2.249721211635994,2.3181186042437205,2.2883597760142127,2.3870607220651268,2.5327359250860977
607,"Canton-Massillon, OH Metro Area-Bus",2018,0,31,2.2826890000000017,25127.33253443093,-1641.77434193606,59470.2103689548,-2981.811913642413,23702.5739893614,-74974.58594525704,0.0970563776534564,0.0025800140220687577,-0.004705393874766582,-0.03739858792785584,-0.10941514807576634,-0.3537675110313554,2.1856326223465454,2.280108985977933,2.2873943938747683,2.3200875879278575,2.392104148075768,2.636456511031357
