,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
872,"Columbus, OH Metro Area-Bus",2002,0,24,16.274593000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.274593000000007,16.274593000000007,16.274593000000007,16.274593000000007,16.274593000000007,16.274593000000007
873,"Columbus, OH Metro Area-Bus",2003,0,24,15.61495000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.61495000000002,15.61495000000002,15.61495000000002,15.61495000000002,15.61495000000002,15.61495000000002
874,"Columbus, OH Metro Area-Bus",2004,0,24,14.873603999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.873603999999983,14.873603999999983,14.873603999999983,14.873603999999983,14.873603999999983,14.873603999999983
875,"Columbus, OH Metro Area-Bus",2005,0,24,14.859079000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.859079000000007,14.859079000000007,14.859079000000007,14.859079000000007,14.859079000000007,14.859079000000007
876,"Columbus, OH Metro Area-Bus",2006,0,24,14.79795100000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.79795100000002,14.79795100000002,14.79795100000002,14.79795100000002,14.79795100000002,14.79795100000002
877,"Columbus, OH Metro Area-Bus",2007,0,24,14.880268999999979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.880268999999979,14.880268999999979,14.880268999999979,14.880268999999979,14.880268999999979,14.880268999999979
878,"Columbus, OH Metro Area-Bus",2008,0,24,16.429076999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.429076999999978,16.429076999999978,16.429076999999978,16.429076999999978,16.429076999999978,16.429076999999978
879,"Columbus, OH Metro Area-Bus",2009,0,24,16.640306000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.640306000000017,16.640306000000017,16.640306000000017,16.640306000000017,16.640306000000017,16.640306000000017
880,"Columbus, OH Metro Area-Bus",2010,0,24,17.034878000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.034878000000027,17.034878000000027,17.034878000000027,17.034878000000027,17.034878000000027,17.034878000000027
881,"Columbus, OH Metro Area-Bus",2011,0,24,18.764046999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.764046999999977,18.764046999999977,18.764046999999977,18.764046999999977,18.764046999999977,18.764046999999977
