,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
889,"Corpus Christi, TX Metro Area-Bus",2003,0,24,4.901387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.901387,4.901387,4.901387,4.901387,4.901387,4.901387
890,"Corpus Christi, TX Metro Area-Bus",2004,0,24,5.361384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.361384,5.361384,5.361384,5.361384,5.361384,5.361384
891,"Corpus Christi, TX Metro Area-Bus",2005,0,24,5.648894999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.648894999999997,5.648894999999997,5.648894999999997,5.648894999999997,5.648894999999997,5.648894999999997
892,"Corpus Christi, TX Metro Area-Bus",2006,0,24,5.302859000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.302859000000002,5.302859000000002,5.302859000000002,5.302859000000002,5.302859000000002,5.302859000000002
893,"Corpus Christi, TX Metro Area-Bus",2007,0,24,4.956945999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.956945999999995,4.956945999999995,4.956945999999995,4.956945999999995,4.956945999999995,4.956945999999995
894,"Corpus Christi, TX Metro Area-Bus",2008,0,24,5.226909000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.226909000000004,5.226909000000004,5.226909000000004,5.226909000000004,5.226909000000004,5.226909000000004
895,"Corpus Christi, TX Metro Area-Bus",2009,0,24,5.0957890000000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0957890000000035,5.0957890000000035,5.0957890000000035,5.0957890000000035,5.0957890000000035,5.0957890000000035
896,"Corpus Christi, TX Metro Area-Bus",2010,0,24,5.225271000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.225271000000003,5.225271000000003,5.225271000000003,5.225271000000003,5.225271000000003,5.225271000000003
897,"Corpus Christi, TX Metro Area-Bus",2011,0,24,5.7373290000000035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7373290000000035,5.7373290000000035,5.7373290000000035,5.7373290000000035,5.7373290000000035,5.7373290000000035
898,"Corpus Christi, TX Metro Area-Bus",2012,0,24,5.765135000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.765135000000001,5.765135000000001,5.765135000000001,5.765135000000001,5.765135000000001,5.765135000000001
899,"Corpus Christi, TX Metro Area-Bus",2013,0,24,5.728789000000001,13707.275300015695,13446.403334936937,-12409.21641623506,-11361.795281558883,-28722.699525776672,0.0,0.013707275300015696,0.013446403334936937,-0.01240921641623506,-0.011361795281558883,-0.028722699525776673,0.0,5.715081724699985,5.715342596665064,5.741198216416236,5.74015079528156,5.757511699525778,5.728789000000001
900,"Corpus Christi, TX Metro Area-Bus",2014,0,24,5.6507540000000045,221368.7102686912,-29837.93129766066,-47401.88537268688,23902.92402670446,-40937.63597187088,0.0,0.2350759855687069,-0.016391527962723727,-0.05981110178892193,0.012541128745145576,-0.06966033549764755,0.0,5.415678014431298,5.667145527962728,5.7105651017889265,5.638212871254859,5.720414335497652,5.6507540000000045
901,"Corpus Christi, TX Metro Area-Bus",2015,0,24,5.472836000000004,98092.60562342632,12612.185253033975,-27553.579774000413,-29968.844359301056,-210827.46917930013,-187965.2419908159,0.33316859119213327,-0.0037793427096897503,-0.08736468156292235,-0.01742771561415548,-0.28048780467694767,-0.1879652419908159,5.13966740880787,5.476615342709693,5.560200681562926,5.490263715614159,5.753323804676951,5.66080124199082
