,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
1225,"Evansville, IN-KY Metro Area-Bus",2002,0,34,1.4764650000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4764650000000008,1.4764650000000008,1.4764650000000008,1.4764650000000008,1.4764650000000008,1.4764650000000008
1226,"Evansville, IN-KY Metro Area-Bus",2003,0,34,1.46857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.46857,1.46857,1.46857,1.46857,1.46857,1.46857
1227,"Evansville, IN-KY Metro Area-Bus",2004,0,34,1.4630790000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4630790000000007,1.4630790000000007,1.4630790000000007,1.4630790000000007,1.4630790000000007,1.4630790000000007
1228,"Evansville, IN-KY Metro Area-Bus",2005,0,34,1.5858939999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5858939999999997,1.5858939999999997,1.5858939999999997,1.5858939999999997,1.5858939999999997,1.5858939999999997
1229,"Evansville, IN-KY Metro Area-Bus",2006,0,34,1.5930810000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5930810000000004,1.5930810000000004,1.5930810000000004,1.5930810000000004,1.5930810000000004,1.5930810000000004
1230,"Evansville, IN-KY Metro Area-Bus",2007,0,34,1.6876170000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6876170000000013,1.6876170000000013,1.6876170000000013,1.6876170000000013,1.6876170000000013,1.6876170000000013
1231,"Evansville, IN-KY Metro Area-Bus",2008,0,34,1.838936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.838936,1.838936,1.838936,1.838936,1.838936,1.838936
1232,"Evansville, IN-KY Metro Area-Bus",2009,0,34,1.831479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.831479,1.831479,1.831479,1.831479,1.831479,1.831479
1233,"Evansville, IN-KY Metro Area-Bus",2010,0,34,1.970837000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.970837000000001,1.970837000000001,1.970837000000001,1.970837000000001,1.970837000000001,1.970837000000001
1234,"Evansville, IN-KY Metro Area-Bus",2011,0,34,2.0014989999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0014989999999995,2.0014989999999995,2.0014989999999995,2.0014989999999995,2.0014989999999995,2.0014989999999995
1235,"Evansville, IN-KY Metro Area-Bus",2012,0,34,2.043247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.043247,2.043247,2.043247,2.043247,2.043247,2.043247
1236,"Evansville, IN-KY Metro Area-Bus",2013,0,34,1.8808710000000008,-52995.14888760542,-38690.18600167399,-85033.94269011506,-45.92936463133606,-8004.890662426184,0.0,-0.05299514888760542,-0.03869018600167399,-0.08503394269011506,-4.592936463133606e-05,-0.008004890662426184,0.0,1.9338661488876063,1.9195611860016748,1.9659049426901158,1.8809169293646322,1.888875890662427,1.8808710000000008
1237,"Evansville, IN-KY Metro Area-Bus",2014,0,34,2.068991000000002,22469.99750893051,443.9606069816573,49117.93726488961,1744.2876344364536,-13774.573818988129,0.0,-0.030525151378674908,-0.03824622539469233,-0.035916005425225446,0.0016983582698051176,-0.02177946448141431,0.0,2.0995161513786766,2.107237225394694,2.1049070054252272,2.0672926417301967,2.090770464481416,2.068991000000002
1238,"Evansville, IN-KY Metro Area-Bus",2015,0,34,1.9740790000000008,-7071.588532767567,5459.301357080379,-17268.345896004477,11650.022553820512,-73526.93895115284,0.0,-0.037596739911442474,-0.03278692403761195,-0.05318435132122993,0.01334838082362563,-0.09530640343256715,0.0,2.011675739911443,2.0068659240376125,2.027263351321231,1.9607306191763751,2.069385403432568,1.9740790000000008
1239,"Evansville, IN-KY Metro Area-Bus",2016,0,34,1.7568729999999997,-49153.29218661218,2449.609334210029,-31654.73220276828,-1527.427539676578,-23711.137619080157,-21282.19055627113,-0.08675003209805465,-0.03033731470340192,-0.08483908352399822,0.011820953283949054,-0.1190175410516473,-0.02128219055627113,1.8436230320980544,1.7872103147034015,1.841712083523998,1.7450520467160506,1.875890541051647,1.778155190556271
1240,"Evansville, IN-KY Metro Area-Bus",2017,0,34,1.494212,-40929.45940805101,-1252.8885150604215,-42356.09712208252,-15731.785997154677,15122.39120843658,0.0,-0.12767949150610566,-0.03159020321846234,-0.12719518064608074,-0.003910832713205623,-0.10389514984321073,-0.02128219055627113,1.6218914915061058,1.5258022032184624,1.6214071806460808,1.4981228327132057,1.598107149843211,1.5154941905562713
1241,"Evansville, IN-KY Metro Area-Bus",2018,0,34,1.4103830000000002,-5354.600116507999,3925.3894163070663,3675.90945077644,-10452.384814881618,15713.205917714731,-49703.087440292176,-0.13303409162261365,-0.027664813802155276,-0.12351927119530429,-0.014363217528087242,-0.088181943925496,-0.0709852779965633,1.5434170916226138,1.4380478138021555,1.5339022711953045,1.4247462175280874,1.4985649439254962,1.4813682779965636
