,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
1242,"Fargo, ND-MN Metro Area-Bus",2004,0,31,0.891087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.891087,0.891087,0.891087,0.891087,0.891087,0.891087
1243,"Fargo, ND-MN Metro Area-Bus",2005,0,31,1.1489649999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1489649999999996,1.1489649999999996,1.1489649999999996,1.1489649999999996,1.1489649999999996,1.1489649999999996
1244,"Fargo, ND-MN Metro Area-Bus",2006,0,31,1.228157999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.228157999999999,1.228157999999999,1.228157999999999,1.228157999999999,1.228157999999999,1.228157999999999
1245,"Fargo, ND-MN Metro Area-Bus",2007,0,31,1.3270119999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3270119999999999,1.3270119999999999,1.3270119999999999,1.3270119999999999,1.3270119999999999,1.3270119999999999
1246,"Fargo, ND-MN Metro Area-Bus",2008,0,31,1.6116549999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6116549999999987,1.6116549999999987,1.6116549999999987,1.6116549999999987,1.6116549999999987,1.6116549999999987
1247,"Fargo, ND-MN Metro Area-Bus",2009,0,31,1.7690349999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7690349999999988,1.7690349999999988,1.7690349999999988,1.7690349999999988,1.7690349999999988,1.7690349999999988
1248,"Fargo, ND-MN Metro Area-Bus",2010,0,31,1.99697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99697,1.99697,1.99697,1.99697,1.99697,1.99697
1249,"Fargo, ND-MN Metro Area-Bus",2011,0,31,2.0977909999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0977909999999995,2.0977909999999995,2.0977909999999995,2.0977909999999995,2.0977909999999995,2.0977909999999995
1250,"Fargo, ND-MN Metro Area-Bus",2012,0,31,2.039073999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039073999999999,2.039073999999999,2.039073999999999,2.039073999999999,2.039073999999999,2.039073999999999
1251,"Fargo, ND-MN Metro Area-Bus",2013,0,31,2.1344679999999996,56651.02816051828,12780.172994637871,7788.681249096122,23153.004845298936,-7988.5419739248355,0.0,0.056651028160518285,0.012780172994637871,0.007788681249096122,0.023153004845298936,-0.007988541973924835,0.0,2.077816971839481,2.1216878270053616,2.1266793187509037,2.1113149951547006,2.1424565419739245,2.1344679999999996
1252,"Fargo, ND-MN Metro Area-Bus",2014,0,31,2.211614000000001,47754.03661135483,4021.713090166011,3826.466427057795,-14061.392108196862,-15631.793477738733,-23011.31551080929,0.10440506477187311,0.01680188608480388,0.011615147676153917,0.009091612737102074,-0.023620335451663567,-0.02301131551080929,2.107208935228128,2.194812113915197,2.199998852323847,2.2025223872628987,2.2352343354516644,2.2346253155108102
1253,"Fargo, ND-MN Metro Area-Bus",2015,0,31,2.0872039999999994,29541.57115685498,5579.892011013593,1813.6672519049043,-25821.416864629064,-78595.41562119646,0.0,0.1339466359287281,0.022381778095817477,0.01342881492805882,-0.01672980412752699,-0.10221575107286003,-0.02301131551080929,1.9532573640712714,2.064822221904182,2.0737751850719404,2.1039338041275264,2.1894197510728595,2.1102153155108088
1254,"Fargo, ND-MN Metro Area-Bus",2016,0,31,1.931124999999999,1680.109084407005,7488.173719607521,-10486.517622137218,-7884.542239893028,-25069.909199730373,-69428.22231231416,0.1356267450131351,0.029869951815424997,0.002942297305921602,-0.024614346367420017,-0.12728566027259042,-0.09243953782312345,1.7954982549868639,1.901255048184574,1.9281827026940774,1.955739346367419,2.0584106602725893,2.0235645378231224
1255,"Fargo, ND-MN Metro Area-Bus",2017,0,31,1.8731480000000007,40961.19151592784,2573.227713562475,20184.62532780209,-15127.045482517362,16622.275897228814,-64236.45020461232,0.17658793652906296,0.032443179528987474,0.02312692263372369,-0.039741391849937385,-0.11066338437536159,-0.15667598802773577,1.6965600634709377,1.8407048204710132,1.850021077366277,1.9128893918499381,1.9838113843753622,2.0298239880277364
1256,"Fargo, ND-MN Metro Area-Bus",2018,0,31,1.9608929999999984,39424.98343987929,6639.8896767000915,40011.19302861012,-12724.465985935261,19698.115286422228,-62307.9180414884,0.21601291996894223,0.03908306920568756,0.06313811566233381,-0.05246585783587265,-0.09096526908893937,-0.2189839060692242,1.7448800800310562,1.9218099307943108,1.8977548843376646,2.013358857835871,2.051858269088938,2.1798769060692225
