,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
1395,"Green Bay, WI Metro Area-Bus",2006,0,32,1.7021129999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7021129999999987,1.7021129999999987,1.7021129999999987,1.7021129999999987,1.7021129999999987,1.7021129999999987
1396,"Green Bay, WI Metro Area-Bus",2007,0,32,1.6978190000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6978190000000009,1.6978190000000009,1.6978190000000009,1.6978190000000009,1.6978190000000009,1.6978190000000009
1397,"Green Bay, WI Metro Area-Bus",2008,0,32,1.7521060000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7521060000000004,1.7521060000000004,1.7521060000000004,1.7521060000000004,1.7521060000000004,1.7521060000000004
1398,"Green Bay, WI Metro Area-Bus",2009,0,32,1.3543680000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3543680000000011,1.3543680000000011,1.3543680000000011,1.3543680000000011,1.3543680000000011,1.3543680000000011
1399,"Green Bay, WI Metro Area-Bus",2010,0,32,1.3708349999999991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3708349999999991,1.3708349999999991,1.3708349999999991,1.3708349999999991,1.3708349999999991,1.3708349999999991
1400,"Green Bay, WI Metro Area-Bus",2011,0,32,1.5422869999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5422869999999997,1.5422869999999997,1.5422869999999997,1.5422869999999997,1.5422869999999997,1.5422869999999997
1401,"Green Bay, WI Metro Area-Bus",2012,0,32,1.5238379999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5238379999999996,1.5238379999999996,1.5238379999999996,1.5238379999999996,1.5238379999999996,1.5238379999999996
1402,"Green Bay, WI Metro Area-Bus",2013,0,32,1.4824290000000002,-6994.864495821858,-418.79752592757154,6104.663450491005,5554.619491812675,-5969.986290081515,0.0,-0.006994864495821858,-0.00041879752592757156,0.006104663450491005,0.005554619491812675,-0.005969986290081515,0.0,1.489423864495822,1.4828477975259278,1.4763243365495091,1.4768743805081876,1.4883989862900817,1.4824290000000002
1403,"Green Bay, WI Metro Area-Bus",2014,0,32,1.4292050000000007,-16042.53695065812,3390.1905781717355,-43720.97159783027,10219.730137653209,-10856.580643706422,0.0,-0.023037401446479977,0.0029713930522441644,-0.03761630814733927,0.015774349629465882,-0.016826566933787937,0.0,1.4522424014464808,1.4262336069477566,1.46682130814734,1.413430650370535,1.4460315669337886,1.4292050000000007
1404,"Green Bay, WI Metro Area-Bus",2015,0,32,1.3948510000000005,38894.19374654262,4582.533933739298,34636.913555140745,-12838.984669676634,-50790.49100923222,-47540.711147482965,0.015856792300062646,0.007553926985983462,-0.0029793945921985213,0.002935364959789249,-0.06761705794302016,-0.04754071114748296,1.378994207699938,1.387297073014017,1.397830394592199,1.3919156350402113,1.4624680579430207,1.4423917111474835
1405,"Green Bay, WI Metro Area-Bus",2016,0,32,1.323,15091.27548668836,2763.8209127547602,-13301.368484530296,-16154.018389171451,-16753.890811417154,-46397.96844034114,0.03094806778675101,0.010317747898738221,-0.016280763076728818,-0.013218653429382202,-0.0843709487544373,-0.09393867958782409,1.2920519322132489,1.3126822521012618,1.3392807630767287,1.336218653429382,1.4073709487544372,1.416938679587824
1406,"Green Bay, WI Metro Area-Bus",2017,0,32,1.242909999999999,-8939.746544120097,3595.0047528014566,61710.25512851787,1405.2778726069168,11387.80297082464,-44007.93507447842,0.022008321242630913,0.013912752651539679,0.045429492051789054,-0.011813375556775285,-0.07298314578361267,-0.1379466146623025,1.220901678757368,1.2289972473484594,1.19748050794821,1.2547233755567744,1.3158931457836118,1.3808566146623016
1407,"Green Bay, WI Metro Area-Bus",2018,0,32,1.2758350000000005,31275.527371105625,1659.654801477424,48265.90573466394,-2898.4376971867705,13070.501888076658,-54743.430817589535,0.05328384861373654,0.015572407453017101,0.09369539778645299,-0.014711813253962057,-0.05991264389553602,-0.19269004547989205,1.222551151386264,1.2602625925469835,1.1821396022135475,1.2905468132539626,1.3357476438955365,1.4685250454798926
