,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
1708,"Kansas City, MO-KS Metro Area-Bus",2005,0,24,13.898091999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.898091999999993,13.898091999999993,13.898091999999993,13.898091999999993,13.898091999999993,13.898091999999993
1709,"Kansas City, MO-KS Metro Area-Bus",2006,0,24,14.590680000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.590680000000006,14.590680000000006,14.590680000000006,14.590680000000006,14.590680000000006,14.590680000000006
1710,"Kansas City, MO-KS Metro Area-Bus",2007,0,24,15.241794999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.241794999999978,15.241794999999978,15.241794999999978,15.241794999999978,15.241794999999978,15.241794999999978
1711,"Kansas City, MO-KS Metro Area-Bus",2008,0,24,17.141346999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.141346999999985,17.141346999999985,17.141346999999985,17.141346999999985,17.141346999999985,17.141346999999985
1712,"Kansas City, MO-KS Metro Area-Bus",2009,0,24,15.534697999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.534697999999992,15.534697999999992,15.534697999999992,15.534697999999992,15.534697999999992,15.534697999999992
1713,"Kansas City, MO-KS Metro Area-Bus",2010,0,24,15.075655999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.075655999999997,15.075655999999997,15.075655999999997,15.075655999999997,15.075655999999997,15.075655999999997
1714,"Kansas City, MO-KS Metro Area-Bus",2011,0,24,16.016904999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.016904999999994,16.016904999999994,16.016904999999994,16.016904999999994,16.016904999999994,16.016904999999994
1715,"Kansas City, MO-KS Metro Area-Bus",2012,0,24,16.550779000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.550779000000016,16.550779000000016,16.550779000000016,16.550779000000016,16.550779000000016,16.550779000000016
1716,"Kansas City, MO-KS Metro Area-Bus",2013,0,24,16.23996800000002,104377.43726529257,-5589.841214497711,-91115.33595849718,-9.188439604129599,-64841.488216049984,0.0,0.10437743726529257,-0.005589841214497711,-0.09111533595849718,-9.188439604129599e-06,-0.06484148821604999,0.0,16.135590562734727,16.245557841214517,16.331083335958517,16.239977188439624,16.30480948821607,16.23996800000002
1717,"Kansas City, MO-KS Metro Area-Bus",2014,0,24,16.363350999999973,23690.498579497576,10568.837861330721,208595.71731427283,-65837.7169279261,-118933.53559813784,0.0,0.12806793584479015,0.00497899664683301,0.11748038135577565,-0.06584690536753023,-0.1837750238141878,0.0,16.235283064155183,16.35837200335314,16.245870618644197,16.429197905367502,16.54712602381416,16.363350999999973
1718,"Kansas City, MO-KS Metro Area-Bus",2015,0,24,15.44314499999999,30371.40535212601,51991.95823209521,146741.87273146852,-103928.71082498049,-581513.9408597151,-544306.340445125,0.15843934119691616,0.05697095487892822,0.26422225408724415,-0.1697756161925107,-0.765288964673903,-0.544306340445125,15.284705658803075,15.386174045121063,15.178922745912747,15.6129206161925,16.208433964673894,15.987451340445116
1719,"Kansas City, MO-KS Metro Area-Bus",2016,0,24,14.217067999999994,94472.83539784556,44277.40095541382,-93936.81320218265,-13772.454781305625,-185491.32854683584,-513696.8424079786,0.25291217659476173,0.10124835583434204,0.1702854408850615,-0.18354807097381634,-0.9507802932207388,-1.0580031828531036,13.964155823405232,14.115819644165652,14.046782559114932,14.400616070973811,15.167848293220732,15.275071182853097
1720,"Kansas City, MO-KS Metro Area-Bus",2017,0,24,13.577712999999983,-103956.7434961366,18523.50881199214,515399.1878618375,-24938.11032787598,122374.27755617222,-472912.9293223315,0.14895543309862513,0.11977186464633419,0.6856846287468991,-0.2084861813016923,-0.8284060156645665,-1.530916112175435,13.428757566901359,13.457941135353648,12.892028371253085,13.786199181301676,14.406119015664549,15.108629112175418
1721,"Kansas City, MO-KS Metro Area-Bus",2018,0,24,12.968764000000002,61788.89652636416,38296.03463511811,310764.6822718341,-23704.680473463977,142783.8889398773,-981997.7786706777,0.2107443296249893,0.1580678992814523,0.9964493110187332,-0.2321908617751563,-0.6856221267246893,-2.5129138908461126,12.758019670375013,12.81069610071855,11.97231468898127,13.200954861775159,13.654386126724692,15.481677890846115
