,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
2216,"Montgomery, AL Metro Area-Bus",2005,0,34,0.7460009999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7460009999999999,0.7460009999999999,0.7460009999999999,0.7460009999999999,0.7460009999999999,0.7460009999999999
2217,"Montgomery, AL Metro Area-Bus",2006,0,34,0.9076090000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9076090000000008,0.9076090000000008,0.9076090000000008,0.9076090000000008,0.9076090000000008,0.9076090000000008
2218,"Montgomery, AL Metro Area-Bus",2007,0,34,1.1252379999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1252379999999995,1.1252379999999995,1.1252379999999995,1.1252379999999995,1.1252379999999995,1.1252379999999995
2219,"Montgomery, AL Metro Area-Bus",2008,0,34,1.3229970000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3229970000000002,1.3229970000000002,1.3229970000000002,1.3229970000000002,1.3229970000000002,1.3229970000000002
2220,"Montgomery, AL Metro Area-Bus",2009,0,34,1.311366999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.311366999999999,1.311366999999999,1.311366999999999,1.311366999999999,1.311366999999999,1.311366999999999
2221,"Montgomery, AL Metro Area-Bus",2010,0,34,1.2706379999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2706379999999995,1.2706379999999995,1.2706379999999995,1.2706379999999995,1.2706379999999995,1.2706379999999995
2222,"Montgomery, AL Metro Area-Bus",2011,0,34,1.1581760000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1581760000000005,1.1581760000000005,1.1581760000000005,1.1581760000000005,1.1581760000000005,1.1581760000000005
2223,"Montgomery, AL Metro Area-Bus",2012,0,34,0.9367179999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9367179999999997,0.9367179999999997,0.9367179999999997,0.9367179999999997,0.9367179999999997,0.9367179999999997
2224,"Montgomery, AL Metro Area-Bus",2013,0,34,0.9196590000000006,-12237.384104015928,-931.834053252794,-49415.30246042284,-4305.466601501494,-4666.858565217721,0.0,-0.012237384104015928,-0.000931834053252794,-0.04941530246042284,-0.0043054666015014936,-0.004666858565217721,0.0,0.9318963841040165,0.9205908340532534,0.9690743024604234,0.923964466601502,0.9243258585652183,0.9196590000000006
2225,"Montgomery, AL Metro Area-Bus",2014,0,34,0.9023009999999991,-10155.988556756833,-3938.4905253770166,7815.462595679581,-5134.222566406339,-6571.836623805627,0.0,-0.022393372660772758,-0.00487032457862981,-0.04159983986474326,-0.009439689167907833,-0.011238695189023347,0.0,0.9246943726607719,0.9071713245786289,0.9439008398647424,0.911740689167907,0.9135396951890224,0.9023009999999991
2226,"Montgomery, AL Metro Area-Bus",2015,0,34,0.811686,6889.916279635026,3060.8644265989888,34360.86754272823,3217.525765747464,-33664.50499666971,0.0,-0.015503456381137733,-0.0018094601520308215,-0.007238972322015033,-0.0062221634021603685,-0.044903200185693055,0.0,0.8271894563811377,0.8134954601520309,0.818924972322015,0.8179081634021604,0.8565892001856931,0.811686
2227,"Montgomery, AL Metro Area-Bus",2016,0,34,0.7371600000000003,232.5997640261372,549.4647688674139,10166.10402794364,-5554.511352953363,-9007.042962702908,0.0,-0.015270856617111596,-0.0012599953831634076,0.0029271317059286067,-0.011776674755113731,-0.053910243148395966,0.0,0.7524308566171118,0.7384199953831637,0.7342328682940716,0.7489366747551139,0.7910702431483962,0.7371600000000003
2228,"Montgomery, AL Metro Area-Bus",2017,0,34,0.6309490000000003,37167.84164730318,30.397005103030423,-30650.947806612887,4118.026041367197,7034.555925628738,-24520.7025090722,0.021896985030191586,-0.0012295983780603772,-0.02772381610068428,-0.007658648713746534,-0.04687568722276723,-0.024520702509072203,0.6090520149698088,0.6321785983780607,0.6586728161006846,0.6386076487137469,0.6778246872227676,0.6554697025090725
2229,"Montgomery, AL Metro Area-Bus",2018,0,34,0.5939100000000002,-1654.0547183161875,75.80948345949824,3351.80627259128,1416.4436528930723,6143.715233147893,-20987.726853595694,0.0202429303118754,-0.0011537888946008788,-0.024372009828093,-0.006242205060853461,-0.04073197198961934,-0.0455084293626679,0.5736670696881248,0.595063788894601,0.6182820098280931,0.6001522050608536,0.6346419719896195,0.639418429362668
