,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
2837,"Roanoke, VA Metro Area-Bus",2002,0,33,1.8966539999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8966539999999983,1.8966539999999983,1.8966539999999983,1.8966539999999983,1.8966539999999983,1.8966539999999983
2838,"Roanoke, VA Metro Area-Bus",2003,0,33,1.877766999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.877766999999999,1.877766999999999,1.877766999999999,1.877766999999999,1.877766999999999,1.877766999999999
2839,"Roanoke, VA Metro Area-Bus",2004,0,33,1.9025070000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9025070000000004,1.9025070000000004,1.9025070000000004,1.9025070000000004,1.9025070000000004,1.9025070000000004
2840,"Roanoke, VA Metro Area-Bus",2005,0,33,1.974923999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.974923999999999,1.974923999999999,1.974923999999999,1.974923999999999,1.974923999999999,1.974923999999999
2841,"Roanoke, VA Metro Area-Bus",2006,0,33,2.093631999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.093631999999998,2.093631999999998,2.093631999999998,2.093631999999998,2.093631999999998,2.093631999999998
2842,"Roanoke, VA Metro Area-Bus",2007,0,33,2.224909000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.224909000000002,2.224909000000002,2.224909000000002,2.224909000000002,2.224909000000002,2.224909000000002
2843,"Roanoke, VA Metro Area-Bus",2008,0,33,2.5513109999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5513109999999983,2.5513109999999983,2.5513109999999983,2.5513109999999983,2.5513109999999983,2.5513109999999983
2844,"Roanoke, VA Metro Area-Bus",2009,0,33,2.428783000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.428783000000001,2.428783000000001,2.428783000000001,2.428783000000001,2.428783000000001,2.428783000000001
2845,"Roanoke, VA Metro Area-Bus",2010,0,33,2.3684179999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3684179999999992,2.3684179999999992,2.3684179999999992,2.3684179999999992,2.3684179999999992,2.3684179999999992
2846,"Roanoke, VA Metro Area-Bus",2011,0,33,2.312964000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.312964000000001,2.312964000000001,2.312964000000001,2.312964000000001,2.312964000000001,2.312964000000001
