,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
2951,"Salem, OR Metro Area-Bus",2004,0,24,5.479088999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.479088999999998,5.479088999999998,5.479088999999998,5.479088999999998,5.479088999999998,5.479088999999998
2952,"Salem, OR Metro Area-Bus",2005,0,24,5.392202000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.392202000000002,5.392202000000002,5.392202000000002,5.392202000000002,5.392202000000002,5.392202000000002
2953,"Salem, OR Metro Area-Bus",2006,0,24,5.4902010000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4902010000000026,5.4902010000000026,5.4902010000000026,5.4902010000000026,5.4902010000000026,5.4902010000000026
2954,"Salem, OR Metro Area-Bus",2007,0,24,5.066719000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.066719000000002,5.066719000000002,5.066719000000002,5.066719000000002,5.066719000000002,5.066719000000002
2955,"Salem, OR Metro Area-Bus",2008,0,24,5.182173999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.182173999999999,5.182173999999999,5.182173999999999,5.182173999999999,5.182173999999999,5.182173999999999
2956,"Salem, OR Metro Area-Bus",2009,0,24,4.217005000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.217005000000004,4.217005000000004,4.217005000000004,4.217005000000004,4.217005000000004,4.217005000000004
2957,"Salem, OR Metro Area-Bus",2010,0,24,4.135793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.135793,4.135793,4.135793,4.135793,4.135793,4.135793
2958,"Salem, OR Metro Area-Bus",2011,0,24,3.7923229999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7923229999999992,3.7923229999999992,3.7923229999999992,3.7923229999999992,3.7923229999999992,3.7923229999999992
2959,"Salem, OR Metro Area-Bus",2012,0,24,3.424964000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.424964000000001,3.424964000000001,3.424964000000001,3.424964000000001,3.424964000000001,3.424964000000001
2960,"Salem, OR Metro Area-Bus",2013,0,24,3.352310999999999,3340.168144866885,-427.60011367459356,35542.31941891375,-4178.296699681387,-19863.863384510703,0.0,0.003340168144866885,-0.00042760011367459354,0.035542319418913754,-0.004178296699681386,-0.019863863384510703,0.0,3.348970831855132,3.3527386001136734,3.316768680581085,3.35648929669968,3.3721748633845094,3.352310999999999
2961,"Salem, OR Metro Area-Bus",2014,0,24,3.392972999999999,51846.76926746072,9620.944457556092,-56875.71822564558,-7779.717478556508,-19399.656033967247,0.0,0.0551869374123276,0.009193344343881497,-0.021333398806731827,-0.011958014178237894,-0.03926351941847796,0.0,3.3377860625876714,3.3837796556561175,3.414306398806731,3.404931014178237,3.432236519418477,3.392972999999999
2962,"Salem, OR Metro Area-Bus",2015,0,24,3.1942849999999994,40269.78024709987,13441.781381553636,-61349.03270859031,-10268.412667490638,-75974.14660251407,0.0,0.09545671765942747,0.022635125725435135,-0.08268243151532213,-0.022226426845728533,-0.11523766602099202,0.0,3.098828282340572,3.1716498742745642,3.2769674315153217,3.2165114268457278,3.3095226660209915,3.1942849999999994
2963,"Salem, OR Metro Area-Bus",2016,0,24,2.909651000000001,72904.3665372577,16866.173130260966,38942.84445851039,3797.75251787414,-48849.7309111469,0.0,0.16836108419668516,0.0395012988556961,-0.043739587056811746,-0.018428674327854395,-0.16408739693213892,0.0,2.741289915803316,2.870149701144305,2.9533905870568127,2.9280796743278557,3.07373839693214,2.909651000000001
2964,"Salem, OR Metro Area-Bus",2017,0,24,3.0141589999999976,-1331.6150012450482,13562.191469785119,-28704.530940449866,-32924.29707881819,24358.706752615886,0.0,0.16702946919544012,0.053063490325481216,-0.07244411799726161,-0.05135297140667259,-0.13972869017952302,0.0,2.8471295308045574,2.961095509674516,3.0866031179972593,3.06551197140667,3.1538876901795208,3.0141589999999976
2965,"Salem, OR Metro Area-Bus",2018,0,24,2.990859000000002,-56083.06887829788,8955.159611236808,21146.6003436906,-25383.782626094457,40480.3435698678,-100262.21736670802,0.11094640031714224,0.062018649936718025,-0.051297517653571004,-0.07673675403276704,-0.09924834660965522,-0.10026221736670803,2.87991259968286,2.9288403500632842,3.042156517653573,3.0675957540327694,3.0901073466096576,3.09112121736671
