,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
3085,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2002,0,10,271.7914169999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.7914169999997,271.7914169999997,271.7914169999997,271.7914169999997,271.7914169999997,271.7914169999997
3086,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2003,0,10,272.9400929999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.9400929999999,272.9400929999999,272.9400929999999,272.9400929999999,272.9400929999999,272.9400929999999
3087,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2004,0,10,265.6538930000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.6538930000004,265.6538930000004,265.6538930000004,265.6538930000004,265.6538930000004,265.6538930000004
3088,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2005,0,10,263.00492399999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.00492399999956,263.00492399999956,263.00492399999956,263.00492399999956,263.00492399999956,263.00492399999956
3089,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2006,0,10,264.50203900000037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.50203900000037,264.50203900000037,264.50203900000037,264.50203900000037,264.50203900000037,264.50203900000037
3090,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2007,0,10,258.87897099999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.87897099999975,258.87897099999975,258.87897099999975,258.87897099999975,258.87897099999975,258.87897099999975
3091,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2008,0,10,263.86020399999956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.86020399999956,263.86020399999956,263.86020399999956,263.86020399999956,263.86020399999956,263.86020399999956
3092,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2009,0,10,265.64416400000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.64416400000016,265.64416400000016,265.64416400000016,265.64416400000016,265.64416400000016,265.64416400000016
3093,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2010,0,10,240.9441190000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.9441190000004,240.9441190000004,240.9441190000004,240.9441190000004,240.9441190000004,240.9441190000004
3094,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2011,0,10,242.6624599999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.6624599999996,242.6624599999996,242.6624599999996,242.6624599999996,242.6624599999996,242.6624599999996
3095,"San Francisco-Oakland-Fremont, CA Metro Area-Bus",2012,0,10,245.33954799999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.33954799999992,245.33954799999992,245.33954799999992,245.33954799999992,245.33954799999992,245.33954799999992
