,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,Service,Land_Use,FARE_per_UPT_cleaned_2018_log_FAC,Income_and_Household_Characteristics,GAS_PRICE_2018_log_FAC,New_Competing_Modes,Service_cumsum,Land_Use_cumsum,FARE_per_UPT_cleaned_2018_log_FAC_cumsum,Income_and_Household_Characteristics_cumsum,GAS_PRICE_2018_log_FAC_cumsum,New_Competing_Modes_cumsum,UPT_ADJ_Service_cumsum,UPT_ADJ_Land_Use_cumsum,UPT_ADJ_FARE_per_UPT_cleaned_2018_log_FAC_cumsum,UPT_ADJ_Income_and_Household_Characteristics_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_New_Competing_Modes_cumsum
3770,"York-Hanover, PA Metro Area-Bus",2005,0,32,1.053969999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.053969999999999,1.053969999999999,1.053969999999999,1.053969999999999,1.053969999999999,1.053969999999999
3771,"York-Hanover, PA Metro Area-Bus",2006,0,32,1.7180059999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7180059999999993,1.7180059999999993,1.7180059999999993,1.7180059999999993,1.7180059999999993,1.7180059999999993
3772,"York-Hanover, PA Metro Area-Bus",2007,0,32,1.865383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.865383,1.865383,1.865383,1.865383,1.865383,1.865383
3773,"York-Hanover, PA Metro Area-Bus",2008,0,32,1.3948120000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3948120000000006,1.3948120000000006,1.3948120000000006,1.3948120000000006,1.3948120000000006,1.3948120000000006
3774,"York-Hanover, PA Metro Area-Bus",2009,0,32,1.3267769999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3267769999999988,1.3267769999999988,1.3267769999999988,1.3267769999999988,1.3267769999999988,1.3267769999999988
3775,"York-Hanover, PA Metro Area-Bus",2010,0,32,1.441707999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.441707999999999,1.441707999999999,1.441707999999999,1.441707999999999,1.441707999999999,1.441707999999999
3776,"York-Hanover, PA Metro Area-Bus",2011,0,32,1.582223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.582223,1.582223,1.582223,1.582223,1.582223,1.582223
3777,"York-Hanover, PA Metro Area-Bus",2012,0,32,1.8120770000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8120770000000006,1.8120770000000006,1.8120770000000006,1.8120770000000006,1.8120770000000006,1.8120770000000006
3778,"York-Hanover, PA Metro Area-Bus",2013,0,32,1.7426459999999988,-47841.24872528052,1424.4323028610004,6576.910391489381,-1464.3239458676908,-8627.535880957927,0.0,-0.04784124872528052,0.0014244323028610004,0.006576910391489381,-0.0014643239458676908,-0.008627535880957927,0.0,1.7904872487252794,1.7412215676971379,1.7360690896085094,1.7441103239458664,1.7512735358809568,1.7426459999999988
3779,"York-Hanover, PA Metro Area-Bus",2014,0,32,1.646422999999999,-54442.3517232307,4867.912096850368,-2331.5481052415357,-229.4400362343058,-9745.34015644682,0.0,-0.10228360044851122,0.006292344399711368,0.004245362286247846,-0.0016937639821019966,-0.01837287603740475,0.0,1.7487066004485103,1.6401306556002877,1.6421776377137511,1.648116763982101,1.6647958760374038,1.646422999999999
3780,"York-Hanover, PA Metro Area-Bus",2015,0,32,1.644981,23155.657310929742,4335.131453173998,22530.29589546284,3996.8088811677026,-57847.1355683903,0.0,-0.07912794313758148,0.010627475852885367,0.026775658181710685,0.002303044899065706,-0.07622001160579506,0.0,1.7241089431375816,1.6343535241471148,1.6182053418182893,1.6426779551009343,1.7212010116057952,1.644981
3781,"York-Hanover, PA Metro Area-Bus",2016,0,32,1.6483870000000005,-15051.827903621874,2411.083991089543,-26819.657896542176,-14877.594803060467,-18266.48392576194,0.0,-0.09417977104120334,0.01303855984397491,-4.399971483149057e-05,-0.01257454990399476,-0.09448649553155698,0.0,1.7425667710412038,1.6353484401560257,1.648430999714832,1.6609615499039954,1.7428734955315575,1.6483870000000005
3782,"York-Hanover, PA Metro Area-Bus",2017,0,32,1.6012009999999994,2556.983381000507,903.3166104615906,2161.570645661568,-5113.620237037483,17850.86847041218,-72602.48907411964,-0.09162278766020283,0.013941876454436501,0.0021175709308300776,-0.01768817014103224,-0.0766356270611448,-0.07260248907411965,1.6928237876602024,1.5872591235455629,1.5990834290691693,1.6188891701410317,1.6778366270611442,1.6738034890741191
3783,"York-Hanover, PA Metro Area-Bus",2018,0,32,1.632434999999999,17261.40993333805,1489.1770021189789,4976.8042925812615,-7624.468440437258,13763.563186916444,-53261.94228963712,-0.0743613777268648,0.01543105345655548,0.007094375223411339,-0.025312638581469503,-0.06287206387422836,-0.12586443136375677,1.7067963777268638,1.6170039465434436,1.6253406247765876,1.6577476385814685,1.6953070638742274,1.7582994313637557
