,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
111,"Ames, IA Metro Area-Bus",2003,0,31,4832978.819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4832978.819,4832978.819,4832978.819,4832978.819,4832978.819,4832978.819,4832978.819,4832978.819,4832978.819,4832978.819,4832978.819,4832978.819,4832978.819
112,"Ames, IA Metro Area-Bus",2004,0,31,4514956.757,-33717.74583,-22983.82359,147067.218,-45268.34035,81355.13226,132201.6768,32691.2294,0.0,0.0,0.0,0.0,0.0,-612868.9308,-33717.74583,-22983.82359,147067.218,-45268.34035,81355.13226,132201.6768,32691.2294,0.0,0.0,0.0,0.0,0.0,-612868.9308,4548674.502830001,4537940.58059,4367889.539,4560225.09735,4433601.62474,4382755.080200001,4482265.527600001,4514956.757,4514956.757,4514956.757,4514956.757,4514956.757,5127825.6878
113,"Ames, IA Metro Area-Bus",2005,0,31,4163813.0239999997,-322166.4765,-19057.01142,136177.3424,-29833.601389999996,102918.498,127279.5371,28976.90919,0.0,0.0,0.0,0.0,0.0,-358210.7766,-355884.22233,-42040.835009999995,283244.56039999996,-75101.94174,184273.63026,259481.21389999997,61668.13859,0.0,0.0,0.0,0.0,0.0,-971079.7074,4519697.2463299995,4205853.85901,3880568.4636,4238914.96574,3979539.3937399997,3904331.8101,4102144.8854099996,4163813.0239999997,4163813.0239999997,4163813.0239999997,4163813.0239999997,4163813.0239999997,5134892.7314
114,"Ames, IA Metro Area-Bus",2006,0,31,4230845.83,294165.0605,-6717.940811,141292.1639,-28109.03229,49814.52918,140063.4254,25570.36512,-6241.198545,0.0,0.0,0.0,0.0,-572328.9091,-61719.16183,-48758.775820999996,424536.7243,-103210.97403,234088.15944000002,399544.6393,87238.50371,-6241.198545,0.0,0.0,0.0,0.0,-1543408.6165,4292564.99183,4279604.605821,3806309.1057,4334056.80403,3996757.67056,3831301.1907,4143607.32629,4237087.028545,4230845.83,4230845.83,4230845.83,4230845.83,5774254.4465
115,"Ames, IA Metro Area-Bus",2007,0,31,4457027.725,125432.101,-10095.49619,58945.23414,677.6590436,41394.45423,87331.36938999999,25689.20255,22908.95725,0.0,0.0,0.0,0.0,-137411.7921,63712.93917,-58854.272010999994,483481.95844,-102533.3149864,275482.61367,486876.00869,112927.70626,16667.758705,0.0,0.0,0.0,0.0,-1680820.4086,4393314.7858299995,4515881.997010999,3973545.7665599994,4559561.0399864,4181545.1113299998,3970151.7163099996,4344100.018739999,4440359.966294999,4457027.725,4457027.725,4457027.725,4457027.725,6137848.133599999
116,"Ames, IA Metro Area-Bus",2008,0,31,4722830.426,38765.73668,-1946.1529489999998,32359.79685,13693.12625,63173.092110000005,-31552.460010000003,40036.637930000004,-6680.7022289999995,0.0,0.0,0.0,0.0,116554.5907,102478.67585,-60800.42496,515841.75529,-88840.1887364,338655.70578,455323.54868,152964.34419,9987.056476000002,0.0,0.0,0.0,0.0,-1564265.8179,4620351.75015,4783630.85096,4206988.67071,4811670.6147364,4384174.72022,4267506.87732,4569866.08181,4712843.369524,4722830.426,4722830.426,4722830.426,4722830.426,6287096.2439
117,"Ames, IA Metro Area-Bus",2009,0,31,5256732.454,80605.40587,23483.59027,2927.759509,22507.15716,-202636.4683,122980.3498,-15244.876680000001,-5664.143529999999,0.0,0.0,0.0,0.0,511761.7906,183084.08172000002,-37316.834689999996,518769.514799,-66333.0315764,136019.23748,578303.89848,137719.46751,4322.912946000002,0.0,0.0,0.0,0.0,-1052504.0273,5073648.37228,5294049.28869,4737962.939201,5323065.4855764,5120713.21652,4678428.55552,5119012.98649,5252409.541054,5256732.454,5256732.454,5256732.454,5256732.454,6309236.4813
118,"Ames, IA Metro Area-Bus",2010,0,31,5342790.186000001,113124.5268,-14641.01032,93672.18462,12500.04992,111390.5206,-132771.7914,-66474.13036,-4729.052867,0.0,0.0,0.0,0.0,-21748.75285,296208.60852,-51957.84501,612441.699419,-53832.9816564,247409.75808,445532.10708,71245.33714999999,-406.13992099999814,0.0,0.0,0.0,0.0,-1074252.78015,5046581.57748,5394748.031010001,4730348.4865810005,5396623.1676564,5095380.427920001,4897258.078920001,5271544.848850001,5343196.325921001,5342790.186000001,5342790.186000001,5342790.186000001,5342790.186000001,6417042.966150001
119,"Ames, IA Metro Area-Bus",2011,0,31,5580382.45,63882.3803,13777.031790000001,1350.43868,26961.05048,158328.7616,92849.79918999999,96791.84026,1603.118886,0.0,0.0,0.0,0.0,-233115.2186,360090.98882,-38180.81322,613792.138099,-26871.931176399998,405738.51968,538381.9062699999,168037.17741,1196.9789650000018,0.0,0.0,0.0,0.0,-1307367.99875,5220291.461180001,5618563.26322,4966590.311901,5607254.3811764,5174643.93032,5042000.54373,5412345.27259,5579185.471035,5580382.45,5580382.45,5580382.45,5580382.45,6887750.44875
120,"Ames, IA Metro Area-Bus",2012,0,31,5765066.562999999,28810.35907,-1350177.775,26656.87361,-17696.89555,-3717.546263,34471.84332,-47398.02975,-11706.80883,0.0,0.0,0.0,0.0,1528085.7030000002,388901.34789000003,-1388358.5882199998,640449.011709,-44568.8267264,402020.97341700003,572853.7495899999,120639.14766,-10509.829864999998,0.0,0.0,0.0,0.0,220717.70425000018,5376165.215109999,7153425.151219999,5124617.551290999,5809635.389726399,5363045.589582999,5192212.813409999,5644427.415339999,5775576.392864999,5765066.562999999,5765066.562999999,5765066.562999999,5765066.562999999,5544348.858749999
121,"Ames, IA Metro Area-Bus",2013,0,31,6239215.416,68275.67564,5013.50042,42068.45188,-9101.388248000001,-27748.33203,35595.40698,9525.761425,10386.73314,0.0,0.0,0.0,0.0,339337.8364,457177.02353,-1383345.0877999999,682517.4635889999,-53670.214974400005,374272.64138700004,608449.1565699999,130164.909085,-123.0967249999976,0.0,0.0,0.0,0.0,560055.5406500001,5782038.39247,7622560.5038,5556697.952411001,6292885.6309744,5864942.774613,5630766.259430001,6109050.506915,6239338.512725,6239215.416,6239215.416,6239215.416,6239215.416,5679159.87535
122,"Ames, IA Metro Area-Bus",2014,0,31,6762219.43,243186.2134,18697.47045,60972.75027999999,-19878.332290000002,-56114.76097,2378.264555,39611.23385,-46620.27427,0.0,0.0,0.0,0.0,281754.0419,700363.23693,-1364647.61735,743490.213869,-73548.54726440001,318157.88041700004,610827.4211249999,169776.142935,-46743.370995,0.0,0.0,0.0,0.0,841809.5825500002,6061856.19307,8126867.04735,6018729.216131,6835767.9772644,6444061.549582999,6151392.008874999,6592443.287064999,6808962.800995,6762219.43,6762219.43,6762219.43,6762219.43,5920409.847449999
123,"Ames, IA Metro Area-Bus",2015,0,31,6687420.555,265365.6051,-25558.17151,49169.28412,-2995.122746,-294159.0209,-73406.35759,-186699.7964,28461.78408,-182748.1129,0.0,0.0,0.0,351250.6979,965728.8420299999,-1390205.78886,792659.4979889999,-76543.6700104,23998.859517000034,537421.0635349998,-16923.65346499998,-18281.586914999996,-182748.1129,0.0,0.0,0.0,1193060.2804500002,5721691.71297,8077626.343859999,5894761.057011,6763964.2250104,6663421.695483,6149999.4914649995,6704344.208465,6705702.141915,6870168.6679,6687420.555,6687420.555,6687420.555,5494360.274549999
124,"Ames, IA Metro Area-Bus",2016,0,31,6692295.904,168525.5124,150482.4104,12464.402320000001,12127.79062,-98591.57927999999,69985.86063,212622.8499,-69852.352,-180726.6829,0.0,0.0,0.0,-266482.5832,1134254.3544299998,-1239723.37846,805123.9003089999,-64415.879390400005,-74592.71976299996,607406.9241649999,195699.19643500002,-88133.93891499999,-363474.7958,0.0,0.0,0.0,926577.6972500002,5558041.54957,7932019.28246,5887172.003691,6756711.7833904,6766888.623763,6084888.979835,6496596.707565,6780429.842915,7055770.6998000005,6692295.904,6692295.904,6692295.904,5765718.20675
125,"Ames, IA Metro Area-Bus",2017,0,31,6560847.887999999,-65847.8367,-316239.8404,13859.17904,6376.8970659999995,70872.13303,-155590.4536,-48163.996419999996,24136.30747,-180858.4385,0.0,0.0,0.0,501065.3124,1068406.5177299997,-1555963.21886,818983.0793489999,-58038.98232440001,-3720.58673299996,451816.47056499985,147535.200015,-63997.63144499999,-544333.2343,0.0,0.0,0.0,1427643.0096500001,5492441.37027,8116811.106859999,5741864.808650999,6618886.870324399,6564568.474733,6109031.417435,6413312.687984999,6624845.519444999,7105181.122299999,6560847.887999999,6560847.887999999,6560847.887999999,5133204.878349999
126,"Ames, IA Metro Area-Bus",2018,0,31,6431374.533,8300.408757,-96789.63132999999,28263.50803,7536.108179999999,84903.81473,-93658.87108,15362.873119999998,492.0947453,-177306.0728,0.0,0.0,0.0,93996.75827,1076706.9264869997,-1652752.85019,847246.5873789999,-50502.874144400004,81183.22799700004,358157.59948499984,162898.073135,-63505.536699699995,-721639.3071,0.0,0.0,0.0,1521639.7679200002,5354667.606513,8084127.3831899995,5584127.945621,6481877.407144399,6350191.3050029995,6073216.933515,6268476.459865,6494880.0696997,7153013.8401,6431374.533,6431374.533,6431374.533,4909734.765079999
