,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
242,"Augusta-Richmond County, GA-SC Metro Area-Bus",2006,0,34,938341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,938341.0,938341.0,938341.0,938341.0,938341.0,938341.0,938341.0,938341.0,938341.0,938341.0,938341.0,938341.0,938341.0
243,"Augusta-Richmond County, GA-SC Metro Area-Bus",2007,0,34,861964.0,-123620.6013,2806.338689,7295.703366,-55.11433434,5328.625262,-8157.333954000001,-2063.280807,-1687.5381129999998,0.0,0.0,0.0,0.0,44303.33377,-123620.6013,2806.338689,7295.703366,-55.11433434,5328.625262,-8157.333954000001,-2063.280807,-1687.5381129999998,0.0,0.0,0.0,0.0,44303.33377,985584.6013,859157.661311,854668.296634,862019.11433434,856635.374738,870121.333954,864027.280807,863651.538113,861964.0,861964.0,861964.0,861964.0,817660.66623
244,"Augusta-Richmond County, GA-SC Metro Area-Bus",2008,0,34,893170.0,33793.6743,-26433.513,1317.448202,78.39355096,16115.65374,4534.085143,-1599.46677,2849.253418,0.0,0.0,0.0,0.0,1269.613615,-89826.927,-23627.174311,8613.151568,23.27921662,21444.279002,-3623.2488110000004,-3662.747577,1161.715305,0.0,0.0,0.0,0.0,45572.947385,982996.927,916797.174311,884556.848432,893146.72078338,871725.720998,896793.248811,896832.747577,892008.284695,893170.0,893170.0,893170.0,893170.0,847597.052615
245,"Augusta-Richmond County, GA-SC Metro Area-Bus",2009,0,34,643746.0,31403.79392,-67270.63107,-1951.405766,85.31419672,-39468.46246,12446.76959,-675.5975894999999,-1338.785213,0.0,0.0,0.0,0.0,-181205.3046,-58423.13308,-90897.805381,6661.7458019999995,108.59341334,-18024.183458000003,8823.520778999999,-4338.3451665,-177.06990800000017,0.0,0.0,0.0,0.0,-135632.357215,702169.13308,734643.805381,637084.254198,643637.40658666,661770.183458,634922.479221,648084.3451665,643923.069908,643746.0,643746.0,643746.0,643746.0,779378.357215
246,"Augusta-Richmond County, GA-SC Metro Area-Bus",2010,0,34,617262.0,-21400.211219999997,-14495.753859999999,3601.580742,-132.0562908,12872.41,266.0500467,3463.38187,-386.14171180000005,0.0,0.0,0.0,0.0,-9816.795616,-79823.3443,-105393.559241,10263.326544,-23.46287746,-5151.773458000003,9089.570825699999,-874.9632965000001,-563.2116198000002,0.0,0.0,0.0,0.0,-145449.15283099998,697085.3443,722655.559241,606998.673456,617285.46287746,622413.773458,608172.4291743,618136.9632965,617825.2116198,617262.0,617262.0,617262.0,617262.0,762711.152831
247,"Augusta-Richmond County, GA-SC Metro Area-Bus",2011,0,34,723486.0,-61120.98816,79701.70038,884.8233385999999,78.27167907,17985.65902,-1353.6376369999998,-3978.502196,1854.6143960000002,0.0,0.0,0.0,0.0,79883.86318,-140944.33246,-25691.858861,11148.149882599999,54.80880161,12833.885561999996,7735.933188699999,-4853.4654924999995,1291.4027762,0.0,0.0,0.0,0.0,-65565.28965099998,864430.33246,749177.858861,712337.8501174,723431.19119839,710652.114438,715750.0668113,728339.4654925,722194.5972238,723486.0,723486.0,723486.0,723486.0,789051.2896509999
248,"Augusta-Richmond County, GA-SC Metro Area-Bus",2012,0,34,718406.0,5096.779082,-32818.084689999996,3268.880575,34.79192517,-200.85427080000002,9188.233119,-2285.7387870000002,868.7267526,0.0,0.0,0.0,0.0,12407.36881,-135847.553378,-58509.943551,14417.030457599998,89.60072678,12633.031291199995,16924.166307699998,-7139.2042795,2160.1295288,0.0,0.0,0.0,0.0,-53157.920840999985,854253.553378,776915.943551,703988.9695424,718316.39927322,705772.9687088,701481.8336923,725545.2042795,716245.8704712,718406.0,718406.0,718406.0,718406.0,771563.920841
249,"Augusta-Richmond County, GA-SC Metro Area-Bus",2013,0,34,745349.0,1973.1633940000002,10261.52632,4679.326274,-498.98013660000004,-3452.731486,9250.532183,2475.213296,-3011.055269,0.0,0.0,0.0,0.0,5109.372127000001,-133874.389984,-48248.417231,19096.356731599997,-409.37940982000003,9180.299805199995,26174.698490699997,-4663.9909835,-850.9257401999998,0.0,0.0,0.0,0.0,-48048.54871399998,879223.389984,793597.417231,726252.6432684,745758.37940982,736168.7001948,719174.3015093,750012.9909835,746199.9257402,745349.0,745349.0,745349.0,745349.0,793397.548714
250,"Augusta-Richmond County, GA-SC Metro Area-Bus",2014,0,34,792327.0,17493.33738,-18713.89415,980.4875797,-58.86806584,-5491.573261,-4688.383908,4370.936452,-223.57693199999997,0.0,0.0,0.0,0.0,53768.07644,-116381.05260400001,-66962.311381,20076.844311299996,-468.24747566,3688.7265441999953,21486.314582699997,-293.05453149999994,-1074.5026721999998,0.0,0.0,0.0,0.0,5719.527726000015,908708.052604,859289.311381,772250.1556887,792795.24747566,788638.2734558,770840.6854173,792620.0545315,793401.5026722,792327.0,792327.0,792327.0,792327.0,786607.4722739999
251,"Augusta-Richmond County, GA-SC Metro Area-Bus",2015,0,34,787145.0,54812.17242,29299.198610000003,4686.663331000001,-260.4464815,-35609.38443,-13281.00111,-6189.180074,713.4337098999999,-21412.53556,0.0,11692.18452,0.0,-26209.68296,-61568.88018400001,-37663.112771,24763.507642299995,-728.6939571600001,-31920.657885800003,8205.313472699998,-6482.2346055,-361.06896229999984,-21412.53556,0.0,11692.18452,0.0,-20490.155233999983,848713.880184,824808.112771,762381.4923577,787873.69395716,819065.6578858,778939.6865273,793627.2346055,787506.0689623,808557.53556,787145.0,775452.81548,787145.0,807635.155234
