,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
334,"Baton Rouge, LA Metro Area-Bus",2004,0,34,4492155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4492155.0,4492155.0,4492155.0,4492155.0,4492155.0,4492155.0,4492155.0,4492155.0,4492155.0,4492155.0,4492155.0,4492155.0,4492155.0
335,"Baton Rouge, LA Metro Area-Bus",2005,0,34,4191212.0,-43588.21169,-124108.6664,97911.02807999999,-26268.24711,109674.7751,51388.56047,3400.457282,0.0,0.0,0.0,0.0,0.0,-365107.8068,-43588.21169,-124108.6664,97911.02807999999,-26268.24711,109674.7751,51388.56047,3400.457282,0.0,0.0,0.0,0.0,0.0,-365107.8068,4234800.21169,4315320.6664,4093300.97192,4217480.24711,4081537.2249,4139823.43953,4187811.542718,4191212.0,4191212.0,4191212.0,4191212.0,4191212.0,4556319.8068
336,"Baton Rouge, LA Metro Area-Bus",2006,0,34,3441542.0,-130384.7488,-520019.2992,101504.6533,-25938.33024,50610.96476,82554.81362,9236.198940999999,-10047.10675,0.0,0.0,0.0,0.0,-294195.3478,-173972.96049,-644127.9656,199415.68138,-52206.57735,160285.73986,133943.37409,12636.656222999998,-10047.10675,0.0,0.0,0.0,0.0,-659303.1546,3615514.96049,4085669.9655999998,3242126.31862,3493748.57735,3281256.26014,3307598.62591,3428905.343777,3451589.10675,3441542.0,3441542.0,3441542.0,3441542.0,4100845.1546
337,"Baton Rouge, LA Metro Area-Bus",2007,0,34,3638946.0,37707.337139999996,113696.2084,15366.256780000002,-5588.815111,20348.39932,-37778.561969999995,-12524.577220000001,-5158.576236999999,0.0,0.0,0.0,0.0,71463.70244,-136265.62335,-530431.7572,214781.93816,-57795.392460999996,180634.13918,96164.81212,112.0790029999971,-15205.682987,0.0,0.0,0.0,0.0,-587839.45216,3775211.62335,4169377.7572,3424164.06184,3696741.392461,3458311.86082,3542781.18788,3638833.920997,3654151.682987,3638946.0,3638946.0,3638946.0,3638946.0,4226785.45216
338,"Baton Rouge, LA Metro Area-Bus",2008,0,34,3952837.0,-444367.2697,44449.924360000005,14673.95879,-6229.811091,63278.81111,-51303.969939999995,-2752.514243,7650.013741,0.0,0.0,0.0,0.0,697514.0797,-580632.8930500001,-485981.83284,229455.89695,-64025.20355199999,243912.95029,44860.84218000001,-2640.435240000003,-7555.669246,0.0,0.0,0.0,0.0,109674.62754000002,4533469.89305,4438818.83284,3723381.10305,4016862.203552,3708924.04971,3907976.15782,3955477.43524,3960392.669246,3952837.0,3952837.0,3952837.0,3952837.0,3843162.37246
339,"Baton Rouge, LA Metro Area-Bus",2009,0,34,3729315.0,-115781.9069,495441.1318,3869.9681990000004,-7227.408826000001,-175712.9675,57309.997429999996,5714.358842000001,-5924.963583,0.0,0.0,0.0,0.0,-452751.1957,-696414.7999500001,9459.298959999986,233325.865149,-71252.61237799999,68199.98279000001,102170.83961,3073.9236019999976,-13480.632829,0.0,0.0,0.0,0.0,-343076.56815999997,4425729.79995,3719855.70104,3495989.134851,3800567.612378,3661115.01721,3627144.16039,3726241.076398,3742795.632829,3729315.0,3729315.0,3729315.0,3729315.0,4072391.56816
340,"Baton Rouge, LA Metro Area-Bus",2010,0,34,3520784.0,-862000.4758,403411.8674,29103.050610000002,-8662.816144,76915.0691,-32135.06882,-13316.23563,3357.98103,0.0,0.0,0.0,0.0,296792.9523,-1558415.27575,412871.16636,262428.915759,-79915.42852199999,145115.05189,70035.77079,-10242.312028000002,-10122.651799,0.0,0.0,0.0,0.0,-46283.61585999996,5079199.27575,3107912.83364,3258355.084241,3600699.428522,3375668.94811,3450748.22921,3531026.312028,3530906.651799,3520784.0,3520784.0,3520784.0,3520784.0,3567067.61586
341,"Baton Rouge, LA Metro Area-Bus",2011,0,34,3493921.0,-295885.1447,57955.77,4202.022793,-4852.7963740000005,102406.1217,58420.499789999994,10672.7186,0.0,0.0,0.0,0.0,0.0,54865.26122000001,-1854300.42045,470826.93636,266630.938552,-84768.22489599999,247521.17359000002,128456.27057999998,430.40657199999805,-10122.651799,0.0,0.0,0.0,0.0,8581.645360000046,5348221.42045,3023094.06364,3227290.061448,3578689.2248959998,3246399.82641,3365464.72942,3493490.593428,3504043.651799,3493921.0,3493921.0,3493921.0,3493921.0,3485339.35464
342,"Baton Rouge, LA Metro Area-Bus",2012,0,34,3611582.0,337855.8908,120450.8671,14341.154840000001,-1101.371356,-3359.365592,-30450.016560000004,-38482.36991,0.0,0.0,0.0,0.0,0.0,-285439.6868,-1516444.5296500002,591277.80346,280972.09339199995,-85869.59625199999,244161.80799800003,98006.25401999998,-38051.963338,-10122.651799,0.0,0.0,0.0,0.0,-276858.04144,5128026.52965,3020304.19654,3330609.906608,3697451.596252,3367420.192002,3513575.74598,3649633.963338,3621704.651799,3611582.0,3611582.0,3611582.0,3611582.0,3888440.04144
343,"Baton Rouge, LA Metro Area-Bus",2013,0,34,3748203.0,304842.6813,13350.930690000001,16928.50431,-2474.015955,-22103.35355,-48681.173460000005,31189.01135,-2166.3551399999997,0.0,0.0,0.0,0.0,-152469.9877,-1211601.84835,604628.7341499999,297900.59770199994,-88343.61220699998,222058.45444800003,49325.08055999997,-6862.951988000001,-12289.006938999999,0.0,0.0,0.0,0.0,-429328.02914,4959804.84835,3143574.26585,3450302.402298,3836546.612207,3526144.545552,3698877.91944,3755065.951988,3760492.006939,3748203.0,3748203.0,3748203.0,3748203.0,4177531.02914
344,"Baton Rouge, LA Metro Area-Bus",2014,0,34,3904561.0,1635293.907,75776.11451,23075.59855,3560.4681950000004,-32894.24234,40023.42028,-14154.354480000002,1124.658616,-101294.7054,0.0,0.0,0.0,-1468333.3730000001,423692.0586499998,680404.8486599999,320976.19625199994,-84783.14401199999,189164.21210800004,89348.50083999996,-21017.306468000002,-11164.348322999998,-101294.7054,0.0,0.0,0.0,-1897661.4021400001,3480868.94135,3224156.1513400003,3583584.803748,3989344.144012,3715396.787892,3815212.49916,3925578.306468,3915725.348323,4005855.7054,3904561.0,3904561.0,3904561.0,5802222.40214
