,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
362,"Beaumont-Port Arthur, TX Metro Area-Bus",2005,0,34,8416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8416.0,8416.0,8416.0,8416.0,8416.0,8416.0,8416.0,8416.0,8416.0,8416.0,8416.0,8416.0,8416.0
363,"Beaumont-Port Arthur, TX Metro Area-Bus",2006,0,34,731269.0,216214.2805,17985.6766,96.98865925,-6.934147508,101.6273764,-112.51511059999999,-197.3818134,5.051245589,0.0,0.0,0.0,0.0,36266.9501,216214.2805,17985.6766,96.98865925,-6.934147508,101.6273764,-112.51511059999999,-197.3818134,5.051245589,0.0,0.0,0.0,0.0,36266.9501,515054.7195,713283.3234,731172.01134075,731275.934147508,731167.3726236,731381.5151106,731466.3818134,731263.948754411,731269.0,731269.0,731269.0,731269.0,695002.0499
364,"Beaumont-Port Arthur, TX Metro Area-Bus",2007,0,34,774182.0,8127.858242,3460.445974,-955.3053294,-250.30980730000005,4323.6879340000005,-4454.374917,7584.667831999999,-438.64111529999997,0.0,0.0,0.0,0.0,25428.40753,224342.13874199998,21446.122574,-858.31667015,-257.24395480800007,4425.3153104,-4566.8900276,7387.286018599999,-433.58986971099995,0.0,0.0,0.0,0.0,61695.35763,549839.861258,752735.877426,775040.31667015,774439.243954808,769756.6846896,778748.8900276,766794.7139814,774615.589869711,774182.0,774182.0,774182.0,774182.0,712486.64237
365,"Beaumont-Port Arthur, TX Metro Area-Bus",2008,0,34,741093.0,-26819.25199,696.999691,2764.486281,-440.5824078,13462.50165,-15659.52286,-7736.462903000001,697.0954371,0.0,0.0,0.0,0.0,13.63761186,197522.886752,22143.122265,1906.16961085,-697.8263626080001,17887.8169604,-20226.4128876,-349.17688440000165,263.5055673890001,0.0,0.0,0.0,0.0,61708.99524186,543570.113248,718949.877735,739186.83038915,741790.826362608,723205.1830396,761319.4128876,741442.1768844,740829.494432611,741093.0,741093.0,741093.0,741093.0,679384.00475814
366,"Beaumont-Port Arthur, TX Metro Area-Bus",2009,0,34,709996.0,30195.49593,-788.5610222999999,-2440.835512,-285.7540145,-32943.33923,10546.9581,4294.701054,-666.7008463999999,0.0,0.0,0.0,0.0,-37592.13658,227718.382682,21354.5612427,-534.6659011500001,-983.580377108,-15055.522269599998,-9679.4547876,3945.5241695999985,-403.19527901099985,0.0,0.0,0.0,0.0,24116.858661860002,482277.617318,688641.4387573,710530.66590115,710979.580377108,725051.5222696,719675.4547876,706050.4758304,710399.195279011,709996.0,709996.0,709996.0,709996.0,685879.14133814
367,"Beaumont-Port Arthur, TX Metro Area-Bus",2010,0,34,694401.0,-5639.759761,171.90733669999997,776.1669653,-498.25067659999996,14643.27669,41869.76392,1466.732592,-1914.4529350000003,0.0,0.0,0.0,0.0,-66873.33116,222078.622921,21526.4685794,241.50106414999993,-1481.831053708,-412.24557959999765,32190.309132399998,5412.256761599999,-2317.648214011,0.0,0.0,0.0,0.0,-42756.47249814,472322.377079,672874.5314206,694159.49893585,695882.831053708,694813.2455796,662210.6908676,688988.7432384,696718.648214011,694401.0,694401.0,694401.0,694401.0,737157.47249814
368,"Beaumont-Port Arthur, TX Metro Area-Bus",2011,0,34,681373.0,312.4234435,11772.176290000001,2184.159861,-317.91902230000005,20197.465480000003,-15764.40056,-3905.939093,1877.4645920000003,0.0,0.0,0.0,0.0,-28978.2198,222391.0463645,33298.6448694,2425.66092515,-1799.750076008,19785.219900400007,16425.908572399996,1506.3176685999988,-440.1836220109999,0.0,0.0,0.0,0.0,-71734.69229814,458981.9536355,648074.3551306,678947.33907485,683172.750076008,661587.7800996,664947.0914276,679866.6823314,681813.183622011,681373.0,681373.0,681373.0,681373.0,753107.69229814
369,"Beaumont-Port Arthur, TX Metro Area-Bus",2012,0,34,579242.0,-147252.5153,9149.197673,-804.6966765999999,336.0489022,-655.1324462,2033.600657,-187.46092009999998,818.1595133,0.0,0.0,0.0,0.0,36728.07706,75138.53106450001,42447.8425424,1620.9642485499999,-1463.701173808,19130.087454200006,18459.509229399995,1318.8567484999987,377.97589128900006,0.0,0.0,0.0,0.0,-35006.615238139995,504103.4689355,536794.1574576,577621.03575145,580705.701173808,560111.9125458,560782.4907706,577923.1432515,578864.024108711,579242.0,579242.0,579242.0,579242.0,614248.61523814
370,"Beaumont-Port Arthur, TX Metro Area-Bus",2013,0,34,546509.0,-8015.992440999999,-13877.99795,4156.693119,-575.3821364,-3545.0366950000002,-8533.569534999999,2355.696042,0.0,0.0,0.0,0.0,0.0,-5060.961763,67122.53862350002,28569.8445924,5777.657367549999,-2039.083310208,15585.050759200005,9925.939694399996,3674.552790499999,377.97589128900006,0.0,0.0,0.0,0.0,-40067.577001139995,479386.46137649997,517939.1554076,540731.34263245,548548.083310208,530923.9492408,536583.0603056,542834.4472095,546131.024108711,546509.0,546509.0,546509.0,546509.0,586576.57700114
371,"Beaumont-Port Arthur, TX Metro Area-Bus",2014,0,34,540555.0,-77.10852123,3041.681611,1309.565928,179.31110759999999,-4796.164853,2921.0825870000003,1355.074785,-982.8567299,0.0,0.0,0.0,0.0,-8870.802254,67045.43010227002,31611.5262034,7087.223295549999,-1859.772202608,10788.885906200005,12847.022281399997,5029.627575499999,-604.880838611,0.0,0.0,0.0,0.0,-48938.37925514,473509.56989772996,508943.4737966,533467.77670445,542414.772202608,529766.1140938,527707.9777186,535525.3724245,541159.880838611,540555.0,540555.0,540555.0,540555.0,589493.37925514
