,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
550,"Bremerton-Silverdale, WA Metro Area-Bus",2002,0,23,3826229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3826229.0,3826229.0,3826229.0,3826229.0,3826229.0,3826229.0,3826229.0,3826229.0,3826229.0,3826229.0,3826229.0,3826229.0,3826229.0
551,"Bremerton-Silverdale, WA Metro Area-Bus",2003,0,23,4026104.0,275987.3825,67978.0113,41212.0649,2350.160087,81398.53353,52000.28708,37558.45738,0.0,0.0,0.0,0.0,0.0,-387903.5104,275987.3825,67978.0113,41212.0649,2350.160087,81398.53353,52000.28708,37558.45738,0.0,0.0,0.0,0.0,0.0,-387903.5104,3750116.6175,3958125.9887,3984891.9351,4023753.839913,3944705.46647,3974103.71292,3988545.54262,4026104.0,4026104.0,4026104.0,4026104.0,4026104.0,4414007.5104
552,"Bremerton-Silverdale, WA Metro Area-Bus",2004,0,23,4022324.0,37001.37895,-30613.013639999997,55052.01278,2282.846674,58794.414189999996,66107.82582,40639.292330000004,0.0,0.0,0.0,0.0,0.0,-237766.2978,312988.76145,37364.99766,96264.07767999999,4633.006761000001,140192.94772,118108.11290000001,78197.74971,0.0,0.0,0.0,0.0,0.0,-625669.8082000001,3709335.23855,3984959.00234,3926059.92232,4017690.993239,3882131.05228,3904215.8871,3944126.25029,4022324.0,4022324.0,4022324.0,4022324.0,4022324.0,4647993.8082
553,"Bremerton-Silverdale, WA Metro Area-Bus",2005,0,23,4069541.0,22501.02886,-17659.58859,38310.07645,2380.234539,72752.63195,61661.77995,38645.1866,0.0,0.0,0.0,0.0,0.0,-175748.8343,335489.79031,19705.40907,134574.15412999998,7013.241300000001,212945.57967,179769.89285,116842.93631,0.0,0.0,0.0,0.0,0.0,-801418.6425000001,3734051.20969,4049835.59093,3934966.84587,4062527.7587,3856595.42033,3889771.10715,3952698.06369,4069541.0,4069541.0,4069541.0,4069541.0,4069541.0,4870959.6425
554,"Bremerton-Silverdale, WA Metro Area-Bus",2006,0,23,3858728.0,-163615.3789,-345443.6625,43532.89718,1389.070658,49910.53255,91135.63044,49852.9553,-42507.721489999996,0.0,0.0,0.0,0.0,112371.9675,171874.41141,-325738.25343,178107.05130999998,8402.311958,262856.11222,270905.52329,166695.89161,-42507.721489999996,0.0,0.0,0.0,0.0,-689046.675,3686853.58859,4184466.25343,3680620.94869,3850325.688042,3595871.88778,3587822.47671,3692032.10839,3901235.72149,3858728.0,3858728.0,3858728.0,3858728.0,4547774.675
555,"Bremerton-Silverdale, WA Metro Area-Bus",2007,0,23,3823787.0,-7798.533814,-18831.307419999997,-10893.3691,4739.470661,28292.73543,-12541.56158,10366.13954,9272.308826999999,0.0,0.0,0.0,0.0,-37326.649560000005,164075.877596,-344569.56085,167213.68220999997,13141.782619000001,291148.84765,258363.96170999997,177062.03115,-33235.412662999996,0.0,0.0,0.0,0.0,-726373.3245600001,3659711.122404,4168356.56085,3656573.3177900002,3810645.217381,3532638.15235,3565423.03829,3646724.96885,3857022.412663,3823787.0,3823787.0,3823787.0,3823787.0,4550160.32456
556,"Bremerton-Silverdale, WA Metro Area-Bus",2008,0,23,4055688.0,-108746.0178,-125038.0171,17209.99107,2722.89433,57708.18345,43868.10508,-11818.42955,0.0,0.0,0.0,0.0,0.0,358264.3081,55329.859796000004,-469607.57795,184423.67327999996,15864.676949,348857.0311,302232.06678999995,165243.6016,-33235.412662999996,0.0,0.0,0.0,0.0,-368109.0164600001,4000358.140204,4525295.57795,3871264.3267200002,4039823.323051,3706830.9688999997,3753455.93321,3890444.3984,4088923.412663,4055688.0,4055688.0,4055688.0,4055688.0,4423797.01646
557,"Bremerton-Silverdale, WA Metro Area-Bus",2009,0,23,3466645.0,-235714.0103,-573508.0818,-5479.039997999999,3452.8962130000004,-153821.0031,-22181.18512,-23090.26853,8526.114135,0.0,0.0,0.0,0.0,341370.9197,-180384.150504,-1043115.6597500001,178944.63328199997,19317.573162,195036.02800000002,280050.88167,142153.33307,-24709.298527999996,0.0,0.0,0.0,0.0,-26738.096760000044,3647029.150504,4509760.65975,3287700.366718,3447327.426838,3271608.972,3186594.11833,3324491.66693,3491354.298528,3466645.0,3466645.0,3466645.0,3466645.0,3493383.09676
558,"Bremerton-Silverdale, WA Metro Area-Bus",2010,0,23,2877935.0,-332771.1224,-514439.4926,19608.70046,149.3003187,63026.42055,-17450.51141,10747.806270000001,-2079.41678,0.0,0.0,0.0,0.0,152071.9468,-513155.272904,-1557555.15235,198553.33374199996,19466.8734807,258062.44855000003,262600.37026,152901.13934,-26788.715307999995,0.0,0.0,0.0,0.0,125333.85003999996,3391090.2729040002,4435490.15235,2679381.666258,2858468.1265193,2619872.55145,2615334.62974,2725033.86066,2904723.715308,2877935.0,2877935.0,2877935.0,2877935.0,2752601.14996
559,"Bremerton-Silverdale, WA Metro Area-Bus",2011,0,23,2914402.0,2618.7795149999997,83123.89535,192.10173899999998,1921.8647239999998,73885.93486000001,45221.45738,593.9811061,-39443.73325,0.0,0.0,0.0,0.0,-133754.6831,-510536.493389,-1474431.2570000002,198745.43548099996,21388.7382047,331948.38341,307821.82764,153495.1204461,-66232.44855799999,0.0,0.0,0.0,0.0,-8420.833060000034,3424938.493389,4388833.257,2715656.5645190002,2893013.2617953,2582453.6165899998,2606580.17236,2760906.8795539,2980634.448558,2914402.0,2914402.0,2914402.0,2914402.0,2922822.83306
560,"Bremerton-Silverdale, WA Metro Area-Bus",2012,0,23,2875831.0,15287.34625,112178.2661,-506.60488760000004,-619.6922751,10129.10215,799.5547281,9236.771048999999,22821.81397,0.0,0.0,0.0,0.0,-210512.2649,-495249.147139,-1362252.9909000003,198238.83059339997,20769.0459296,342077.48556,308621.3823681,162731.8914951,-43410.634587999986,0.0,0.0,0.0,0.0,-218933.09796000004,3371080.147139,4238083.990900001,2677592.1694066,2855061.9540704,2533753.51444,2567209.6176319,2713099.1085049,2919241.634588,2875831.0,2875831.0,2875831.0,2875831.0,3094764.09796
561,"Bremerton-Silverdale, WA Metro Area-Bus",2013,0,23,2967591.0,19694.26644,82999.09648,-7440.123443,3041.152338,-20486.84923,-17878.06371,3166.9991600000003,17307.302669999997,0.0,0.0,0.0,0.0,11698.28353,-475554.88069900003,-1279253.8944200003,190798.70715039998,23810.1982676,321590.63633,290743.3186581,165898.8906551,-26103.33191799999,0.0,0.0,0.0,0.0,-207234.81443000003,3443145.880699,4246844.89442,2776792.2928496,2943780.8017324,2646000.36367,2676847.6813419,2801692.1093449,2993694.331918,2967591.0,2967591.0,2967591.0,2967591.0,3174825.8144300003
562,"Bremerton-Silverdale, WA Metro Area-Bus",2014,0,23,2818352.0,-56199.815129999995,-11204.604459999999,4222.440353,482.33087850000004,-21093.97917,60823.849270000006,18018.86652,-10664.39541,0.0,0.0,0.0,0.0,-132344.7914,-531754.695829,-1290458.4988800003,195021.1475034,24292.5291461,300496.65716,351567.1679281,183917.7571751,-36767.727327999986,0.0,0.0,0.0,0.0,-339579.60583,3350106.695829,4108810.4988800003,2623330.8524966,2794059.4708539,2517855.34284,2466784.8320719,2634434.2428249,2855119.727328,2818352.0,2818352.0,2818352.0,2818352.0,3157931.60583
