,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
914,"Colorado Springs, CO Metro Area-Bus",2002,0,32,3594198.5439999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3594198.5439999998,3594198.5439999998,3594198.5439999998,3594198.5439999998,3594198.5439999998,3594198.5439999998,3594198.5439999998,3594198.5439999998,3594198.5439999998,3594198.5439999998,3594198.5439999998,3594198.5439999998,3594198.5439999998
915,"Colorado Springs, CO Metro Area-Bus",2003,0,32,3149953.973,-119414.2187,-130272.70199999999,51309.00938,-47215.76635,53901.246210000005,6720.8905859999995,-8149.833551000001,0.0,0.0,0.0,0.0,0.0,-250973.9585,-119414.2187,-130272.70199999999,51309.00938,-47215.76635,53901.246210000005,6720.8905859999995,-8149.833551000001,0.0,0.0,0.0,0.0,0.0,-250973.9585,3269368.1917000003,3280226.6750000003,3098644.96362,3197169.7393500004,3096052.72679,3143233.0824140003,3158103.806551,3149953.973,3149953.973,3149953.973,3149953.973,3149953.973,3400927.9315000004
916,"Colorado Springs, CO Metro Area-Bus",2004,0,32,2817426.229,1429356.351,85457.22244,46869.6279,-37919.72824,49191.35147,13014.4738,-7142.510426000001,0.0,0.0,0.0,0.0,0.0,-1981173.874,1309942.1323,-44815.47955999999,98178.63728,-85135.49458999999,103092.59768,19735.364386,-15292.343977,0.0,0.0,0.0,0.0,0.0,-2232147.8325,1507484.0966999999,2862241.7085599997,2719247.59172,2902561.7235899996,2714333.6313199997,2797690.8646139996,2832718.572977,2817426.229,2817426.229,2817426.229,2817426.229,2817426.229,5049574.0615
917,"Colorado Springs, CO Metro Area-Bus",2005,0,32,2871261.845,-509817.6795,12573.27269,36327.79589,-30063.681060000003,62808.1339,12499.16814,-5808.330762,0.0,0.0,0.0,0.0,0.0,491123.1154,800124.4527999999,-32242.206869999995,134506.43317,-115199.17564999999,165900.73158000002,32234.532526000003,-21100.674739000002,0.0,0.0,0.0,0.0,0.0,-1741024.7171,2071137.3922000004,2903504.05187,2736755.41183,2986461.0206500003,2705361.1134200003,2839027.3124740003,2892362.519739,2871261.845,2871261.845,2871261.845,2871261.845,2871261.845,4612286.562100001
918,"Colorado Springs, CO Metro Area-Bus",2006,0,32,3310471.92,414877.9989,-235082.5762,46471.55472,-31383.211410000004,35073.75885,13709.736930000001,-7495.739312000001,5173.059188,0.0,0.0,0.0,0.0,228872.5677,1215002.4516999999,-267324.78307,180977.98789,-146582.38705999998,200974.49043,45944.269456,-28596.414051000003,5173.059188,0.0,0.0,0.0,0.0,-1512152.1494,2095469.4683,3577796.70307,3129493.93211,3457054.30706,3109497.4295699997,3264527.650544,3339068.334051,3305298.860812,3310471.92,3310471.92,3310471.92,3310471.92,4822624.069399999
919,"Colorado Springs, CO Metro Area-Bus",2007,0,32,3497453.22,41795.30983,24370.23308,14541.59126,-19564.787809999998,26733.421619999997,16724.985630000003,227.735339,-3970.286124,0.0,0.0,0.0,0.0,85181.8838,1256797.7615299998,-242954.54999,195519.57914999998,-166147.17487,227707.91205,62669.255086000005,-28368.678712000004,1202.773064,0.0,0.0,0.0,0.0,-1426970.2656,2240655.4584700004,3740407.7699900004,3301933.64085,3663600.39487,3269745.3079500003,3434783.964914,3525821.8987120003,3496250.446936,3497453.22,3497453.22,3497453.22,3497453.22,4924423.4856
920,"Colorado Springs, CO Metro Area-Bus",2008,0,32,3598518.1119999997,183531.2696,-155167.6698,10236.55744,-20894.277430000002,50542.01674,-31789.01551,11326.02742,-5242.3823600000005,0.0,0.0,0.0,0.0,67166.80825,1440329.0311299998,-398122.21979,205756.13658999998,-187041.4523,278249.92879000003,30880.239576000004,-17042.651292000002,-4039.6092960000005,0.0,0.0,0.0,0.0,-1359803.45735,2158189.0808699997,3996640.3317899997,3392761.97541,3785559.5642999997,3320268.1832099995,3567637.872424,3615560.7632919997,3602557.721296,3598518.1119999997,3598518.1119999997,3598518.1119999997,3598518.1119999997,4958321.56935
921,"Colorado Springs, CO Metro Area-Bus",2009,0,32,3152674.7010000004,-406534.8886,-88548.44481,4634.826817,-21581.689309999998,-162210.2893,29890.26138,13640.60991,-2158.518956,0.0,0.0,0.0,0.0,159513.0941,1033794.1425299998,-486670.6646,210390.96340699997,-208623.14161,116039.63949000003,60770.500956,-3402.041382000003,-6198.128252,0.0,0.0,0.0,0.0,-1200290.36325,2118880.5584700005,3639345.3656,2942283.7375930003,3361297.84261,3036635.0615100004,3091904.2000440005,3156076.742382,3158872.8292520004,3152674.7010000004,3152674.7010000004,3152674.7010000004,3152674.7010000004,4352965.06425
922,"Colorado Springs, CO Metro Area-Bus",2010,0,32,2537717.203,-920474.8412,141836.0064,29044.18047,-23828.47309,73239.71047,69566.93013,867.6098748,1892.221266,0.0,0.0,0.0,0.0,92231.04252999999,113319.30132999981,-344834.6582,239435.14387699997,-232451.61469999998,189279.34996000002,130337.431086,-2534.431507200003,-4305.906986,0.0,0.0,0.0,0.0,-1108059.32072,2424397.9016700005,2882551.8612,2298282.059123,2770168.8177,2348437.8530400004,2407379.771914,2540251.6345072,2542023.109986,2537717.203,2537717.203,2537717.203,2537717.203,3645776.52372
923,"Colorado Springs, CO Metro Area-Bus",2011,0,32,2666537.32,87391.13900000001,-91985.67555,13218.417109999999,-14380.40328,64112.84996,-33775.43785,-13753.59917,1523.126524,0.0,0.0,0.0,0.0,120772.8967,200710.44032999984,-436820.33375,252653.56098699998,-246832.01797999998,253392.19992,96561.993236,-16288.030677200002,-2782.7804619999997,0.0,0.0,0.0,0.0,-987286.4240199999,2465826.87967,3103357.6537499996,2413883.759013,2913369.33798,2413145.12008,2569975.3267639996,2682825.3506771997,2669320.100462,2666537.32,2666537.32,2666537.32,2666537.32,3653823.7440199996
