,ID,Year,Mode,CLUSTER_APTA,UPT_ADJ,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,TSD_POP_PCT_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Unknown_FAC,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS_FAC_cumsum,YEARS_SINCE_TNC_RAIL_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
1023,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2002,0,10,56956467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56956467.0,56956467.0,56956467.0,56956467.0,56956467.0,56956467.0,56956467.0,56956467.0,56956467.0,56956467.0,56956467.0,56956467.0,56956467.0
1024,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2003,0,10,50082200.0,-4264551.672,-773140.0109,688182.9397,-537245.6020000001,708486.1126,381278.1164,7836.61471,0.0,0.0,0.0,0.0,0.0,-3034932.807,-4264551.672,-773140.0109,688182.9397,-537245.6020000001,708486.1126,381278.1164,7836.61471,0.0,0.0,0.0,0.0,0.0,-3034932.807,54346751.672,50855340.0109,49394017.0603,50619445.602,49373713.8874,49700921.8836,50074363.38529,50082200.0,50082200.0,50082200.0,50082200.0,50082200.0,53117132.807
1025,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2004,0,10,42641929.0,-323937.5618,-2243828.831,703501.6114,-432899.1915,901952.4206,463649.6413,3445.275196,0.0,0.0,0.0,0.0,0.0,-6452224.124,-4588489.2338000005,-3016968.8419,1391684.5511,-970144.7935000001,1610438.5332,844927.7577,11281.889906,0.0,0.0,0.0,0.0,0.0,-9487156.931,47230418.2338,45658897.8419,41250244.4489,43612073.7935,41031490.4668,41797001.242300004,42630647.110094,42641929.0,42641929.0,42641929.0,42641929.0,42641929.0,52129085.931
1026,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2005,0,10,45802640.0,-422882.7812,599635.7235,583144.9217,-325585.1122,1041091.4079999999,345752.2539,5867.083857,0.0,0.0,0.0,0.0,0.0,1320474.902,-5011372.015000001,-2417333.1184,1974829.4728,-1295729.9057,2651529.9412,1190680.0115999999,17148.973763,0.0,0.0,0.0,0.0,0.0,-8166682.029,50814012.015,48219973.1184,43827810.5272,47098369.9057,43151110.0588,44611959.9884,45785491.026237,45802640.0,45802640.0,45802640.0,45802640.0,45802640.0,53969322.029
1027,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2006,0,10,49722079.0,-569121.2679,9419638.968,691882.4259,-363306.407,553089.6072,643325.2366,0.0,-13739.085619999998,0.0,0.0,0.0,0.0,-6625727.262,-5580493.282900001,7002305.8496,2666711.8987000003,-1659036.3127000001,3204619.5483999997,1834005.2481999998,17148.973763,-13739.085619999998,0.0,0.0,0.0,0.0,-14792409.291000001,55302572.2829,42719773.1504,47055367.1013,51381115.3127,46517459.4516,47888073.7518,49704930.026237,49735818.08562,49722079.0,49722079.0,49722079.0,49722079.0,64514488.291
1028,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2007,0,10,59855042.0,1933121.8769999999,-6648042.271000001,365718.4048,-190052.9582,293985.8698,-388987.5127,23948.4532,-29825.068730000003,0.0,0.0,0.0,0.0,15042698.92,-3647371.405900001,354263.57859999966,3032430.3035000004,-1849089.2709000001,3498605.4181999997,1445017.7354999997,41097.426963000005,-43564.15435,0.0,0.0,0.0,0.0,250289.6289999988,63502413.4059,59500778.4214,56822611.6965,61704131.2709,56356436.5818,58410024.2645,59813944.573037,59898606.15435,59855042.0,59855042.0,59855042.0,59855042.0,59604752.371
1029,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2008,0,10,53644731.0,-64307.27662999999,-2826332.068,432070.4102,-247817.4468,1040838.72,62425.22816,-102847.3118,0.0,0.0,0.0,0.0,0.0,-4450650.211,-3711678.6825300013,-2472068.4894000003,3464500.7137,-2096906.7177000002,4539444.1382,1507442.9636599997,-61749.88483699999,-43564.15435,0.0,0.0,0.0,0.0,-4200360.582000001,57356409.68253,56116799.4894,50180230.2863,55741637.7177,49105286.8618,52137288.03634,53706480.884837,53688295.15435,53644731.0,53644731.0,53644731.0,53644731.0,57845091.582
1030,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2009,0,10,49054947.0,-104970.6381,-558243.5009,193966.9314,-193001.6533,-2384635.358,801218.7819,99728.61654,0.0,0.0,0.0,0.0,0.0,-2424394.391,-3816649.3206300014,-3030311.9903,3658467.6451000003,-2289908.3710000003,2154808.7802,2308661.7455599997,37978.73170300001,-43564.15435,0.0,0.0,0.0,0.0,-6624754.973000001,52871596.32063,52085258.9903,45396479.3549,51344855.371,46900138.2198,46746285.25444,49016968.268297,49098511.15435,49054947.0,49054947.0,49054947.0,49054947.0,55679701.973000005
1031,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2010,0,10,46518695.0,-93846.71252,-221781.8417,107904.7399,36071.91592,1011731.28,-149968.0745,-77551.94774,-73529.15755,0.0,0.0,0.0,0.0,-3066767.715,-3910496.0331500014,-3252093.8320000004,3766372.3850000002,-2253836.45508,3166540.0602,2158693.6710599996,-39573.21603699999,-117093.3119,0.0,0.0,0.0,0.0,-9691522.688000001,50429191.03315,49770788.832,42752322.615,48772531.45508,43352154.9398,44360001.328940004,46558268.216037,46635788.3119,46518695.0,46518695.0,46518695.0,46518695.0,56210217.688
1032,"Dallas-Fort Worth-Arlington, TX Metro Area-Bus",2011,0,10,46145842.0,-2895635.575,-874445.1119,384893.7322,-141399.6083,1353050.667,-114419.5704,89686.99125,-13953.87545,0.0,0.0,0.0,0.0,1905391.164,-6806131.608150002,-4126538.9439000003,4151266.1172,-2395236.06338,4519590.7272,2044274.1006599995,50113.775213000015,-131047.18735,0.0,0.0,0.0,0.0,-7786131.524000001,52951973.608150005,50272380.943900004,41994575.8828,48541078.06338,41626251.2728,44101567.899340004,46095728.224787,46276889.18735,46145842.0,46145842.0,46145842.0,46145842.0,53931973.524000004
